word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
y'all	y'all	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
dynasty	dy-	16	1	NA	NA	0	0
dynasty	na-	16	1	NA	NA	0	0
dynasty	sty	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
roots	roots	8	1	NA	NA	0	0
repertoire	rep-	16	1	1	1	0	0
repertoire	er-	16	1	1	2	0	0
repertoire	toire	16	3	1	3	1	1
the	the	16	1	NA	NA	0	0
lieutenant	lieu-	16	1	NA	NA	0	0
lieutenant	te-	16	1	NA	NA	0	0
lieutenant	nant	8	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
reservoir	re-	16	1	1	1	0	0
reservoir	ser-	16	1	1	2	0	0
reservoir	voir	8	1	1	3	0	0
serve	serve	16	1	1	1	0	0
the	the	16	1	1	2	0	0
spar	spar	16	3	1	3	1	1
the	the	16	1	NA	NA	0	0
injurer	in-	16	1	1	1	0	0
injurer	ju-	16	1	1	2	0	0
injurer	rer	8	1	1	3	0	0
predator	pre-	16	1	1	1	0	0
predator	da-	16	1	1	2	0	0
predator	tor	16	1	1	3	0	0
of	of	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
competitor	com-	16	1	NA	NA	0	0
competitor	pe-	16	1	1	1	0	0
competitor	ti-	16	1	1	2	0	0
competitor	tor	16	3	1	3	1	1
i	i	16	1	NA	NA	0	0
send	send	16	1	NA	NA	0	0
emcees	em-	16	1	NA	NA	0	0
emcees	cees	8	1	NA	NA	0	0
where	where	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
paramedics	pa-	16	1	NA	NA	0	0
paramedics	ra-	16	1	NA	NA	0	0
paramedics	me-	16	1	1	1	0	0
paramedics	dics	16	1	1	2	0	0
are	are	8	1	1	3	1	1
at	at	16	1	NA	NA	0	0
first	first	8	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
like	like	8	1	NA	NA	0	1
nah	nah	8	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
nonchalant	non-	8	1	NA	NA	0	0
nonchalant	cha-	16	1	NA	NA	0	0
nonchalant	lant	8	1	NA	NA	0	0
from	from	16	1	1	1	0	0
afar	a-	16	1	1	2	0	0
afar	far	8	1	1	3	1	0
then	then	16	1	NA	NA	0	0
strike	strike	8	1	NA	NA	0	1
to	to	16	1	NA	NA	0	0
cut	cut	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
fake	fake	8	1	NA	NA	0	0
rap	rap	8	1	NA	NA	0	0
star	star	8	1	NA	NA	0	1
jugular	ju-	16	1	1	1	0	0
jugular	gu-	16	1	1	2	0	0
jugular	lar	8	1	1	3	1	0
with	with	16	1	NA	NA	0	0
irregular	ir-	16	1	NA	NA	0	0
irregular	re-	16	1	1	1	0	0
irregular	gu-	16	1	1	2	0	0
irregular	lar	8	1	1	3	0	0
balance	bal-	16	1	NA	NA	0	0
balance	ance	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
cat	cat	8	1	NA	NA	0	1
burgalar	bur-	16	1	1	1	0	0
burgalar	ga-	16	1	1	2	0	0
burgalar	lar	8	1	1	3	1	0
known	known	16	1	1	1	0	0
to	to	16	1	1	2	0	0
parlay	par-	8	1	1	3	0	0
parlay	lay	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
garcia	gar-	8	1	NA	NA	0	0
garcia	ci-	16	1	NA	NA	0	0
garcia	a	16	1	NA	NA	0	0
vega	ve-	16	1	NA	NA	0	0
vega	ga	16	1	1	1	0	0
cigars	ci-	16	1	1	2	0	0
cigars	gars	8	1	1	3	1	1
i	i	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
flavor	fla-	16	1	NA	NA	0	0
flavor	vor	16	1	NA	NA	0	0
because	be-	16	1	NA	NA	0	0
because	cause	8	1	NA	NA	0	1
me	me	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
thugs	thugs	16	1	NA	NA	0	0
minds	minds	8	1	NA	NA	0	0
are	are	16	1	NA	NA	0	0
mutual	mu-	16	1	NA	NA	0	0
mutual	tu-	16	1	NA	NA	0	0
mutual	al	16	1	NA	NA	1	0
we	we	16	1	NA	NA	0	0
congruent	con-	8	1	2	1	0	0
congruent	gru-	16	1	2	2	0	0
congruent	ent	8	1	2	3	0	1
lay	lay	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
corner	cor-	16	1	NA	NA	0	0
corner	ner	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
trauma	trau-	16	1	2	1	0	0
trauma	ma	16	1	NA	NA	0	0
unit	u-	16	1	2	2	0	0
unit	nit	8	1	2	3	1	1
i'm	i'm	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
lab	lab	8	1	NA	NA	0	0
where	where	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bomb's	bomb's	8	1	NA	NA	0	0
distributed	dis-	16	1	2	1	0	0
distributed	tri-	16	1	NA	NA	0	0
distributed	bu-	16	1	2	2	0	0
distributed	ted	8	1	2	3	1	1
so	so	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
try	try	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
duplicate	dup-	16	1	NA	NA	0	0
duplicate	li-	16	1	NA	NA	0	0
duplicate	cate	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
skills	skills	8	1	NA	NA	0	0
executed	ex-	16	1	2	1	0	0
executed	e-	16	1	NA	NA	0	0
executed	cu-	16	1	2	2	0	0
