word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
to	to	16	1	NA	NA	0	0
catch	catch	16	1	NA	NA	0	0
a	a	16	2	NA	NA	0	0
thief	thief	16	2	1	1	0	1
who	who	16	1	NA	NA	0	0
stole	stole	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
soul	soul	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
prayed	prayed	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
keep	keep	16	3	1	1	1	1
insomniac	in-	16	1	NA	NA	0	0
insomniac	som-	16	1	NA	NA	0	0
insomniac	ni-	16	1	NA	NA	0	0
insomniac	ac	16	2	NA	NA	0	0
bad	bad	16	2	NA	NA	0	0
dreams	dreams	16	2	NA	NA	0	0
got	got	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
losing	los-	16	1	NA	NA	0	0
losing	ing	16	1	NA	NA	0	0
sleep	sleep	16	3	1	1	1	1
i'm	i'm	16	1	NA	NA	0	0
dead	dead	16	2	NA	NA	0	0
tired	ti-	16	1	NA	NA	0	0
tired	red	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
mind	mind	16	2	NA	NA	0	0
playing	play-	16	1	NA	NA	0	0
playing	ing	16	1	NA	NA	0	0
tricks	tricks	16	2	NA	NA	0	1
deceit	de-	16	1	NA	NA	0	0
deceit	ceit	16	3	1	1	1	1
a	a	16	1	NA	NA	0	0
face	face	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
glass	glass	16	2	NA	NA	0	0
unable	un-	16	1	NA	NA	0	0
unable	ab-	16	1	NA	NA	0	0
unable	le	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
admit	ad-	16	1	NA	NA	0	0
admit	mit	16	1	NA	NA	0	0
defeat	de-	16	1	NA	NA	0	0
defeat	feat	16	3	1	1	1	1
all	all	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
am	am	16	2	NA	NA	0	0
all	all	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
was	was	16	2	NA	NA	0	0
is	is	16	1	NA	NA	0	0
history	his-	16	1	2	1	0	0
history	to-	16	1	2	2	0	0
history	ry	16	1	2	3	1	0
the	the	16	1	NA	NA	0	0
past	past	16	2	NA	NA	0	0
unraveled	un-	16	1	NA	NA	0	0
unraveled	rave-	16	1	NA	NA	0	0
unraveled	led	16	2	NA	NA	0	0
adding	ad-	16	1	NA	NA	0	0
adding	ding	16	1	NA	NA	0	1
insult	in-	16	1	NA	NA	0	0
insult	sult	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
injury	in-	16	1	2	1	0	0
injury	ju-	16	1	2	2	0	0
injury	ry	16	3	2	3	1	0
i'm	i'm	16	1	NA	NA	0	1
fighting	fight-	16	1	NA	NA	0	0
fighting	ing	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
battle	bat-	16	1	NA	NA	0	0
battle	tle	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
soul	soul	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
century	cen-	16	1	2	1	0	0
century	tu-	16	1	2	2	0	0
century	ry	16	3	2	3	1	1
destiny	des-	16	1	2	1	0	0
destiny	ti-	16	1	2	2	0	0
destiny	ny	16	1	2	3	0	0
is	is	16	1	NA	NA	0	0
evrything	ev-	16	1	NA	NA	0	0
evrything	ry-	16	1	NA	NA	0	0
evrything	thing	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
pretend	pre-	16	1	NA	NA	0	0
pretend	tend	16	1	2	1	0	0
to	to	16	1	2	2	0	0
be	be	16	1	2	3	0	0
look	look	16	3	NA	NA	0	1
and	and	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
did	did	16	2	NA	NA	0	0
came	came	16	1	NA	NA	0	0
back	back	16	2	NA	NA	0	1
to	to	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
eventually	e-	16	1	NA	NA	0	0
eventually	ven-	16	1	2	1	0	0
eventually	tual-	16	1	2	2	0	0
eventually	ly	16	1	2	3	0	0
the	the	16	1	NA	NA	0	0
music	mus-	16	1	NA	NA	0	0
music	ic	16	2	NA	NA	0	1
played	played	16	2	NA	NA	0	0
on	on	16	2	NA	NA	0	1
and	and	16	1	NA	NA	0	0
told	told	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
meant	meant	16	1	2	1	0	0
to	to	16	1	2	2	0	0
be	be	16	1	2	3	1	0
awake	a-	16	1	3	1	0	0
awake	wake	16	2	3	2	1	1
it's	it's	16	1	NA	NA	0	0
unresolved	un-	16	1	NA	NA	0	0
unresolved	re-	16	1	NA	NA	0	0
unresolved	solved	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
evrything	ev-	16	1	NA	NA	0	0
evrything	ry-	16	1	NA	NA	0	0
evrything	thing	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
had	had	16	1	NA	NA	0	0
at	at	16	1	3	1	0	0
stake	stake	16	3	3	2	1	1
illegal	il-	16	1	NA	NA	0	0
illegal	le-	16	1	NA	NA	0	0
illegal	gal	16	1	NA	NA	0	0
activity	ac-	16	2	NA	NA	0	0
activity	ti-	16	1	2	1	0	0
activity	vi-	16	1	2	2	0	0
activity	ty	16	1	2	3	0	0
controls	con-	16	1	NA	NA	0	0
controls	trols	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
black	black	16	2	NA	NA	0	0
symphony	sym-	16	1	2	1	0	0
symphony	pho-	16	1	2	2	0	0
symphony	ny	16	2	2	3	1	1
orchestrated	or-	16	1	NA	NA	0	0
orchestrated	ches-	16	1	NA	NA	0	0
orchestrated	tra-	16	1	NA	NA	0	0
orchestrated	ted	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
happened	hap-	16	1	NA	NA	0	0
happened	pened	16	1	NA	NA	0	0
incidentally	in-	16	1	NA	NA	0	0
incidentally	ci-	16	1	NA	NA	0	0
incidentally	den-	16	1	2	1	0	0
incidentally	tal-	16	1	2	2	0	0
incidentally	ly	16	1	2	3	1	0
oh	oh	16	3	4	1	0	1
there	there	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
go	go	16	2	4	1	0	1
from	from	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
man	man	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
memory	mem-	16	1	2	1	0	0
memory	o-	16	1	2	2	0	0
memory	ry	16	1	2	3	1	0
damn	damn	16	4	5	1	0	1
i	i	16	1	NA	NA	0	0
wonder	won-	16	1	NA	NA	0	0
wonder	der	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
fam	fam	16	2	5	1	0	0
will	will	16	1	NA	NA	0	0
remember	re-	16	1	2	1	0	0
remember	mem-	16	1	2	2	0	0
remember	ber	16	1	2	3	0	0
me	me	16	1	NA	NA	1	1
