word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i'm	i'm	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
valley	val-	16	1	NA	NA	0	0
valley	ley	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
heavy	hea-	16	1	1	1	0	0
heavy	vy	16	1	1	2	0	0
heads	heads	16	3	1	3	0	1
watch	watch	8	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ghetto	ghet-	16	1	2	1	0	0
ghetto	to	16	1	2	2	0	0
pre	pre	8	1	NA	NA	0	0
medical	me-	16	1	2	1	0	0
medical	di-	16	1	2	2	0	0
medical	cal	8	1	NA	NA	1	0
undergrads	un-	16	1	1	1	0	0
undergrads	der-	16	1	1	2	0	0
undergrads	grads	8	1	1	3	0	0
and	and	16	1	NA	NA	0	0
steady	stead-	16	1	1	1	0	0
steady	y	16	1	1	2	0	0
red	red	8	1	1	3	0	0
faces	fa-	16	1	NA	NA	0	0
faces	ces	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
stone	stone	8	1	NA	NA	1	1
eyes	eyes	16	1	NA	NA	0	0
are	are	16	1	NA	NA	0	0
crevices	cre-	16	1	1	1	0	0
crevices	vi-	16	1	1	2	0	0
crevices	ces	8	1	1	3	0	1
life	life	8	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
double	doub-	16	1	NA	NA	0	0
double	le	16	1	NA	NA	0	0
negative	ne-	16	1	1	1	0	0
negative	ga-	16	1	1	2	0	0
negative	tive	8	1	1	3	1	1
philly	phil-	16	1	NA	NA	0	0
philly	ly	16	1	NA	NA	0	0
criminal	cri-	16	1	NA	NA	0	0
criminal	mi-	16	1	NA	NA	0	0
criminal	nal	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
rhyme	rhyme	16	1	NA	NA	0	0
my	my	8	1	NA	NA	0	1
dirt	dirt	8	1	NA	NA	0	0
tariq	ta-	16	1	NA	NA	0	0
tariq	riq	16	1	NA	NA	0	0
already	al-	16	1	NA	NA	0	0
already	read-	16	1	1	1	0	0
already	y	16	1	1	2	0	0
did	did	8	1	1	3	1	0
building	build-	16	1	NA	NA	0	0
building	ing	16	1	NA	NA	0	0
this	this	8	1	NA	NA	0	0
fifth	fifth	8	1	NA	NA	0	0
foundation	found-	8	1	NA	NA	0	0
foundation	a-	16	1	NA	NA	0	0
foundation	tion	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
wilderness	wil-	16	1	1	1	0	0
wilderness	der-	16	1	1	2	0	0
wilderness	ness	8	1	1	3	1	1
thought	thought	8	1	NA	NA	0	0
less	less	8	1	NA	NA	0	1
trespass	tres-	8	1	NA	NA	0	0
trespass	pass	8	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
enter	ent-	16	1	NA	NA	0	0
