word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
speaking	speak-	16	1	NA	NA	0	0
speaking	ing	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
pieces	pie-	16	1	1	1	0	0
pieces	ces	16	1	1	2	0	0
of	of	16	1	1	3	0	0
a	a	16	1	1	4	0	0
man	man	16	4	1	5	1	1
staring	star-	16	1	NA	NA	0	0
staring	ing	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
future	fu-	16	1	NA	NA	0	0
future	ture	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
creases	creas-	16	1	1	1	0	0
creases	es	16	1	1	2	0	0
of	of	16	1	1	3	0	0
my	my	16	1	1	4	0	0
hand	hand	16	1	1	5	1	0
it	it	16	1	NA	NA	0	0
reads	reads	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
final	fi-	16	1	NA	NA	0	0
final	nal	16	1	NA	NA	0	0
letter	let-	16	1	NA	NA	0	0
letter	ter	16	2	NA	NA	0	1
i'm	i'm	16	1	NA	NA	0	0
leaving	leav-	16	1	1	1	0	0
leaving	ing	16	1	1	2	0	0
for	for	16	1	1	3	0	0
my	my	16	1	1	4	0	0
fam	fam	16	2	1	5	1	0
but	but	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
written	writ-	16	1	NA	NA	0	0
written	ten	16	2	NA	NA	0	1
in	in	16	1	NA	NA	0	0
language	lan-	16	1	NA	NA	0	0
language	guage	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
will	will	16	1	NA	NA	0	0
never	ne-	16	1	1	1	0	0
never	ver	16	1	1	2	0	0
understand	un-	16	1	1	3	0	0
understand	der-	16	1	1	4	0	0
understand	stand	16	1	1	5	1	0
a	a	16	1	NA	NA	0	0
late	late	16	1	NA	NA	0	0
repentant	re-	16	1	NA	NA	0	0
repentant	pen-	16	1	NA	NA	0	0
repentant	tant	16	3	NA	NA	1	1
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
deviating	de-	16	1	NA	NA	0	0
deviating	vi-	16	1	NA	NA	0	0
deviating	a-	16	1	1	1	0	0
deviating	ting	16	1	1	2	0	0
from	from	16	1	1	3	0	0
a	a	16	1	1	4	0	0
plan	plan	16	3	1	5	1	1
i	i	16	1	NA	NA	0	0
drive	drive	16	2	NA	NA	0	0
by	by	16	2	NA	NA	0	0
headed	head-	16	1	NA	NA	0	0
headed	ed	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
valley	val-	16	1	1	1	0	0
valley	ley	16	1	1	2	0	0
of	of	16	1	1	3	0	0
the	the	16	1	1	4	0	0
damned	damned	16	3	1	5	1	1
the	the	16	1	NA	NA	0	0
wheels	wheels	16	2	NA	NA	0	0
spin	spin	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
looking	look-	16	1	NA	NA	0	0
looking	ing	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
sacrificial	sac-	16	1	1	1	0	0
sacrificial	ri-	16	1	1	2	0	0
sacrificial	fi-	16	1	1	3	0	0
sacrificial	cial	16	1	1	4	0	0
lamb	lamb	16	3	1	5	1	1
then	then	16	1	NA	NA	0	0
roll	roll	16	2	NA	NA	0	0
tactics	tac-	16	1	NA	NA	0	0
tactics	tics	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
soldier	sol-	16	1	NA	NA	0	0
soldier	dier	16	1	NA	NA	0	0
out	out	16	1	1	1	0	0
in	in	16	1	1	2	0	0
the	the	16	1	1	3	0	0
sudan	su-	16	1	1	4	0	0
sudan	dan	16	2	1	5	1	0
listen	lis-	16	1	NA	NA	0	0
listen	ten	16	2	NA	NA	1	1
was	was	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
matter	mat-	16	1	3	1	0	0
matter	ter	16	1	3	2	0	0
of	of	16	1	3	3	0	0
flesh	flesh	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
blood	blood	16	4	NA	NA	1	1
yes	yes	16	1	2	1	0	0
it	it	16	1	2	2	0	0
was	was	16	3	2	3	1	1
does	does	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
matter	mat-	16	1	3	1	0	0
matter	ter	16	1	3	2	0	0
who	who	16	1	3	3	0	0
win	win	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
lose	lose	16	4	NA	NA	1	1
yes	yes	16	1	2	1	0	0
it	it	16	1	2	2	0	0
does	does	16	2	2	3	1	1
it	it	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
about	a-	16	1	NA	NA	0	0
about	bout	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
most	most	16	2	NA	NA	0	0
blessed	bles-	16	1	2	1	0	0
blessed	sed	16	1	2	2	0	0
love	love	16	3	2	3	1	1
when	when	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
return	re-	16	1	NA	NA	0	0
return	turn	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
essence	es-	16	1	NA	NA	0	0
essence	sence	16	2	NA	NA	1	1
what	what	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
back	back	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
essence	es-	16	1	2	1	0	0
essence	sence	16	1	2	2	0	0
of	of	16	2	2	3	1	1
greatness	great-	16	1	NA	NA	0	0
greatness	ness	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
wasn't	was-	16	1	NA	NA	0	0
wasn't	n't	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
presence	pre-	16	1	2	1	0	0
presence	sence	16	1	2	2	0	0
of	of	16	3	2	3	1	1
cause	cause	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
fake	fake	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
measured	meas-	16	1	2	1	0	0
measured	ured	16	1	2	2	0	0
up	up	16	3	2	3	1	1
you	you	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
regular	re-	16	1	2	1	0	0
regular	gu-	16	1	2	2	0	0
regular	lar	16	4	2	3	1	1
but	but	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
far	far	16	1	NA	NA	0	0
am	am	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
ahead	a-	16	1	NA	NA	0	0
ahead	head	16	1	2	1	0	0
of	of	16	1	2	2	0	0
ya	ya	16	3	2	3	1	1
it	it	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
easily	ea-	16	1	NA	NA	0	0
easily	si-	16	1	NA	NA	0	0
easily	ly	16	1	NA	NA	0	0
coulda	could-	16	1	NA	NA	0	0
coulda	a	16	1	NA	NA	0	0
been	been	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
instead	in-	16	1	NA	NA	0	0
instead	stead	16	1	2	1	0	0
of	of	16	1	2	2	0	0
ya	ya	16	1	2	3	1	1
