word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
yo	yo	16	3	NA	NA	0	0
hello	hel-	16	1	NA	NA	0	0
hello	lo	16	1	NA	NA	0	0
everybody	eve-	16	1	NA	NA	0	0
everybody	ry-	16	1	NA	NA	0	0
everybody	bo-	16	1	NA	NA	0	0
everybody	dy	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
need	need	16	1	NA	NA	0	0
introduct	in-	16	1	NA	NA	0	0
introduct	tro-	16	1	NA	NA	0	0
introduct	duct	8	1	NA	NA	1	1
i	i	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
mic	mic	8	1	NA	NA	0	0
mercenary	mer-	16	1	NA	NA	0	0
mercenary	ce-	16	1	NA	NA	0	0
mercenary	na-	16	1	NA	NA	0	0
mercenary	ry	16	1	NA	NA	0	0
very	ve-	16	1	NA	NA	0	0
very	ry	16	1	NA	NA	0	0
unclear	un-	4	1	NA	NA	0	0
unclear	clear	8	1	1	1	1	1
to	to	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
ear	ear	8	1	1	1	0	0
the	the	16	1	NA	NA	0	0
exquisite	ex-	16	1	NA	NA	0	0
exquisite	qui-	16	1	NA	NA	0	0
exquisite	site	16	1	NA	NA	0	0
pattern	pat-	8	1	NA	NA	0	0
pattern	tern	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
hear	hear	8	1	1	1	1	0
it's	it's	16	1	NA	NA	0	0
known	known	8	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
black	black	8	1	NA	NA	0	0
butta	but-	16	1	NA	NA	0	0
butta	ta	16	1	NA	NA	0	0
baby	ba-	8	1	NA	NA	0	0
baby	by	4	1	NA	NA	1	1
crazy	cra-	16	1	NA	NA	0	0
crazy	zy	16	1	NA	NA	0	0
cardiac	car-	16	1	NA	NA	0	0
cardiac	di-	16	1	NA	NA	0	0
cardiac	ac	8	1	2	1	0	0
my	my	16	1	NA	NA	0	0
attack	at-	16	1	NA	NA	0	0
attack	tack	8	1	2	1	0	0
on	on	16	1	NA	NA	0	0
any	a-	16	1	NA	NA	0	0
any	ny	16	1	NA	NA	0	0
fat	fat	8	1	2	1	0	0
rhythm	rhy-	16	1	NA	NA	0	0
rhythm	thm	16	1	NA	NA	1	0
that	that	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
capture	cap-	8	1	2	1	0	0
capture	ture	16	1	NA	NA	0	0
kid	kid	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
snatch	snatch	8	1	2	1	0	0
the	the	16	1	NA	NA	0	0
mic	mic	8	1	3	1	0	0
from	from	16	1	NA	NA	0	0
tykes	tykes	8	1	3	1	1	0
while	while	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
proceed	pro-	8	1	NA	NA	0	0
proceed	ceed	8	3	NA	NA	0	1
and	and	16	1	NA	NA	0	0
continue	con-	16	1	NA	NA	0	0
continue	ti-	8	1	NA	NA	0	0
continue	nue	16	3	4	1	0	1
to	to	16	1	NA	NA	0	0
tend	tend	8	1	NA	NA	0	0
to	to	16	3	NA	NA	1	1
business	busi-	16	1	NA	NA	0	0
business	ness	8	1	NA	NA	0	0
