word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
before	be-	16	1	NA	NA	0	0
before	fore	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
rise	rise	16	2	2	1	0	0
and	and	16	2	NA	NA	0	0
shine	shine	16	1	2	1	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
neon	ne-	16	1	NA	NA	0	0
neon	on	16	2	1	1	0	0
sign	sign	16	3	1	2	1	1
i	i	16	1	NA	NA	0	0
need	need	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
girl	girl	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
dreams	dreams	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
give	give	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
einstein	ein-	16	2	1	1	0	0
einstein	stein	16	3	1	2	1	1
and	and	16	1	NA	NA	0	0
burn	burn	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
marijuan	mar-	16	1	NA	NA	0	0
marijuan	i-	16	1	NA	NA	0	0
marijuan	juan	16	2	NA	NA	0	0
like	like	16	2	NA	NA	0	1
buju	bu-	16	1	NA	NA	0	0
buju	ju	16	1	NA	NA	0	0
banton	ban-	16	2	1	1	0	0
banton	ton	16	2	1	2	1	0
it's	it's	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
only	on-	16	1	NA	NA	0	0
only	ly	16	1	NA	NA	0	0
bonafide	bon-	16	1	1	1	0	0
bonafide	a-	16	1	NA	NA	0	0
bonafide	fide	16	2	1	2	0	0
break	break	16	2	NA	NA	0	0
from	from	16	1	NA	NA	0	0
these	these	16	1	NA	NA	0	0
confines	con-	16	2	1	1	0	0
confines	fines	16	3	1	2	1	1
i	i	16	1	NA	NA	0	0
need	need	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
change	change	16	2	NA	NA	0	0
of	of	16	1	NA	NA	0	0
scenery	sce-	16	2	NA	NA	0	0
scenery	ne-	32	1	NA	NA	0	0
scenery	ry	32	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
montage	mon-	16	2	1	1	0	0
montage	tage	16	3	1	2	0	0
these	these	16	1	NA	NA	0	0
kids	kids	16	2	NA	NA	0	0
bringing	bring-	16	1	NA	NA	0	0
bringing	ing	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
noise	noise	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bomb	bomb	16	2	1	1	0	0
squad	squad	16	3	1	2	0	0
and	and	16	1	NA	NA	0	0
evrybody	ev-	16	1	NA	NA	0	0
evrybody	ry-	16	1	NA	NA	0	0
evrybody	bo-	16	1	NA	NA	0	0
evrybody	dy	16	1	NA	NA	0	0
coming	com-	16	1	NA	NA	0	0
coming	ing	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
blind	blind	16	2	1	1	0	0
side	side	16	2	1	2	0	0
i'm	i'm	16	1	NA	NA	0	0
tired	ti-	16	1	1	1	0	0
tired	red	16	3	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
hard	hard	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
open	o-	16	1	NA	NA	0	0
open	pen	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
eyes	eyes	16	2	1	1	0	0
wide	wide	16	3	1	2	1	1
i	i	16	1	NA	NA	0	0
listen	lis-	16	1	NA	NA	0	0
listen	ten	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
theme	theme	16	2	NA	NA	0	0
music	mu-	16	1	NA	NA	0	0
music	sic	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ipod	i-	16	2	1	1	0	0
ipod	pod	16	3	1	2	1	1
and	and	16	1	NA	NA	0	0
walk	walk	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
crib	crib	16	2	NA	NA	0	0
doing	do-	16	1	NA	NA	0	0
doing	ing	16	1	NA	NA	0	0
little	lit-	16	1	NA	NA	0	0
little	tle	16	1	NA	NA	0	0
odd	odd	16	2	1	1	0	0
jobs	jobs	16	3	1	2	1	1
checking	check-	16	1	NA	NA	0	0
checking	ing	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
breath	breath	16	2	NA	NA	0	0
take	take	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
view	view	16	2	NA	NA	0	0
from	from	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
high	high	16	2	1	1	0	0
rise	rise	16	2	1	2	1	1
feeling	feel-	16	1	NA	NA	0	0
feeling	ing	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
checking	check-	16	1	NA	NA	0	0
checking	ing	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
game	game	16	2	NA	NA	0	1
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sideline	side-	16	2	1	1	0	0
sideline	line	16	3	1	2	1	1
i	i	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
try	try	16	2	NA	NA	0	0
diffrent	diff-	16	1	NA	NA	0	0
diffrent	rent	16	1	NA	NA	0	0
things	things	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
these	these	16	1	NA	NA	0	0
trying	try-	16	1	1	1	0	0
trying	ing	16	1	NA	NA	0	0
times	times	16	4	1	2	1	1
twenty	twen-	16	1	NA	NA	0	0
twenty	ty	16	1	NA	NA	0	0
ten	ten	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
diffrent	diff-	16	1	NA	NA	0	0
diffrent	rent	16	1	NA	NA	0	0
than	than	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
nine	nine	16	2	1	1	0	0
five	five	16	3	1	2	1	1
it's	it's	16	1	NA	NA	0	0
come	come	16	1	NA	NA	0	0
alive	a-	16	1	NA	NA	0	0
alive	live	16	2	1	1	0	0
time	time	16	3	1	2	0	0
i	i	16	1	NA	NA	0	0
picked	picked	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
fine	fine	16	2	1	1	0	0
time	time	16	3	1	2	1	1
for	for	16	1	NA	NA	0	0
getting	get-	16	1	NA	NA	0	0
getting	ting	16	1	NA	NA	0	0
open	o-	16	1	NA	NA	0	0
open	pen	16	1	NA	NA	0	0
off	off	16	2	NA	NA	0	0
life	life	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
fine	fine	16	2	1	1	0	0
wine	wine	16	2	1	2	1	1
