word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
knew	knew	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
girl	girl	8	1	NA	NA	0	0
named	named	16	1	NA	NA	0	0
alana	a-	16	1	1	1	0	0
alana	la-	16	1	1	2	0	0
alana	na	16	1	1	3	0	0
with	with	16	1	NA	NA	0	0
mad	mad	8	1	NA	NA	0	0
persona	per-	16	1	1	1	0	0
persona	so-	16	1	1	2	0	0
persona	na	8	1	1	3	1	1
she	she	16	1	NA	NA	0	0
delt	delt	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
reality	re-	16	1	NA	NA	0	0
reality	al-	16	1	NA	NA	0	0
reality	i-	16	1	NA	NA	0	0
reality	ty	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
fed	fed	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	1	1	0	0
drama	dra-	16	1	1	2	0	0
drama	ma	16	2	1	3	1	1
i	i	16	1	NA	NA	0	0
met	met	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
named	named	16	1	NA	NA	0	0
jermaine	jer-	16	1	NA	NA	0	0
jermaine	maine	8	1	1	1	0	0
palmer	pal-	16	1	1	2	0	0
palmer	mer	8	1	1	3	1	1
who	who	16	1	NA	NA	0	0
knew	knew	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
peoples	peop-	16	1	NA	NA	0	0
peoples	les	16	1	NA	NA	0	0
by	by	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
baltimore	bal-	16	1	NA	NA	0	0
baltimore	ti-	16	1	NA	NA	0	0
baltimore	more	8	1	1	1	0	0
harbor	har-	16	1	1	2	0	0
harbor	bor	8	1	1	3	1	1
alana	a-	16	1	1	1	0	0
alana	la-	16	1	1	2	0	0
alana	na	16	1	1	3	0	0
was	was	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
marylan	mar-	16	1	NA	NA	0	0
marylan	y-	16	1	NA	NA	0	0
marylan	lan	8	1	NA	NA	0	1
tourough	tou-	16	1	NA	NA	0	0
tourough	rough	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
attractive	at-	16	1	NA	NA	0	0
attractive	tract-	8	1	2	1	0	0
attractive	ive	16	1	NA	NA	1	0
shorty	shor-	16	1	NA	NA	0	0
shorty	ty	16	1	NA	NA	0	0
that's	that's	8	1	NA	NA	0	1
relaxed	re-	16	1	NA	NA	0	0
relaxed	laxed	8	1	2	1	0	0
with	with	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
