word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
lyrically	ly-	16	1	NA	NA	0	0
lyrically	ri-	16	1	NA	NA	0	0
lyrically	ca-	16	1	NA	NA	0	0
lyrically	lly	16	1	NA	NA	0	0
versatile	ver-	16	1	NA	NA	0	0
versatile	sa-	16	1	NA	NA	0	0
versatile	tile	16	3	1	1	0	1
my	my	16	1	NA	NA	0	0
rap	rap	8	1	NA	NA	0	0
definition	de-	16	1	NA	NA	0	0
definition	fi-	16	1	NA	NA	0	0
definition	ni-	16	1	NA	NA	0	0
definition	tion	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
wild	wild	8	1	1	1	1	0
i	i	16	1	NA	NA	0	0
wrote	wrote	16	1	NA	NA	0	0
graffiti	graf-	16	1	NA	NA	0	0
graffiti	fi-	16	1	NA	NA	0	0
graffiti	ti	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
juvenile	ju-	16	1	NA	NA	0	0
juvenile	ven-	16	1	NA	NA	0	0
juvenile	ile	4	1	1	1	0	1
restin	rest-	16	1	NA	NA	0	0
restin	in	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
deuce	deuce	8	1	2	1	0	0
trey	trey	8	1	2	2	1	1
and	and	16	1	NA	NA	0	0
used	used	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
boost	boost	16	1	2	1	0	0
gray	gray	8	1	2	2	0	0
kangol's	kan-	8	1	NA	NA	0	0
kangol's	gol's	8	1	NA	NA	1	0
with	with	16	1	NA	NA	0	0
five	five	8	1	NA	NA	0	1
hundred	hund-	16	1	NA	NA	0	0
hundred	red	16	1	NA	NA	0	0
fifty	fif-	16	1	NA	NA	0	0
fifty	ty	16	1	NA	NA	0	0
five	five	8	1	NA	NA	0	1
soul's	soul's	8	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
streets	streets	8	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ill	ill	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
delphiadic	delph-	16	1	NA	NA	0	0
delphiadic	i-	16	1	NA	NA	0	0
delphiadic	a-	16	1	NA	NA	0	0
delphiadic	dic	16	1	NA	NA	0	0
insane	in-	16	1	2	1	0	0
insane	sane	16	3	2	2	1	1
for	for	16	1	NA	NA	0	0
monetary	mo-	16	1	NA	NA	0	0
monetary	ne-	16	1	NA	NA	0	0
monetary	ta-	16	1	NA	NA	0	0
monetary	ry	16	1	2	1	0	0
gain	gain	8	1	2	2	1	1
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
is	is	16	1	2	1	0	0
slain	slain	8	1	2	2	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	2	1	0	0
train	train	8	1	2	2	0	1
it's	it's	16	1	NA	NA	0	0
homicide	hom-	16	1	NA	NA	0	0
homicide	i-	16	1	NA	NA	0	0
homicide	cide	8	1	1	1	1	1
for	for	16	1	NA	NA	0	0
wealth	wealth	8	1	3	1	0	0
stealth	stealth	8	1	3	1	0	0
missions	mis-	16	1	NA	NA	0	0
missions	sions	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
crack	crack	8	1	4	1	1	1
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
alleyways	al-	16	1	NA	NA	0	0
alleyways	ley-	16	1	NA	NA	0	0
alleyways	ways	8	1	5	1	0	1
where	where	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
grazed	grazed	8	1	5	1	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
back	back	8	1	4	1	1	0
from	from	16	1	NA	NA	0	0
stray	stray	8	1	5	1	0	0
shots	shots	16	3	NA	NA	0	1
clips	clips	8	1	6	1	0	0
with	with	16	1	NA	NA	0	0
hollow	hol-	16	1	NA	NA	0	0
hollow	low	16	1	NA	NA	0	0
tips	tips	8	1	6	1	1	1
for	for	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
spine	spine	8	1	1	1	0	0
or	or	16	1	NA	NA	0	0
either	ei-	16	1	NA	NA	0	0
either	ther	16	1	NA	NA	0	0
remain	re-	16	1	NA	NA	0	0
remain	main	8	1	5	1	0	0
calm	calm	8	1	NA	NA	0	0
catch	catch	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
rhyme	rhyme	16	3	1	1	0	1
to	to	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
mind	mind	8	1	1	1	1	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
ya	ya	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
style	style	16	3	1	1	1	1
i	i	16	1	NA	NA	0	0
run	run	16	1	7	1	0	0
a	a	16	1	NA	NA	0	0
motherfucking	mo-	16	1	NA	NA	0	0
motherfucking	ther-	16	1	NA	NA	0	0
motherfucking	fuck-	16	1	NA	NA	0	0
motherfucking	ing	16	1	NA	NA	0	0
rap	rap	8	1	NA	NA	0	0
muck	muck	16	3	7	1	1	1
when	when	16	1	NA	NA	0	0
malik	ma-	16	1	NA	NA	0	0
malik	lik	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
u	u	16	1	NA	NA	0	0
haul	haul	8	1	NA	NA	0	0
truck	truck	8	1	7	1	1	1
i	i	16	1	NA	NA	0	0
stand	stand	8	1	8	1	0	0
five	five	16	3	NA	NA	0	1
foot	foot	16	1	NA	NA	0	0
seven	se-	16	1	NA	NA	0	0
seven	ven	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
command	com-	16	1	NA	NA	0	0
command	mand	8	1	8	1	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
party	par-	16	1	NA	NA	0	0
party	ty	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
scam	scam	8	1	8	1	0	0
like	like	16	1	NA	NA	0	0
uncle	un-	16	1	NA	NA	0	0
uncle	cle	16	1	NA	NA	0	0
sam	sam	16	3	8	1	1	1
i'm	i'm	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
caught	caught	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
glass	glass	8	1	NA	NA	0	0
eye	eye	8	1	1	1	0	1
of	of	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
action	act-	16	1	NA	NA	0	0
action	ion	16	1	NA	NA	0	0
cam	cam	8	1	8	1	1	1
cause	cause	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
down	down	8	1	NA	NA	0	0
low	low	16	3	9	1	0	1
artistic	ar-	16	1	10	1	0	0
artistic	tis-	16	1	10	2	0	0
artistic	tic	16	1	10	3	0	0
exquisite	ex-	16	1	10	1	0	0
exquisite	qui-	16	1	10	2	0	0
exquisite	site	16	1	10	3	0	0
rap	rap	8	1	NA	NA	0	0
pro	pro	8	1	9	1	0	1
that	that	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
dough	dough	16	3	9	1	1	1
it's	it's	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
philly	phil-	16	1	NA	NA	0	0
philly	ly	16	1	NA	NA	0	0
borough	bo-	16	1	NA	NA	0	0
borough	rough	16	1	9	1	0	0
dread	dread	8	1	10	1	1	0
thoroughbread	tho-	16	1	NA	NA	0	0
thoroughbread	rough-	16	1	9	1	0	0
thoroughbread	bread	8	1	10	1	0	0
for	for	16	1	NA	NA	0	0
dolo	do-	16	1	11	1	0	0
dolo	lo	8	1	11	2	1	1
i	i	16	1	NA	NA	0	0
bag	bag	8	1	NA	NA	0	0
solo	so-	16	1	11	1	0	0
solo	lo	8	1	11	2	0	1
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
boost	boost	8	1	12	1	0	0
polo	po-	16	1	11	1	0	0
polo	lo	8	1	11	2	1	1
steppin	step-	16	1	NA	NA	0	0
steppin	pin	16	1	NA	NA	0	0
through	through	16	1	12	1	0	0
the	the	16	1	NA	NA	0	0
corridor	cor-	16	1	13	1	0	0
corridor	ri-	16	1	13	2	0	0
corridor	dor	8	1	13	3	0	1
of	of	16	1	NA	NA	0	0
metaphors	me-	16	1	13	1	0	0
metaphors	ta-	16	1	13	2	0	0
metaphors	phors	8	1	13	3	1	0
lookin	look-	16	1	NA	NA	0	0
lookin	in	16	1	NA	NA	0	0
over	o-	16	1	NA	NA	0	0
over	ver	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
left	left	8	1	NA	NA	0	1
shoulder	shoul-	16	1	14	1	0	0
shoulder	der	16	1	14	2	0	0
the	the	16	1	NA	NA	0	0
mic	mic	8	1	NA	NA	1	1
still	still	8	1	NA	NA	0	0
feel	feel	8	1	NA	NA	0	0
colder	col-	16	1	14	1	0	0
colder	der	16	1	14	2	0	0
than	than	16	1	13	1	0	0
before	be-	16	1	13	2	0	0
before	fore	16	3	13	3	1	1
with	with	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
jazz	jazz	8	1	NA	NA	0	0
shit	shit	16	1	15	1	0	0
i	i	16	1	NA	NA	0	0
hit	hit	8	1	15	1	0	0
your	your	16	1	NA	NA	0	0
jaw	jaw	8	1	13	3	1	0
dice	dice	8	1	NA	NA	0	0
raw	raw	16	3	13	3	0	0
get	get	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
mic	mic	8	1	NA	NA	0	1
my	my	16	1	NA	NA	0	0
young	young	8	1	NA	NA	0	0
poor	poor	16	3	13	3	1	1
i	i	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
blowin	blow-	16	1	NA	NA	0	0
blowin	in	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
spot	spot	16	1	NA	NA	0	0
on	on	8	1	NA	NA	0	0
tour	tour	16	3	13	3	1	1
surely	sure-	16	1	NA	NA	0	0
surely	ly	16	1	NA	NA	0	0
real	real	8	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
core	core	16	1	13	3	0	0
old	old	8	1	NA	NA	0	0
school	school	8	1	NA	NA	0	1
like	like	16	1	NA	NA	0	0
eighty	eigh-	16	1	NA	NA	0	0
eighty	ty	16	1	NA	NA	0	0
four	four	8	1	13	3	1	0
i	i	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
die	die	8	1	NA	NA	0	1
and	and	16	1	NA	NA	0	0
raps	raps	8	1	16	1	0	0
till	till	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
lungs	lungs	8	1	NA	NA	0	0
collapse	col-	16	1	NA	NA	0	0
collapse	lapse	8	1	16	1	1	0
then	then	16	1	NA	NA	0	0
relax	re-	16	1	NA	NA	0	0
relax	lax	8	1	16	1	0	0
until	un-	16	1	NA	NA	0	0
