word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
yo	yo	16	2	NA	NA	0	0
we	we	16	1	NA	NA	0	0
did	did	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
remembrance	re-	16	1	NA	NA	0	0
remembrance	mem-	16	1	1	1	0	0
remembrance	brance	16	1	1	2	0	0
of	of	16	2	1	3	1	1
faces	fa-	16	1	NA	NA	0	0
faces	ces	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
past	past	16	2	NA	NA	0	0
we	we	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
longer	lon-	16	1	NA	NA	0	0
longer	ger	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
an	an	16	1	NA	NA	0	0
image	i-	16	1	1	1	0	0
image	mage	16	1	1	2	0	0
of	of	16	3	1	3	1	1
carrying	car-	16	1	NA	NA	0	0
carrying	ry-	16	1	NA	NA	0	0
carrying	ing	16	1	NA	NA	0	0
cold	cold	16	1	NA	NA	0	0
blooded	blood-	16	1	NA	NA	0	0
blooded	ed	16	1	NA	NA	0	0
hearts	hearts	16	2	NA	NA	0	1
that	that	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
been	been	16	1	1	1	0	0
for	for	16	1	1	2	0	0
love	love	16	2	1	3	1	1
brothers	bro-	16	1	NA	NA	0	0
brothers	thers	16	1	NA	NA	0	0
keep	keep	16	2	NA	NA	0	0
going	go-	16	1	NA	NA	0	0
going	ing	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
theirs	theirs	16	2	NA	NA	0	1
but	but	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
get	get	16	1	1	1	0	0
enough	e-	16	1	1	2	0	0
enough	nough	16	4	1	3	1	1
world	world	16	2	NA	NA	0	0
travelers	tra-	16	1	NA	NA	0	0
travelers	ve-	16	1	NA	NA	0	0
travelers	lers	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
seen	seen	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
did	did	16	1	1	1	0	0
enough	e-	16	1	1	2	0	0
enough	nough	16	2	1	3	1	1
only	on-	16	1	NA	NA	0	0
only	ly	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
return	re-	16	1	NA	NA	0	0
return	turn	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
learn	learn	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
world	world	16	2	NA	NA	0	0
wasn't	was-	16	1	NA	NA	0	0
wasn't	n't	16	1	NA	NA	0	0
big	big	16	1	1	1	0	0
enough	e-	16	1	1	2	0	0
enough	nough	16	3	1	3	1	1
damn	damn	16	2	NA	NA	0	0
how	how	16	1	NA	NA	0	0
long	long	16	1	NA	NA	0	0
has	has	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
been	been	16	2	NA	NA	0	1
i	i	16	1	NA	NA	0	0
guess	guess	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
jig	jig	16	1	1	1	0	0
is	is	16	1	1	2	0	0
up	up	16	3	1	3	1	1
now	now	16	1	NA	NA	0	0
