word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i'm	i'm	48	3	NA	NA	0	0
always	al-	24	3	NA	NA	0	0
always	ways	24	2	NA	NA	0	0
early	ea-	24	1	NA	NA	0	0
early	rly	24	5	NA	NA	0	1
i	i	24	1	NA	NA	0	0
never	ne-	24	2	NA	NA	0	0
never	ver	24	1	NA	NA	0	0
take	take	24	2	1	1	0	0
off	off	24	6	1	2	1	1
cause	cause	24	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
got	got	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
job	job	24	5	NA	NA	0	0
rob	rob	24	3	NA	NA	0	0
peter	pe-	24	1	NA	NA	0	0
peter	ter	24	2	NA	NA	0	0
to	to	24	1	NA	NA	0	0
pay	pay	24	2	1	1	0	0
paul	paul	24	4	1	2	1	1
now	now	24	2	NA	NA	0	0
i	i	24	1	NA	NA	0	0
realize	re-	24	2	NA	NA	0	0
realize	a-	24	1	NA	NA	0	0
realize	lize	24	3	NA	NA	0	0
it's	it's	24	2	NA	NA	0	0
the	the	24	1	NA	NA	0	0
winner	win-	24	2	NA	NA	0	0
winner	ner	24	1	NA	NA	0	0
that	that	24	2	NA	NA	0	0
takes	takes	24	3	1	1	0	0
all	all	24	3	1	2	1	1
do	do	24	1	NA	NA	0	0
what	what	24	2	NA	NA	0	0
i	i	24	1	NA	NA	0	0
gotta	go-	24	2	NA	NA	0	0
gotta	tta	24	1	NA	NA	0	0
do	do	24	5	NA	NA	0	1
because	be-	24	1	NA	NA	0	0
because	cause	24	2	NA	NA	0	0
i	i	24	1	NA	NA	0	0
can't	can't	24	2	NA	NA	0	0
take	take	24	3	1	1	0	0
loss	loss	24	3	1	2	1	1
picture	pic-	24	1	NA	NA	0	0
picture	ture	24	2	NA	NA	0	0
me	me	24	1	NA	NA	0	0
living	liv-	24	2	NA	NA	0	0
living	ing	24	1	NA	NA	0	0
life	life	24	5	NA	NA	0	1
as	as	24	1	NA	NA	0	0
if	if	24	2	NA	NA	0	0
i'm	i'm	24	1	NA	NA	0	0
some	some	24	2	NA	NA	0	0
animal	a-	24	2	2	1	0	0
animal	ni-	24	1	2	2	0	0
animal	mal	24	4	2	3	1	1
that	that	24	2	NA	NA	0	0
consumes	con-	24	1	NA	NA	0	0
consumes	sumes	24	2	NA	NA	0	0
its	its	24	1	NA	NA	0	0
own	own	24	3	NA	NA	0	0
dreams	dreams	24	3	NA	NA	0	0
like	like	24	2	NA	NA	0	0
i'm	i'm	24	1	NA	NA	0	0
a	a	24	2	NA	NA	0	0
cannibal	can-	24	1	2	1	0	0
cannibal	ni-	24	2	2	2	0	0
cannibal	bal	24	3	2	3	1	1
i	i	24	1	NA	NA	0	0
won't	won't	24	2	NA	NA	0	0
accept	ac-	24	1	NA	NA	0	0
accept	cept	24	3	NA	NA	0	0
failure	fail-	24	2	NA	NA	0	0
failure	ure	24	3	NA	NA	0	1
unless	un-	24	1	NA	NA	0	0
unless	less	24	2	NA	NA	0	0
it's	it's	24	1	NA	NA	0	0
mechanical	mech-	24	2	NA	NA	0	0
mechanical	an-	24	1	2	1	0	0
mechanical	i-	24	2	2	2	0	0
mechanical	cal	24	3	2	3	1	1
but	but	24	1	NA	NA	0	0
