word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
the	the	16	1	NA	NA	0	0
longest	long-	16	1	NA	NA	0	0
longest	est	16	1	NA	NA	0	0
walk	walk	16	1	NA	NA	0	0
i'll	i'll	16	1	NA	NA	0	0
probly	prob-	16	1	NA	NA	0	0
probly	ly	16	1	NA	NA	0	0
ever	e-	16	1	1	1	0	0
ever	ver	16	1	1	2	0	0
be	be	16	1	1	3	0	0
on	on	16	2	1	4	1	1
the	the	16	1	NA	NA	0	0
road	road	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
perdition	per-	16	1	NA	NA	0	0
perdition	di-	16	1	NA	NA	0	0
perdition	tion	16	1	NA	NA	0	0
guess	guess	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
fin	fin	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
get	get	16	1	1	1	0	0
my	my	16	1	1	2	0	0
plea	plea	16	1	1	3	0	0
on	on	16	2	1	4	1	1
i	i	16	1	NA	NA	0	0
pray	pray	16	1	NA	NA	0	0
these	these	16	2	NA	NA	0	0
wings	wings	16	3	NA	NA	0	1
strong	strong	16	1	NA	NA	0	0
enough	e-	16	1	NA	NA	0	0
enough	nough	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
carry	car-	16	1	1	1	0	0
carry	ry	16	1	1	2	0	0
me	me	16	1	1	3	0	0
on	on	16	2	1	4	1	1
i	i	16	1	NA	NA	0	0
promise	pro-	16	1	NA	NA	0	0
promise	mise	16	1	NA	NA	0	0
evry	ev-	16	1	NA	NA	0	0
evry	ry	16	1	NA	NA	0	0
second	se-	16	1	NA	NA	0	0
second	cond	16	1	NA	NA	0	0
felt	felt	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
took	took	16	1	1	1	0	0
an	an	16	1	1	2	0	0
eon	e-	16	1	1	3	0	0
eon	on	16	3	1	4	1	1
walking	walk-	16	1	NA	NA	0	0
walking	ing	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
lost	lost	16	2	NA	NA	0	0
boys	boys	16	2	NA	NA	0	0
of	of	16	1	NA	NA	0	0
sierra	si-	16	1	NA	NA	0	0
sierra	er-	16	1	1	1	0	0
sierra	ra	16	1	1	2	0	0
leone	le-	16	1	1	3	0	0
leone	one	16	2	1	4	1	1
the	the	16	1	NA	NA	0	0
trail	trail	16	1	2	1	0	0
of	of	16	1	2	2	0	0
tears	tears	16	2	2	3	0	0
what	what	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
cherokee	che-	16	1	1	1	0	0
cherokee	ro-	16	1	1	2	0	0
cherokee	kee	16	1	1	3	0	0
on	on	16	2	1	4	1	1
between	be-	16	1	NA	NA	0	0
between	tween	16	1	2	1	0	0
the	the	16	1	2	2	0	0
ears	ears	16	2	2	3	0	0
something	some-	16	1	NA	NA	0	0
something	thing	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
require	re-	16	1	NA	NA	0	0
require	qui-	16	1	NA	NA	0	0
require	re	16	1	NA	NA	0	0
therapy	the-	16	1	1	1	0	0
therapy	ra-	16	1	1	2	0	0
therapy	py	16	1	1	3	0	0
on	on	16	2	1	4	1	1
for	for	16	1	NA	NA	0	0
working	work-	16	1	NA	NA	0	0
working	ing	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bone	bone	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
name	name	16	2	NA	NA	0	1
robert	ro-	16	1	1	1	0	0
robert	bert	16	1	1	2	0	0
