word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
yo	yo	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
control	con-	16	1	NA	NA	0	0
control	trol	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
stadium	sta-	16	1	NA	NA	0	0
stadium	di-	16	1	NA	NA	0	0
stadium	um	8	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
law	law	8	1	NA	NA	0	0
long	long	8	1	NA	NA	0	0
arm	arm	16	3	1	1	1	0
warn	warn	16	3	1	1	0	1
ring	ring	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
alarm	a-	16	1	NA	NA	0	0
alarm	larm	8	1	1	1	0	0
cause	cause	16	1	NA	NA	0	0
here	here	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
roots	roots	8	1	NA	NA	0	0
come	come	16	3	1	1	1	1
the	the	16	1	NA	NA	0	0
funk's	funk's	8	1	NA	NA	0	0
all	all	8	1	NA	NA	0	0
ready	read-	16	1	NA	NA	0	0
ready	y	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
whoever	who-	16	1	NA	NA	0	0
whoever	e-	16	1	NA	NA	0	0
whoever	ver	16	1	NA	NA	0	0
want	want	8	1	NA	NA	0	0
some	some	16	3	1	1	1	1
your	your	16	1	NA	NA	0	0
album	al-	16	1	NA	NA	0	0
album	bum	8	1	1	1	0	0
get	get	8	1	NA	NA	0	0
split	split	8	1	NA	NA	0	0
like	like	8	1	NA	NA	0	1
a	a	16	1	NA	NA	0	0
lump	lump	8	1	NA	NA	0	0
sum	sum	8	1	1	1	1	0
no	no	16	1	NA	NA	0	0
doubt	doubt	16	3	NA	NA	0	1
under	un-	16	1	NA	NA	0	0
under	der	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
influencin	in-	16	1	NA	NA	0	0
influencin	flu-	16	1	NA	NA	0	0
influencin	en-	16	1	NA	NA	0	0
influencin	cin	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
outcome	out-	16	3	NA	NA	0	0
outcome	come	8	1	1	1	1	1
millenium	mil-	16	1	NA	NA	0	0
millenium	len-	16	1	NA	NA	0	0
millenium	i-	16	1	NA	NA	0	0
millenium	um	8	1	NA	NA	0	0
spaceship	space-	8	1	2	1	0	0
spaceship	ship	16	3	2	2	0	1
totally	to-	16	1	NA	NA	0	0
totally	tal-	16	1	NA	NA	0	0
totally	ly	16	1	NA	NA	0	0
wasted	was-	8	1	2	1	0	0
wasted	ted	8	1	2	2	1	1
schoolly	school-	16	1	NA	NA	0	0
schoolly	ly	16	1	NA	NA	0	0
d	d	8	1	NA	NA	0	0
classic	clas-	16	1	NA	NA	0	0
classic	sic	8	1	NA	NA	0	0
though	though	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
vocally	vo-	16	1	NA	NA	0	0
vocally	cal-	16	1	NA	NA	0	0
vocally	ly	16	1	NA	NA	0	0
laced	laced	8	1	2	1	0	0
it	it	8	1	2	2	1	1
taste	taste	8	1	NA	NA	0	0
this	this	8	1	NA	NA	0	0
swerve	swerve	8	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
regular	re-	16	1	NA	NA	0	0
regular	gu-	16	1	NA	NA	0	0
regular	lar	16	1	NA	NA	0	0
basis	bas-	8	1	2	1	0	0
basis	is	16	3	2	2	1	1
servin	ser-	16	1	NA	NA	0	0
servin	vin	16	1	NA	NA	0	0
y'all	y'all	16	1	NA	NA	0	0
whatever	what-	16	1	NA	NA	0	0
whatever	ev-	16	1	NA	NA	0	0
whatever	er	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
place	place	8	1	2	1	0	0
is	is	16	3	2	2	1	1
blowin	blow-	16	1	NA	NA	0	0
blowin	in	16	1	NA	NA	0	0
conniseur	con-	16	1	NA	NA	0	0
conniseur	ni-	16	1	NA	NA	0	0
conniseur	seur	8	1	NA	NA	0	0
quality	qua-	16	1	NA	NA	0	0
quality	li-	16	1	NA	NA	0	0
quality	ty	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
competitor's	com-	16	1	NA	NA	0	0
competitor's	pet-	16	1	NA	NA	0	0
competitor's	i-	16	1	NA	NA	0	0
competitor's	tor's	16	1	NA	NA	0	0
faces	fa-	8	1	2	1	0	0
faces	ces	16	3	2	2	1	1
this	this	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
without	with-	16	1	NA	NA	0	0
without	out	8	1	3	1	0	0
doubt	doubt	8	1	3	2	0	0
your	your	16	1	NA	NA	0	0
lady	lad-	16	1	NA	NA	0	0
lady	y	16	1	NA	NA	0	0
pass	pass	8	1	3	1	0	0
out	out	16	3	3	2	1	1
this	this	16	1	NA	NA	0	0
illa	il-	16	1	NA	NA	0	0
illa	la	16	1	NA	NA	0	0
fifth	fifth	8	1	NA	NA	0	0
twilight	twi-	16	1	NA	NA	0	0
twilight	light	8	1	NA	NA	0	0
zone	zone	8	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
ass	ass	8	1	3	1	0	0
out	out	16	3	3	2	1	1
shout	shout	16	3	3	2	0	1
to	to	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
brothers	bro-	16	1	NA	NA	0	0
brothers	thers	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
back	back	8	1	3	1	0	0
route	route	16	3	3	2	1	1
whippin	whip-	16	1	NA	NA	0	0
whippin	pin	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
short	short	8	1	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
smacked	smacked	8	1	3	1	0	0
out	out	16	3	3	2	0	1
dig	dig	16	1	NA	NA	0	0
it	it	8	1	NA	NA	1	1
strump	strump	8	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
cassette	cas-	16	1	NA	NA	0	0
cassette	sette	8	1	4	1	0	0
deck	deck	8	1	4	2	0	0
hip	hip	16	1	NA	NA	0	0
hop	hop	8	1	NA	NA	0	0
has	has	16	1	NA	NA	0	0
not	not	8	1	NA	NA	0	0
left	left	8	1	4	1	0	0
yet	yet	16	3	4	2	1	1
i	i	16	1	NA	NA	0	0
sent	sent	16	1	4	2	0	0
a	a	16	1	NA	NA	0	0
verse	verse	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
mail	mail	8	1	NA	NA	0	0
like	like	8	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
death	death	8	1	4	1	0	0
threat	threat	16	3	4	2	1	1
the	the	16	1	NA	NA	0	0
critically	cri-	16	1	NA	NA	0	0
critically	ti-	16	1	NA	NA	0	0
critically	cal-	16	1	NA	NA	0	0
critically	ly	16	1	NA	NA	0	0
acclaimed	ac-	16	1	NA	NA	0	0
acclaimed	claimed	8	1	NA	NA	0	0
composer	com-	16	1	NA	NA	0	0
composer	po-	8	1	5	1	0	0
composer	ser	8	1	5	2	0	1
stand	stand	8	1	NA	NA	0	0
over	o-	8	1	5	1	0	0
over	ver	16	1	5	2	1	1
whichever	which-	16	1	NA	NA	0	0
whichever	e-	16	1	NA	NA	0	0
whichever	ver	16	1	NA	NA	0	0
mute	mute	8	1	NA	NA	0	0
miniscule	mi-	16	1	NA	NA	0	0
miniscule	nis-	16	1	NA	NA	0	0
miniscule	cule	8	1	NA	NA	0	0
mic	mic	8	1	NA	NA	0	0
holder	hol-	16	1	5	1	0	0
holder	der	8	1	5	2	1	1
you	you	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
knew	knew	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
real	real	8	1	NA	NA	0	0
before	be-	16	1	NA	NA	0	0
before	fore	8	1	NA	NA	0	1
yo	yo	16	1	NA	NA	0	0
i	i	8	1	NA	NA	0	0
show	show	16	1	5	1	0	0
ya	ya	8	1	5	2	1	1
you	you	16	1	NA	NA	0	0
need	need	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
thoughts	thoughts	8	1	NA	NA	0	0
more	more	8	1	NA	NA	0	0
sober	so-	16	1	5	1	0	0
sober	ber	16	1	5	2	0	0
think	think	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
over	o-	16	1	5	1	0	0
over	ver	16	1	5	2	1	1
