word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
somebody	some-	16	1	NA	NA	0	0
somebody	bo-	16	1	NA	NA	0	0
somebody	dy	16	1	NA	NA	0	0
told	told	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
planet	plan-	16	1	NA	NA	0	0
planet	et	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
small	small	16	2	NA	NA	0	0
we	we	16	1	NA	NA	0	0
use	use	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
live	live	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
same	same	16	2	NA	NA	0	0
building	build-	16	1	NA	NA	0	0
building	ing	16	1	NA	NA	1	1
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
same	same	16	2	NA	NA	0	0
floor	floor	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
met	met	16	1	NA	NA	0	0
before	be-	16	1	NA	NA	0	0
before	fore	16	1	NA	NA	1	1
until	un-	16	1	NA	NA	0	0
until	til	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
overseas	o-	16	1	NA	NA	0	0
overseas	ver-	16	1	NA	NA	0	0
overseas	seas	16	1	NA	NA	0	0
on	on	16	2	NA	NA	0	0
tour	tour	16	2	NA	NA	0	0
met	met	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
ethiopian	e-	16	1	NA	NA	0	0
ethiopian	thi-	16	1	NA	NA	0	0
ethiopian	o-	16	1	NA	NA	0	0
ethiopian	pi-	16	1	NA	NA	0	0
ethiopian	an	16	1	NA	NA	0	0
queen	queen	16	2	NA	NA	1	1
outta	out-	16	1	NA	NA	0	0
outta	ta	16	1	NA	NA	0	0
philly	phil-	16	1	NA	NA	0	0
philly	ly	16	1	NA	NA	0	0
taking	tak-	16	1	NA	NA	0	0
taking	ing	16	1	NA	NA	0	0
classes	clas-	16	1	NA	NA	0	0
classes	ses	16	1	NA	NA	0	0
abroad	a-	16	1	NA	NA	0	0
abroad	broad	16	2	NA	NA	1	1
she	she	16	1	NA	NA	0	0
studying	stud-	16	1	NA	NA	0	0
studying	y-	16	1	NA	NA	0	0
studying	ing	16	2	NA	NA	0	0
film	film	16	2	NA	NA	0	0
photo	pho-	16	1	NA	NA	0	0
photo	to	16	1	NA	NA	0	0
flash	flash	16	2	NA	NA	0	0
focus	fo-	16	1	NA	NA	0	0
focus	cus	16	1	NA	NA	0	0
record	re-	16	1	NA	NA	0	0
record	cord	16	3	NA	NA	1	1
said	said	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
working	work-	16	1	NA	NA	0	0
working	ing	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
flick	flick	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
click	click	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
score	score	16	2	NA	NA	1	1
she	she	16	1	NA	NA	0	0
said	said	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
loved	loved	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
show	show	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
paris	pa-	16	1	NA	NA	0	0
paris	ris	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
elysee	e-	16	1	NA	NA	0	0
elysee	lys-	16	1	NA	NA	0	0
elysee	ee	16	1	NA	NA	0	0
montmartre	mont-	16	1	NA	NA	0	0
montmartre	martre	16	3	NA	NA	1	1
told	told	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
stepped	stepped	16	1	NA	NA	0	0
off	off	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
stage	stage	16	3	NA	NA	0	0
with	with	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
piece	piece	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
heart	heart	16	2	NA	NA	1	1
we	we	16	1	NA	NA	0	0
knew	knew	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
start	start	16	2	NA	NA	0	0
that	that	16	1	NA	NA	0	0
things	things	16	2	NA	NA	0	0
fall	fall	16	1	NA	NA	0	0
apart	a-	16	1	NA	NA	0	0
apart	part	16	1	NA	NA	0	0
intentions	in-	16	1	NA	NA	0	0
intentions	ten-	16	1	NA	NA	0	0
intentions	tions	16	1	NA	NA	0	0
shatter	shat-	16	1	NA	NA	0	0
shatter	ter	16	2	NA	NA	1	1
she	she	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
matter	mat-	16	1	NA	NA	0	0
matter	ter	16	2	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
home	home	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
her	her	16	1	NA	NA	1	1
through	through	16	1	NA	NA	0	0
letter	let-	16	1	NA	NA	0	0
letter	ter	16	1	NA	NA	0	0
phone	phone	16	2	NA	NA	0	0
whatever	what-	16	1	NA	NA	0	0
whatever	ev-	16	1	NA	NA	0	0
whatever	er	16	2	NA	NA	0	0
let's	let's	16	1	NA	NA	0	0
link	link	16	1	NA	NA	0	0
let's	let's	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
together	to-	16	1	NA	NA	0	0
together	geth-	16	1	NA	NA	0	0
together	er	16	2	NA	NA	1	1
you	you	16	1	NA	NA	0	0
think	think	16	2	NA	NA	0	0
not	not	16	3	NA	NA	0	0
like	like	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
went	went	16	1	NA	NA	0	0
home	home	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
forgot	for-	16	1	NA	NA	0	0
forgot	got	16	3	NA	NA	1	1
