word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
yo	yo	16	3	NA	NA	0	1
i'm	i'm	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
type	type	16	1	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
always	al-	16	1	NA	NA	0	0
always	ways	16	1	NA	NA	0	0
catching	catch-	16	1	NA	NA	0	0
catching	ing	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
flight	flight	16	2	1	1	1	1
and	and	16	1	NA	NA	0	0
sometimes	some-	16	1	NA	NA	0	0
sometimes	times	16	2	1	1	0	1
i	i	16	1	NA	NA	0	0
gotta	got-	16	1	NA	NA	0	0
gotta	ta	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
out	out	16	2	NA	NA	0	1
at	at	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
height	height	16	1	1	1	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
night	night	16	2	1	1	1	1
and	and	16	1	NA	NA	0	0
that's	that's	16	1	NA	NA	0	0
when	when	16	2	NA	NA	0	1
she	she	16	1	NA	NA	0	0
flip	flip	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
ol	ol	32	1	NA	NA	0	0
another	a-	32	1	NA	NA	0	0
another	no-	16	1	NA	NA	0	0
another	ther	16	1	NA	NA	0	0
lonely	lone-	16	1	NA	NA	0	0
lonely	ly	16	1	NA	NA	0	0
night	night	16	2	1	1	1	0
seem	seem	16	1	NA	NA	0	0
like	like	16	2	NA	NA	0	1
i'm	i'm	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
side	side	16	1	1	1	0	0
you	you	16	1	NA	NA	0	0
only	on-	16	1	NA	NA	0	0
only	ly	16	1	NA	NA	0	0
loving	lov-	16	1	NA	NA	0	0
loving	ing	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
mic	mic	16	2	1	1	1	1
i	i	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
gotta	got-	16	1	NA	NA	0	0
gotta	ta	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
paper	pa-	16	1	NA	NA	0	0
paper	per	16	1	NA	NA	0	0
daddy	dad-	16	1	NA	NA	0	0
daddy	dy	16	1	NA	NA	0	0
keep	keep	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
tight	tight	16	2	1	1	1	1
but	but	16	1	NA	NA	0	0
yo	yo	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
need	need	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
sort	sort	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
love	love	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
life	life	16	2	1	1	0	1
you	you	16	1	NA	NA	0	0
dig	dig	16	1	2	1	0	0
me	me	16	2	2	2	1	1
while	while	16	1	NA	NA	0	0
politicking	po-	16	1	NA	NA	0	0
politicking	li-	16	1	NA	NA	0	0
politicking	tick-	16	1	NA	NA	0	0
politicking	ing	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
sister	sis-	16	1	NA	NA	0	0
sister	ter	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
new	new	16	1	NA	NA	0	0
york	york	16	2	NA	NA	0	0
city	ci-	16	1	2	1	0	0
city	ty	16	2	2	2	1	1
she	she	16	1	NA	NA	0	0
said	said	16	1	NA	NA	0	0
she	she	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
ball	ball	16	2	NA	NA	0	0
player	play-	16	1	NA	NA	0	0
player	er	16	2	NA	NA	0	1
and	and	32	1	NA	NA	0	0
he	he	32	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
pretty	pret-	16	1	2	1	0	0
pretty	ty	16	2	2	2	0	0
psych	psych	16	2	1	1	1	1
i'm	i'm	16	1	NA	NA	0	0
playing	play-	16	1	NA	NA	0	0
playing	ing	16	1	NA	NA	0	0
boo	boo	16	1	3	1	0	1
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
wit	wit	16	1	NA	NA	0	0
you	you	16	1	3	1	0	0
i'm	i'm	16	1	NA	NA	0	0
staying	stay-	16	1	NA	NA	0	0
staying	ing	16	1	NA	NA	0	0
boo	boo	16	1	3	1	1	1
and	and	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
cats	cats	16	2	NA	NA	0	0
be	be	16	1	NA	NA	0	0
popping	pop-	16	1	NA	NA	0	0
popping	ping	16	1	NA	NA	0	0
game	game	16	1	NA	NA	0	1
i	i	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
hear	hear	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
saying	say-	16	1	NA	NA	0	0
saying	in	16	1	NA	NA	0	0
boo	boo	16	2	3	1	1	1
when	when	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
there	there	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
world	world	16	2	4	1	0	1
i'm	i'm	16	1	NA	NA	0	0
still	still	16	2	NA	NA	0	0
your	your	16	1	NA	NA	0	0
girl	girl	16	3	4	1	1	1
with	with	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
classes	clas-	16	1	NA	NA	0	0
classes	ses	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
