word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
used	used	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
have	have	16	3	NA	NA	1	1
peace	peace	16	2	NA	NA	0	0
serenity	se-	16	1	1	1	0	0
serenity	ren-	16	1	1	2	0	0
serenity	i-	16	1	1	3	0	0
serenity	ty	16	3	1	4	0	1
teaching	teach-	16	1	NA	NA	0	0
teaching	ing	16	1	NA	NA	0	0
divinity	div-	16	1	1	1	0	0
divinity	in-	16	1	1	2	0	0
divinity	i-	16	1	1	3	0	0
divinity	ty	16	2	1	4	1	1
break	break	16	2	NA	NA	0	0
bread	bread	16	2	NA	NA	0	0
sipping	sip-	16	1	NA	NA	0	0
sipping	ping	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
blood	blood	16	2	NA	NA	0	0
eating	eat-	16	1	NA	NA	0	0
eating	ing	16	1	NA	NA	0	0
with	with	16	1	1	1	0	0
enemies	e-	16	1	1	2	0	0
enemies	ne-	16	1	1	3	0	0
enemies	mies	16	2	1	4	1	1
blind	blind	16	4	2	1	0	1
pearl	pearl	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
mind	mind	16	2	2	1	0	0
thinking	think-	16	1	NA	NA	0	0
thinking	ing	16	1	NA	NA	0	0
we	we	16	1	1	1	0	0
finna	fin-	16	1	1	2	0	0
finna	na	16	1	1	3	0	0
be	be	16	5	1	4	1	1
this	this	16	2	NA	NA	0	0
that	that	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
third	third	16	2	NA	NA	0	0
boy	boy	24	1	NA	NA	0	0
did	did	24	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
learn	learn	16	2	3	1	0	0
tables	tab-	16	1	NA	NA	0	0
tables	les	16	1	NA	NA	0	0
turn	turn	16	2	3	1	1	1
billy	bil-	16	1	NA	NA	0	0
billy	ly	16	1	NA	NA	0	0
