word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
well	well	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
must	must	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
close	close	16	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
the	the	32	1	NA	NA	1	0
armageddon	ar-	16	1	NA	NA	0	0
armageddon	mag-	16	1	NA	NA	0	0
armageddon	ed-	16	1	NA	NA	0	0
armageddon	don	16	1	NA	NA	0	0
lord	lord	16	2	NA	NA	0	0
you	you	16	1	NA	NA	0	0
know	know	16	2	NA	NA	0	1
that	that	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
won't	won't	16	1	NA	NA	0	0
fly	fly	16	1	NA	NA	0	0
by	by	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
lesson	les-	16	1	NA	NA	0	0
lesson	son	16	1	NA	NA	1	0
you	you	16	1	NA	NA	0	0
taught	taught	16	1	1	1	0	0
me	me	32	3	1	2	0	1
to	to	32	1	NA	NA	0	0
pull	pull	32	1	NA	NA	0	0
out	out	32	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
wesson	wes-	16	1	NA	NA	0	0
wesson	son	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
brought	brought	16	1	1	1	0	0
me	me	16	2	1	2	0	1
and	and	32	1	NA	NA	0	0
am	am	32	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
stressing	stres-	16	1	NA	NA	0	0
stressing	sing	16	1	NA	NA	0	0
it	it	16	1	NA	NA	1	0
softly	sof-	16	1	1	1	0	0
softly	tly	16	2	1	2	0	1
get	get	32	1	NA	NA	0	0
em	em	32	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
off	off	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
all	all	16	1	1	1	0	0
we	we	16	2	1	2	0	1
wanted	wan-	32	1	NA	NA	0	0
wanted	ted	32	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
harmony	har-	16	1	1	1	0	0
harmony	mo-	32	1	1	2	0	0
harmony	ny	32	1	NA	NA	0	0
been	been	16	1	NA	NA	0	0
bombing	bomb-	16	1	1	1	0	0
bombing	ing	32	1	1	2	0	0
em	em	32	1	NA	NA	1	0
yell	yell	32	1	NA	NA	0	0
up	up	32	1	NA	NA	0	0
outta	out-	32	1	NA	NA	0	0
outta	ta	32	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
ghetto	ghet-	16	1	2	1	0	0
ghetto	to	16	1	2	2	0	0
i	i	16	1	NA	NA	0	0
won't	won't	16	1	NA	NA	0	0
settle	set-	16	1	2	1	0	0
settle	tle	16	1	2	2	0	0
get	get	32	1	NA	NA	0	0
on	on	32	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
level	le-	16	1	2	1	0	0
level	vel	16	1	2	2	0	0
they	they	16	1	NA	NA	0	0
can't	can't	16	2	NA	NA	1	1
stop	stop	16	1	3	1	0	0
me	me	16	1	3	2	0	0
or	or	16	1	NA	NA	0	0
drop	drop	16	1	3	1	0	0
me	me	16	1	3	2	0	0
nigga	nig-	32	1	NA	NA	0	0
nigga	ga	32	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
got	got	16	1	3	1	0	0
me	me	16	1	3	2	0	0
fuck	fuck	16	1	6	1	0	0
naw	naw	16	2	6	2	1	1
little	lit-	32	1	NA	NA	0	0
little	tle	32	1	NA	NA	0	0
pac	pac	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
schizophrenic	schi-	16	1	NA	NA	0	0
schizophrenic	zo-	16	1	NA	NA	0	0
schizophrenic	phre-	16	1	NA	NA	0	0
schizophrenic	nic	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
manage	man-	16	1	4	1	0	0
manage	age	16	1	4	2	0	0
to	to	16	1	NA	NA	0	0
damage	da-	16	1	4	1	0	0
damage	mage	16	1	4	2	0	0
all	all	16	1	6	1	0	0
y'all	y'all	16	4	6	2	1	1
i'll	i'll	16	2	NA	NA	0	0
talk	talk	32	1	NA	NA	0	0
about	a-	32	1	NA	NA	0	0
about	bout	32	1	7	1	0	0
em	em	32	1	7	2	0	0
and	and	32	1	NA	NA	0	0
you	you	32	2	NA	NA	0	0
don't	don't	32	1	NA	NA	0	0
really	real-	32	1	NA	NA	0	0
really	ly	32	1	NA	NA	0	0
