word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
ever	e-	16	1	NA	NA	0	0
ever	ver	16	1	NA	NA	0	0
since	since	16	2	NA	NA	0	0
day	day	16	2	NA	NA	0	0
number	num-	16	1	NA	NA	0	0
number	ber	16	1	NA	NA	0	0
one	one	16	3	1	1	1	1
it's	it's	16	1	NA	NA	0	0
just	just	16	2	NA	NA	0	0
me	me	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
where	where	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
coming	com-	16	1	NA	NA	0	0
coming	ing	16	1	NA	NA	0	0
from	from	16	3	1	1	1	1
rites	rites	16	2	NA	NA	0	0
of	of	16	1	NA	NA	0	0
passage	pas-	16	2	NA	NA	0	0
passage	sage	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
shadows	sha-	32	3	NA	NA	0	0
shadows	dows	32	3	NA	NA	0	0
on	on	32	3	NA	NA	0	0
the	the	32	3	NA	NA	0	0
sun	sun	16	4	1	1	1	1
my	my	16	2	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
stand	stand	16	2	NA	NA	0	0
before	be-	16	1	NA	NA	0	0
before	fore	16	2	NA	NA	0	0
you	you	16	1	2	1	0	0
as	as	16	1	2	2	0	0
a	a	16	1	NA	NA	1	0
man	man	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
more	more	16	2	NA	NA	0	0
true	true	12	1	2	1	0	0
shit	shit	12	1	2	2	0	0
than	than	24	1	NA	NA	0	0
he	he	24	1	NA	NA	0	0
knows	knows	16	2	NA	NA	0	0
what	what	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
do	do	16	2	2	1	0	0
with	with	16	3	2	2	1	1
i	i	16	1	NA	NA	0	0
give	give	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
all	all	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
long	long	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
promise	pro-	16	1	3	1	0	0
promise	mise	16	1	3	2	0	0
me	me	16	1	3	3	0	0
this	this	16	3	3	4	1	1
when	when	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
time	time	16	2	NA	NA	0	0
you	you	16	1	NA	NA	0	0
will	will	16	1	NA	NA	0	0
ball	ball	16	1	3	1	0	0
up	up	16	1	3	2	0	0
a	a	16	1	3	3	0	0
fist	fist	16	3	3	4	0	0
like	like	16	2	3	3	0	0
this	this	16	2	3	4	1	1
me	me	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
anthony	an-	16	1	NA	NA	0	0
anthony	thon-	16	1	NA	NA	0	0
anthony	y	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
fill	fill	16	1	NA	NA	0	0
all	all	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
gaps	gaps	16	2	4	1	0	0
in	in	24	1	4	2	1	0
and	and	24	1	NA	NA	0	0
are	are	24	1	NA	NA	0	0
proud	proud	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
make	make	16	2	NA	NA	0	0
regardless	re-	16	1	NA	NA	0	0
regardless	gard-	16	2	NA	NA	0	0
regardless	less	16	1	NA	NA	0	0
what	what	16	2	NA	NA	0	0
happens	hap-	16	2	4	1	0	0
happens	pens	16	4	4	2	1	1
fuck	fuck	16	2	NA	NA	0	0
rapping	rap-	16	2	NA	NA	0	0
rapping	pin	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
sing	sing	16	1	NA	NA	0	0
off	off	16	2	5	1	0	0
key	key	16	3	5	2	1	1
one	one	16	2	NA	NA	0	0
thing	thing	16	2	NA	NA	0	0
you	you	16	1	NA	NA	0	0
should	should	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
dis	dis	16	1	NA	NA	0	0
ali	a-	16	2	5	1	0	0
ali	li	16	3	5	2	0	0
cause	cause	16	4	NA	NA	1	1
mother	mo-	16	1	NA	NA	0	0
mother	ther	16	2	NA	NA	0	0
fucker	fuc-	16	1	6	1	0	0
fucker	ker	16	1	6	2	0	0
there	there	16	1	NA	NA	0	0
ain't	ain't	16	2	NA	NA	0	0
nothing	no-	16	1	NA	NA	0	0
nothing	thin	16	1	NA	NA	0	0
rougher	rough-	16	1	6	1	0	0
rougher	er	16	1	6	2	1	0
then	then	16	1	NA	NA	0	0
trying	try-	16	1	NA	NA	0	0
trying	in	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
climb	climb	16	2	NA	NA	0	0
from	from	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
rug	rug	16	2	NA	NA	0	0
you	you	16	1	NA	NA	0	0
get	get	16	2	NA	NA	0	0
swept	swept	16	2	NA	NA	0	0
under	un-	16	1	6	1	0	0
under	der	16	3	6	2	1	1
i	i	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
run	run	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
every	ev-	24	1	NA	NA	0	0
every	e-	24	1	NA	NA	0	0
every	ry	24	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
blunders	blund-	16	1	6	1	0	0
blunders	ers	16	3	6	2	1	1
mistake	mis-	16	1	NA	NA	0	0
mistake	take	16	2	NA	NA	0	0
number	num-	16	1	NA	NA	0	0
number	ber	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
crew	crew	16	1	NA	NA	0	0
don't	don't	16	2	NA	NA	0	0
love	love	16	1	6	1	0	0
ya	ya	16	5	6	2	1	1
ill	ill	16	1	NA	NA	0	0
take	take	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
bullet	bul-	16	1	NA	NA	0	0
bullet	let	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
core	core	16	1	7	1	0	0
of	of	16	1	7	2	0	0
the	the	16	1	7	3	0	0
sayers	say-	16	1	7	4	0	0
sayers	ers	16	3	7	5	1	1
when	when	16	1	NA	NA	0	0
me	me	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
dogs	dogs	16	2	NA	NA	0	0
out	out	16	2	NA	NA	0	0
touring	tour-	16	1	7	1	0	0
touring	in	16	1	7	2	0	0
the	the	16	1	7	3	0	0
nation	na-	16	2	7	4	0	0
nation	tion	16	1	7	5	1	1
i	i	16	1	NA	NA	0	0
spit	spit	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
an	an	16	1	NA	NA	0	0
intensity	in-	16	1	NA	NA	0	0
intensity	ten-	16	1	NA	NA	0	0
intensity	si-	16	1	NA	NA	0	0
intensity	ty	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
have	have	16	2	8	1	0	0
to	to	16	1	8	2	0	0
witness	wit-	16	1	8	3	0	0
witness	ness	16	3	8	4	1	1
look	look	16	1	NA	NA	0	0
close	close	16	2	NA	NA	0	0
my	my	16	2	NA	NA	0	0
blood	blood	16	2	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
back	back	16	1	8	1	0	0
of	of	16	1	8	2	0	0
the	the	16	1	8	2	0	0
tickets	tick-	16	1	8	3	0	0
tickets	ets	16	2	8	4	1	0
its	its	16	1	NA	NA	0	0
that	that	16	2	8	1	0	0
religious	re-	16	1	8	2	0	0
religious	li-	16	1	8	3	0	0
religious	gious	16	2	8	4	0	1
its	its	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
teach	teach	16	2	NA	NA	0	0
my	my	16	2	NA	NA	0	0
son	son	16	2	9	1	1	1
how	how	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
read	read	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
quran	qu-	16	1	NA	NA	0	0
quran	ran	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
party	par-	16	1	NA	NA	0	0
party	ty	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
won	won	16	1	9	1	1	1
