word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
left	left	8	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
mama's	ma-	16	1	NA	NA	0	0
mama's	ma's	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
thumb	thumb	16	2	1	1	0	0
in	in	16	1	1	2	0	0
the	the	16	1	1	3	0	0
wind	wind	16	3	1	4	1	1
the	the	16	1	NA	NA	0	0
leaves	leaves	16	2	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ground	ground	16	2	NA	NA	0	0
winter's	win-	16	1	NA	NA	0	0
winter's	ter's	16	1	NA	NA	0	0
coming	com-	16	2	1	1	0	0
coming	in	16	1	1	2	0	0
again	a-	16	1	1	3	0	0
again	gain	16	4	1	4	1	1
solid	so-	16	1	NA	NA	0	0
solid	lid	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
surface	sur-	16	1	NA	NA	0	0
surface	face	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
crumble	crum-	16	2	1	1	0	0
crumble	ble	16	1	1	2	0	0
within	with-	16	1	1	3	0	0
within	in	16	3	1	4	1	1
but	but	16	1	NA	NA	0	0
legends	le-	12	1	NA	NA	0	0
legends	gends	12	1	NA	NA	0	0
are	are	12	1	NA	NA	0	0
made	made	12	1	NA	NA	0	0
out	out	12	1	NA	NA	0	0
of	of	12	1	NA	NA	0	0
vulnerable	vul-	12	1	1	1	0	0
vulnerable	ner-	24	1	NA	NA	0	0
vulnerable	a-	24	1	1	2	0	0
vulnerable	ble	12	1	1	3	0	0
men	men	16	3	1	4	1	1
so	so	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
brink	brink	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
death	death	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
still	still	16	1	NA	NA	0	0
manage	man-	16	1	NA	NA	0	0
manage	age	16	1	NA	NA	0	0
living	liv-	16	1	NA	NA	0	0
living	in	16	1	NA	NA	0	0
life	life	16	2	2	1	1	1
cause	cause	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
rarely	rare-	16	1	NA	NA	0	0
rarely	ly	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
world	world	16	2	NA	NA	0	0
are	are	16	1	NA	NA	0	0
these	these	16	1	NA	NA	0	0
chances	chan-	16	1	NA	NA	0	0
chances	ces	16	1	NA	NA	0	0
given	gi-	16	1	NA	NA	0	0
given	ven	16	1	NA	NA	0	0
twice	twice	16	2	2	1	1	1
i	i	16	1	NA	NA	0	0
indeed	in-	16	1	NA	NA	0	0
indeed	deed	16	2	NA	NA	0	0
sold	sold	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
soul	soul	16	2	NA	NA	0	0
without	with-	16	1	NA	NA	0	0
without	out	16	1	NA	NA	0	0
glancing	glan-	16	1	NA	NA	0	0
glancing	cing	16	1	NA	NA	0	0
