word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
so	so	16	1	NA	NA	0	0
i'ma	i'm-	16	1	NA	NA	0	0
i'ma	a	16	1	NA	NA	0	0
let	let	16	1	NA	NA	0	0
the	the	16	1	NA	NA	1	0
world	world	16	2	NA	NA	0	0
know	know	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
truth	truth	16	2	1	1	0	1
you	you	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
want	want	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
shine	shine	16	2	2	1	1	0
you	you	16	1	NA	NA	0	0
studied	stud-	16	1	NA	NA	0	0
studied	ied	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
rhyme	rhyme	16	3	2	1	0	1
then	then	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
laid	laid	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
vocals	vo-	16	1	NA	NA	0	0
vocals	cals	16	1	NA	NA	0	0
after	af-	16	1	NA	NA	0	0
after	ter	16	1	2	1	0	0
mine	mine	16	2	NA	NA	1	0
that's	that's	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
bitch	bitch	16	1	NA	NA	0	0
move	move	16	2	1	1	0	1
something	some-	16	1	NA	NA	0	0
something	thin	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
homo	ho-	16	1	NA	NA	0	0
homo	mo	16	1	NA	NA	0	0
rapper	rap-	16	1	NA	NA	0	0
rapper	per	16	1	NA	NA	0	0
would	would	16	1	NA	NA	0	0
do	do	16	3	1	1	1	1
so	so	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
say	say	24	1	NA	NA	0	0
that	that	24	1	NA	NA	0	0
you	you	24	1	NA	NA	0	0
platinum	plat-	16	1	NA	NA	0	0
platinum	inum	16	2	NA	NA	0	1
you	you	16	1	NA	NA	0	0
only	on-	16	1	NA	NA	0	0
only	ly	16	1	NA	NA	0	0
dropping	drop-	16	1	NA	NA	0	0
dropping	pin'	16	1	NA	NA	0	0
clue's	clue's	16	2	1	1	1	1
i	i	16	1	NA	NA	0	0
studied	stud-	16	1	NA	NA	0	0
