word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
it's	it's	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
rags	rags	16	2	NA	NA	0	0
on	on	16	1	NA	NA	0	0
an	an	16	1	NA	NA	0	0
automatic	au-	16	1	NA	NA	0	0
automatic	to-	16	1	NA	NA	0	0
automatic	ma-	16	1	NA	NA	0	0
automatic	tic	16	1	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
banger	ban-	16	2	1	1	0	0
banger	ger	16	4	1	2	1	1
and	and	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
always	al-	16	1	NA	NA	0	0
always	ways	16	1	NA	NA	0	0
keep	keep	16	2	NA	NA	0	0
one	one	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
chamber	cham-	16	2	1	1	0	0
chamber	ber	16	3	1	2	1	1
may	may	16	1	2	1	0	0
day	day	16	1	2	2	0	0
may	may	16	1	2	1	0	0
day	day	16	1	2	2	0	0
it's	it's	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
pay	pay	16	1	2	1	0	0
day	day	16	1	2	2	0	0
and	and	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
danger	dan-	16	2	1	1	0	0
danger	ger	16	3	1	2	1	1
i	i	16	1	NA	NA	0	0
broke	broke	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
down	down	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
baby	ba-	16	1	NA	NA	0	0
baby	by	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
manger	man-	16	2	1	1	0	0
manger	ger	16	4	1	2	1	1
i	i	16	1	NA	NA	0	0
won't	won't	16	1	NA	NA	0	0
age	age	16	2	3	1	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
presence	pre-	16	1	NA	NA	0	0
presence	sence	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
stranger	stran-	16	2	1	1	0	0
stranger	ger	16	3	1	2	1	1
with	with	16	1	NA	NA	0	0
twenty	twen-	16	1	NA	NA	0	0
twenty	ty	16	1	NA	NA	0	0
eight	eight	16	1	3	1	0	0
a	a	16	1	NA	NA	0	0
savage	sav-	16	1	NA	NA	0	0
savage	age	16	1	NA	NA	0	0
foe	foe	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
remainder	re-	16	1	NA	NA	0	0
remainder	main-	16	2	1	1	0	0
remainder	der	16	4	1	2	1	1
sixteen	six-	16	2	NA	NA	0	0
sixteen	teen	16	2	NA	NA	0	0
twenty	twen-	16	1	NA	NA	0	0
twenty	ty	16	1	NA	NA	0	0
eighths	eighths	16	2	3	1	0	1
for	for	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
crew	crew	16	2	4	1	1	1
you	you	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
balling	bal-	16	1	NA	NA	0	0
balling	ling	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
bring	bring	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
work	work	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
you	you	16	6	4	1	1	1
water	wa-	16	1	NA	NA	0	0
water	ter	16	1	NA	NA	0	0
whipping	whip-	16	1	5	1	0	0
whipping	pin'	16	2	5	2	0	1
i	i	16	1	NA	NA	0	0
leave	leave	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
daughter	daugh-	16	1	NA	NA	0	0
daughter	ter	16	1	NA	NA	0	0
dripping	drip-	16	1	5	1	0	0
dripping	in'	16	2	5	2	1	1
i'm	i'm	16	1	NA	NA	0	0
speaking	speak-	16	1	NA	NA	0	0
speaking	ing	16	1	NA	NA	0	0
up	up	16	2	NA	NA	0	0
cash	cash	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
fucking	fuck-	16	1	NA	NA	0	0
fucking	ing	16	1	NA	NA	0	0
politician	po-	16	1	NA	NA	0	0
politician	li-	16	1	NA	NA	0	0
politician	ti-	16	1	5	1	0	0
politician	cian	16	4	5	2	1	1
i'm	i'm	16	1	NA	NA	0	0
politicking	po-	16	1	NA	NA	0	0
politicking	li-	16	1	NA	NA	0	0
politicking	tick-	16	1	5	1	0	0
politicking	ing	16	1	5	2	0	0
with	with	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
richest	rich-	16	1	5	1	0	0
