word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
write	write	16	2	NA	NA	0	0
raps	raps	16	3	1	1	0	0
and	and	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
niggas	nig-	16	1	NA	NA	0	0
niggas	gas	16	1	NA	NA	0	0
bite	bite	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
clap	clap	16	4	1	1	1	1
cos	cos	16	1	NA	NA	0	0
their	their	16	1	NA	NA	0	0
shit	shit	16	2	NA	NA	0	0
sounds	sounds	16	2	NA	NA	0	0
better	bet-	16	1	2	1	0	0
better	ter	16	1	2	2	0	0
now	now	16	3	2	3	1	1
you	you	16	1	NA	NA	0	0
done	done	16	2	NA	NA	0	0
let	let	16	1	2	1	0	0
me	me	16	1	2	2	0	0
down	down	16	4	2	3	0	1
cause	cause	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
thought	thought	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
would	would	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
dope	dope	16	2	NA	NA	1	0
but	but	16	1	NA	NA	0	0
instead	in-	16	1	3	1	0	0
instead	stead	16	3	3	2	0	1
your	your	16	1	NA	NA	0	0
shit's	shit's	16	2	3	1	0	0
dead	dead	16	3	3	2	0	1
you	you	16	1	NA	NA	0	0
gets	gets	16	2	3	1	0	0
fed	fed	16	2	3	2	1	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
alligators	al-	16	1	NA	NA	0	0
alligators	li-	16	1	NA	NA	0	0
alligators	ga-	16	1	NA	NA	0	0
alligators	tors	16	1	NA	NA	0	0
lurking	lur-	16	1	NA	NA	0	0
lurking	king	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
moat	moat	16	4	4	1	1	1
peep	peep	16	2	NA	NA	0	0
what	what	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
wrote	wrote	16	3	4	1	0	1
you	you	16	1	NA	NA	0	0
bit	bit	16	2	NA	NA	0	0
so	so	16	1	NA	NA	0	0
hard	hard	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
thought	thought	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
shit	shit	16	2	NA	NA	0	0
was	was	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
quote	quote	16	3	4	1	1	1
but	but	16	1	NA	NA	0	0
still	still	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
taxing	ta-	16	2	5	1	0	0
taxing	xing	16	1	5	2	0	0
axing	a-	16	2	5	1	0	0
axing	xing	16	2	5	2	0	1
the	the	16	1	NA	NA	0	0
competition	comp-	16	1	NA	NA	0	0
competition	e-	16	1	NA	NA	0	0
competition	ti-	16	1	6	1	0	0
competition	tion	16	2	6	2	1	1
and	and	16	1	NA	NA	0	0
any	a-	16	1	NA	NA	0	0
any	ny	16	1	NA	NA	0	0
wack	wack	16	2	5	1	0	0
men	men	16	1	5	2	0	0
i	i	16	1	NA	NA	0	0
stomp	stomp	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
dis	dis	16	1	6	1	0	0
em	em	16	3	6	2	1	1
easily	eas-	16	2	7	1	0	0
easily	il-	16	1	7	2	0	0
easily	y	16	4	7	3	0	1
and	and	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
feel	feel	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
pressure	pres-	16	1	NA	NA	0	0
pressure	sure	16	1	NA	NA	0	0
