word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
rap	rap	16	2	NA	NA	0	0
thing	thing	16	4	NA	NA	0	1
but	but	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
say	say	16	2	NA	NA	0	0
that	that	16	1	NA	NA	0	0
i	i	16	2	NA	NA	0	0
sing	sing	16	3	NA	NA	1	1
that's	that's	16	2	NA	NA	0	0
just	just	16	1	NA	NA	0	0
me	me	16	2	NA	NA	0	0
spreading	spread-	16	1	NA	NA	0	0
spreading	ing	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
icing	i-	16	2	NA	NA	0	0
icing	cing	16	5	NA	NA	1	1
i'm	i'm	16	1	NA	NA	0	0
going	go-	16	1	NA	NA	0	0
going	ing	16	1	NA	NA	0	0
end	end	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
end	end	16	1	NA	NA	0	0
like	like	16	2	NA	NA	0	0
hockey	hock-	16	2	NA	NA	0	0
hockey	ey	16	1	NA	NA	0	0
icing	i-	16	2	NA	NA	0	0
icing	cing	16	1	NA	NA	1	0
fuck	fuck	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
flow	flow	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
wrong	wrong	16	2	NA	NA	0	0
or	or	16	1	NA	NA	0	0
writing	wri-	16	2	NA	NA	0	0
writing	ting	16	3	NA	NA	1	1
i've	i've	16	1	NA	NA	0	0
been	been	16	2	NA	NA	0	0
here	here	16	2	NA	NA	0	0
holdin'	hold-	16	1	NA	NA	0	0
holdin'	in'	16	1	NA	NA	0	0
down	down	16	2	NA	NA	0	0
base	base	16	1	NA	NA	1	1
