word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
arthritis	arth-	16	2	NA	NA	0	0
arthritis	ri-	32	1	NA	NA	0	0
arthritis	tis	32	1	NA	NA	0	0
in	in	32	1	NA	NA	0	0
her	her	32	1	NA	NA	0	0
fingers	fin-	32	1	NA	NA	0	0
fingers	gers	32	1	NA	NA	0	0
carpal	car-	32	1	NA	NA	0	0
carpal	pal	32	1	NA	NA	0	0
tunnel	tun-	32	1	NA	NA	0	0
tunnel	nel	32	1	NA	NA	0	0
in	in	32	1	NA	NA	0	0
her	her	32	1	NA	NA	0	0
wrists	wrists	16	1	1	1	1	1
bout	bout	32	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
feed	feed	32	1	NA	NA	0	0
her	her	32	1	NA	NA	0	0
kids	kids	32	1	NA	NA	0	0
at	at	32	1	NA	NA	0	0
night	night	16	1	NA	NA	0	1
sit	sit	32	1	NA	NA	0	0
between	bet-	32	1	NA	NA	0	0
between	ween	32	1	NA	NA	0	0
her	her	32	1	NA	NA	0	0
legs	legs	32	1	NA	NA	0	0
and	and	32	1	NA	NA	0	0
twist	twist	16	1	1	1	1	1
while	while	32	1	NA	NA	0	0
she	she	32	1	NA	NA	0	0
listen	list-	32	1	1	1	0	0
listen	en	32	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
oldie	ol-	32	1	2	1	0	0
oldie	die	32	1	2	2	0	0
soap	soap	16	1	NA	NA	0	0
operas	ope-	32	1	NA	NA	0	0
operas	ras	32	1	NA	NA	0	0
smoking	smok-	32	1	NA	NA	0	0
smoking	ing	32	1	NA	NA	0	0
bogies	bo-	32	1	2	1	0	0
bogies	gies	32	1	2	2	1	0
on	on	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
phone	phone	16	1	2	1	0	0
gossiping	gos-	32	1	NA	NA	0	0
gossiping	si-	32	1	NA	NA	0	0
gossiping	ping	16	1	NA	NA	0	0
telling	tel-	32	1	NA	NA	0	0
telling	ling	32	1	NA	NA	0	0
home	home	16	1	2	1	0	0
girls	girls	16	1	NA	NA	0	0
stories	stor-	32	1	2	1	0	0
stories	ies	32	3	2	2	1	1
girlfriend	girl-	16	1	NA	NA	0	0
girlfriend	friend	16	1	NA	NA	0	0
worried	wor-	32	1	3	1	0	0
worried	ried	32	1	3	2	0	0
cause	cause	32	1	NA	NA	0	0
her	her	32	1	NA	NA	0	0
son's	son's	16	1	NA	NA	0	0
in	in	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
hurry	hur-	32	1	3	1	0	0
hurry	ry	32	1	3	2	1	0
to	to	16	1	NA	NA	0	0
see	see	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
state	state	16	1	NA	NA	0	0
peng	pen'	16	1	NA	NA	0	0
or	or	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
cemetery	ce-	32	1	NA	NA	0	0
cemetery	me-	32	1	NA	NA	0	0
