word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
mirror	mir-	8	1	NA	NA	0	0
mirror	ror	8	1	NA	NA	0	0
mirror	mir-	8	1	NA	NA	0	0
mirror	ror	8	1	NA	NA	0	0
on	on	8	1	NA	NA	0	0
the	the	8	1	NA	NA	0	0
wall	wall	4	1	1	1	1	1
tell	tell	8	1	NA	NA	0	0
me	me	8	1	NA	NA	0	0
mirror	mir-	8	1	NA	NA	0	0
mirror	ror	8	1	NA	NA	0	0
what	what	8	1	NA	NA	0	0
is	is	8	1	NA	NA	0	0
wrong	wrong	4	1	1	1	1	1
can	can	8	1	NA	NA	0	0
it	it	8	1	NA	NA	0	0
be	be	8	1	NA	NA	0	0
my	my	8	1	NA	NA	0	0
de	de	8	1	NA	NA	0	0
la	la	8	1	NA	NA	0	0
clothes	clothes	8	1	NA	NA	1	0
or	or	8	1	NA	NA	0	0
is	is	8	1	NA	NA	0	0
it	it	8	1	NA	NA	0	0
just	just	8	1	NA	NA	0	0
my	my	8	1	NA	NA	0	0
de	de	8	1	NA	NA	0	0
la	la	8	1	NA	NA	0	0
soul	soul	4	1	1	1	1	1
what	what	8	1	NA	NA	0	0
i	i	8	1	NA	NA	0	0
do	do	8	1	NA	NA	0	0
ain't	ain't	8	1	NA	NA	0	0
make	make	8	1	NA	NA	0	0
believe	be-	8	1	NA	NA	0	0
believe	lieve	4	1	NA	NA	1	1
people	peo-	8	1	NA	NA	0	0
people	ple	8	1	NA	NA	0	0
say	say	8	1	NA	NA	0	0
i	i	8	1	NA	NA	0	0
sit	sit	8	1	NA	NA	0	0
and	and	8	1	NA	NA	0	0
try	try	8	1	2	1	1	1
but	but	8	1	NA	NA	0	0
when	when	8	1	NA	NA	0	0
it	it	8	1	NA	NA	0	0
comes	comes	8	1	NA	NA	0	0
to	to	8	1	NA	NA	0	0
being	be-	8	1	NA	NA	0	0
being	ing	8	1	NA	NA	0	0
de	de	8	1	NA	NA	0	0
la	la	8	1	NA	NA	1	0
it's	it's	8	1	NA	NA	0	0
just	just	8	1	NA	NA	0	0
me	me	8	1	NA	NA	0	0
myself	my-	8	1	NA	NA	0	0
myself	self	8	1	NA	NA	0	0
and	and	8	1	NA	NA	0	0
i	i	8	1	2	1	1	1
