word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
straight	straight	16	1	NA	NA	0	0
off	off	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
fucking	fuck-	16	1	NA	NA	0	0
fucking	in'	16	1	NA	NA	0	0
streets	streets	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
c	c	16	2	NA	NA	0	0
p	p	16	2	NA	NA	0	0
t	t	16	5	1	1	1	1
king	king	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
beats	beats	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
ride	ride	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
fleet	fleet	16	6	1	1	1	1
or	or	16	2	NA	NA	0	0
coupe	coupe	16	1	NA	NA	0	0
deville	de-	16	1	NA	NA	0	0
deville	ville	16	2	NA	NA	0	0
rolling	rol-	16	1	NA	NA	0	0
rolling	lin'	16	1	NA	NA	0	0
on	on	16	2	NA	NA	0	0
dubs	dubs	16	6	2	1	1	1
how	how	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
feeling	fee-	16	1	NA	NA	0	0
feeling	lin'	16	1	NA	NA	0	0
whoopty	whoop-	16	1	NA	NA	0	0
whoopty	ty	16	1	NA	NA	0	0
whoop	whoop	16	2	NA	NA	0	0
nigga	nig-	16	1	NA	NA	0	0
nigga	ga	16	1	NA	NA	0	0
whut	whut	16	6	2	1	1	1
dre	dre	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
snoop	snoop	16	2	NA	NA	0	0
chronicled	chro-	16	1	NA	NA	0	0
chronicled	nic-	16	1	NA	NA	0	0
chronicled	led	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
lack	lack	16	5	3	1	1	1
with	with	16	1	NA	NA	0	0
doc	doc	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
back	back	16	2	NA	NA	0	0
sipping	sip-	16	1	NA	NA	0	0
sipping	pin'	16	1	NA	NA	0	0
on	on	16	2	NA	NA	0	0
yak	yak	16	6	3	1	1	1
clip	clip	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
strap	strap	16	2	NA	NA	0	0
dipping	dip-	16	1	NA	NA	0	0
dipping	pin'	16	1	NA	NA	0	0
