word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
feel	feel	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
bend	bend	16	1	NA	NA	0	0
over	o-	16	1	NA	NA	0	0
over	ver	16	1	NA	NA	0	0
backwards	back-	16	1	NA	NA	0	0
backwards	wards	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
laugh	laugh	32	3	1	1	1	0
cause	cause	32	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
good	good	16	1	NA	NA	0	0
enough	e-	16	1	NA	NA	0	0
enough	nough	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
expect	ex-	16	1	NA	NA	0	0
expect	pect	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
fold	fold	16	1	NA	NA	0	0
myself	my-	16	1	NA	NA	0	0
myself	self	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
half	half	16	2	1	1	1	1
til	til	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
snap	snap	16	3	1	1	0	1
don't	don't	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
loyal	lo-	16	1	NA	NA	0	0
loyal	yal	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
rap	rap	16	1	1	1	1	0
how	how	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
moonlight	moon-	16	1	NA	NA	0	0
moonlight	light	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
side	side	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
life	life	16	1	NA	NA	0	0
outside	out-	16	1	NA	NA	0	0
outside	side	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
that	that	16	2	1	1	1	1
don't	don't	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
give	give	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
enough	e-	16	1	NA	NA	0	0
enough	nough	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
time	time	16	2	NA	NA	0	1
you	you	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
do	do	16	1	2	1	0	0
you	you	16	1	2	2	1	1
jealous	jeal-	16	1	NA	NA	0	0
jealous	ous	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
spend	spend	16	1	NA	NA	0	0
time	time	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
girls	girls	16	2	NA	NA	0	1
why	why	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
married	mar-	16	1	NA	NA	0	0
married	ried	16	1	NA	NA	0	0
to	to	16	1	2	1	0	0
you	you	16	1	2	2	0	0
still	still	16	1	NA	NA	0	0
man	man	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
know	know	16	2	NA	NA	1	1
but	but	16	1	NA	NA	0	0
tonight	to-	16	1	NA	NA	0	0
tonight	night	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
serving	ser-	16	1	NA	NA	0	0
serving	ving	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
papers	pa-	16	1	3	1	0	0
papers	pers	16	1	3	2	0	0
i'm	i'm	16	1	NA	NA	0	0
divorcing	di-	16	1	NA	NA	0	0
divorcing	vor-	16	1	NA	NA	0	0
divorcing	cing	16	1	NA	NA	0	0
you	you	16	1	NA	NA	1	0
go	go	16	1	NA	NA	0	0
marry	mar-	16	1	NA	NA	0	0
marry	ry	16	1	NA	NA	0	0
someone	some-	16	1	NA	NA	0	0
someone	one	16	1	NA	NA	0	0
else	else	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
famous	fa-	16	1	3	1	0	0
famous	mous	16	2	3	2	1	1
and	and	16	1	NA	NA	0	0
take	take	16	1	NA	NA	0	0
away	a-	16	1	NA	NA	0	0
away	way	16	1	NA	NA	0	0
their	their	16	1	NA	NA	0	0
freedom	free-	16	1	NA	NA	0	0
freedom	dom	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
did	did	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
me	me	16	2	NA	NA	1	1
treat	treat	16	1	4	1	0	0
em	em	16	1	4	2	0	0
like	like	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
need	need	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
worthy	worth-	16	1	NA	NA	0	0
worthy	y	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
you	you	16	3	NA	NA	1	1
feed	feed	16	1	4	1	0	0
em	em	16	1	4	2	0	0
the	the	16	1	NA	NA	0	0
same	same	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
made	made	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
eat	eat	16	2	NA	NA	1	1
i'm	i'm	16	1	NA	NA	0	0
moving	mov-	16	1	NA	NA	0	0
moving	ing	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
forget	for-	16	1	NA	NA	0	0
forget	get	16	1	5	1	0	0
you	you	16	1	5	2	0	0
oh	oh	16	2	NA	NA	0	1
now	now	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
special	spe-	16	1	NA	NA	0	0
special	cial	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
didn't	did-	32	1	NA	NA	0	0
didn't	n't	32	1	NA	NA	0	0
feel	feel	16	1	NA	NA	0	0
special	spe-	16	1	NA	NA	0	0
special	cial	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
with	with	16	1	5	1	0	0
you	you	16	1	5	2	1	0
all	all	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
ever	e-	16	1	NA	NA	0	0
ever	ver	16	1	NA	NA	0	0
felt	felt	16	1	6	1	0	0
was	was	16	1	6	2	0	0
this	this	16	2	6	3	0	1
helplessness	help-	16	1	6	1	0	0
helplessness	less-	16	1	6	2	0	0
helplessness	ness	16	2	6	3	0	1
imprisoned	im-	16	1	NA	NA	0	0
imprisoned	pri-	16	1	NA	NA	0	0
imprisoned	soned	16	2	NA	NA	0	1
by	by	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
selfish	self-	16	1	6	1	0	0
selfish	ish	16	1	6	2	0	0
bitch	bitch	16	2	6	3	1	1
chew	chew	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
spit	spit	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
fell	fell	16	1	6	1	0	0
for	for	32	1	6	2	0	0
this	this	32	3	6	3	1	0
so	so	16	1	NA	NA	0	0
many	ma-	32	1	NA	NA	0	0
many	ny	32	1	NA	NA	0	0
times	times	16	2	NA	NA	0	0
it's	it's	32	1	NA	NA	0	0
ridiculous	ri-	32	1	NA	NA	0	0
ridiculous	di-	16	1	6	1	0	0
ridiculous	cu-	32	1	6	2	0	0
ridiculous	lous	32	3	6	3	0	1
and	and	16	1	NA	NA	0	0
still	still	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
stick	stick	16	1	6	1	0	0
with	with	32	1	6	2	0	0
this	this	32	3	6	3	1	1
i'm	i'm	16	1	NA	NA	0	0
sick	sick	16	1	6	1	0	0
of	of	32	1	6	2	0	0
this	this	32	3	6	3	0	1
but	but	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
sickness	sick-	16	1	NA	NA	0	0
sickness	ness	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
addiction	ad-	16	1	NA	NA	0	0
addiction	dict-	16	1	6	1	0	0
addiction	ion	16	1	6	2	0	0
you're	you're	16	1	6	3	0	0
addictive	ad-	16	1	NA	NA	0	0
addictive	dic-	16	1	6	1	0	0
addictive	tive	32	1	6	2	0	0
as	as	32	3	6	3	0	0
they	they	16	1	NA	NA	0	0
get	get	16	2	NA	NA	1	1
evil	e-	16	1	NA	NA	0	0
evil	vil	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
they	they	32	1	NA	NA	0	0
come	come	32	3	NA	NA	0	0
vindictive	vin-	16	1	NA	NA	0	0
vindictive	dic-	16	1	6	1	0	0
vindictive	tive	16	1	6	2	0	0
as	as	16	1	6	3	0	0
they	they	16	1	NA	NA	0	0
make	make	16	1	7	1	0	0
em	em	16	3	7	2	1	1
my	my	16	1	NA	NA	0	0
friends	friends	16	1	NA	NA	0	0
keep	keep	16	1	NA	NA	0	0
asking	ask-	16	1	NA	NA	0	0
asking	ing	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
why	why	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
can't	can't	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
walk	walk	16	1	NA	NA	0	0
away	a-	32	1	NA	NA	0	0
away	way	32	3	7	1	0	0
from	from	16	1	7	2	1	0
i'm	i'm	16	1	NA	NA	0	0
addicted	ad-	16	1	NA	NA	0	0
addicted	dic-	16	1	6	1	0	0
addicted	ted	16	2	6	2	0	1
to	to	32	1	6	3	0	0
the	the	32	1	NA	NA	0	0
pain	pain	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
stress	stress	8	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
drama	dra-	16	1	NA	NA	0	0
drama	ma	16	1	NA	NA	1	0
i'm	i'm	16	1	NA	NA	0	0
drawn	drawn	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
so	so	32	1	8	1	0	0
i	i	32	1	8	2	0	0
guess	guess	16	2	8	3	0	0
imma	im-	16	1	8	1	0	0
imma	ma	16	2	8	2	0	1
mess	mess	16	2	8	3	0	0
cursed	cursed	16	2	8	1	0	0
and	and	16	1	8	2	0	0
blessed	blessed	16	1	8	3	0	0
but	but	16	1	NA	NA	0	0
this	this	16	2	NA	NA	0	0
time	time	16	1	9	1	0	0
i	i	16	2	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
changing	chang-	16	1	NA	NA	0	0
changing	ing	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
mind	mind	16	1	9	1	0	0
i'm	i'm	16	1	NA	NA	0	0
climbing	climb-	16	1	NA	NA	0	0
climbing	ing	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
abyss	a-	16	1	NA	NA	0	0
abyss	byss	16	3	10	1	1	1
you	you	16	1	NA	NA	0	0
screaming	scream-	16	1	NA	NA	0	0
screaming	ing	32	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
walk	walk	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
i'll	i'll	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
missed	missed	16	2	10	1	1	1
but	but	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
spoke	spoke	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
meant	meant	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
most	most	16	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
you	you	32	3	NA	NA	0	0
you	you	16	1	NA	NA	0	0
left	left	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
off	off	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
list	list	16	2	10	1	1	1
fuck	fuck	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
hip	hip	16	1	NA	NA	0	0
hop	hop	16	2	NA	NA	0	1
i'm	i'm	16	1	NA	NA	0	0
leaving	leav-	16	1	NA	NA	0	0
leaving	ing	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
life	life	16	1	NA	NA	0	0
sentence	sen-	16	1	NA	NA	0	0
sentence	tence	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
served	served	16	2	NA	NA	0	0
bitch	bitch	32	3	10	1	0	0
and	and	32	1	NA	NA	0	0
it's	it's	16	2	NA	NA	0	0
just	just	16	2	NA	NA	1	1
