word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
cut	cut	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
slash	slash	16	2	1	1	0	0
slice	slice	16	2	1	2	0	0
and	and	16	1	NA	NA	0	0
gash	gash	16	2	1	1	0	0
last	last	16	2	NA	NA	0	0
night	night	16	1	1	2	0	0
was	was	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
blast	blast	16	2	1	1	1	0
i	i	16	1	1	2	0	0
cant	cant	16	2	1	1	0	0
quite	quite	16	1	1	2	0	0
remember	re-	16	1	NA	NA	0	0
remember	mem-	16	1	NA	NA	0	0
remember	ber	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
had	had	16	1	NA	NA	0	0
that	that	16	2	NA	NA	0	0
much	much	16	2	NA	NA	0	0
fun	fun	16	1	NA	NA	1	0
off	off	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
half	half	16	2	1	1	0	0
pint	pint	16	1	1	2	0	0
of	of	16	1	1	2	0	0
the	the	16	1	1	3	0	0
jack	jack	16	2	1	4	0	0
my	my	16	1	NA	NA	0	0
last	last	16	2	1	1	0	0
vic	vic	16	1	1	2	0	0
and	and	16	1	1	2	0	0
a	a	16	1	1	3	0	0
half	half	16	2	1	4	1	0
a	a	16	1	1	1	0	0
flashlight	flash-	16	2	1	2	0	0
flashlight	light	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
kim	kim	16	1	NA	NA	0	0
kardashians	kar-	16	1	NA	NA	0	0
kardashians	dash-	16	1	NA	NA	0	0
kardashians	i-	16	1	1	3	0	0
kardashians	ans	16	1	1	4	0	0
ass	ass	16	2	1	5	1	1
i	i	16	1	NA	NA	0	0
remember	re-	16	1	2	1	0	0
remember	mem-	16	1	2	2	0	0
remember	ber	16	1	2	3	0	0
the	the	16	1	NA	NA	0	0
first	first	16	2	NA	NA	0	0
time	time	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
dismembered	dis-	16	1	2	1	0	0
dismembered	mem-	16	1	2	2	0	0
dismembered	bered	16	1	2	3	0	0
a	a	16	1	NA	NA	0	0
family	fam-	16	1	NA	NA	0	0
family	ily	16	1	2	1	0	0
member	mem-	16	1	2	2	0	0
member	ber	16	1	2	3	1	0
december	de-	16	1	2	1	0	0
december	cem-	16	1	2	2	0	0
december	ber	16	1	2	3	0	0
i	i	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
was	was	16	1	3	1	0	0
i	i	16	1	3	2	0	0
was	was	16	1	NA	NA	0	0
having	hav-	16	1	NA	NA	0	0
having	ing	16	1	NA	NA	0	0
drinks	drinks	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
cousin	cou-	16	1	3	1	0	0
cousin	sin	16	1	3	2	1	0
i	i	16	1	NA	NA	0	0
wrapped	wrapped	16	1	NA	NA	0	0
him	him	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
christmas	christ-	16	1	NA	NA	0	0
christmas	mas	16	1	NA	NA	0	0
lights	lights	16	1	NA	NA	0	0
pushed	pushed	16	1	3	1	0	0
him	him	16	1	3	2	0	0
into	in-	16	1	NA	NA	0	0
into	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
stinking	stink-	16	1	NA	NA	0	0
stinking	ing	16	1	NA	NA	0	0
tub	tub	16	1	NA	NA	1	0
cut	cut	16	1	3	1	0	0
him	him	16	1	3	2	0	0
up	up	16	1	NA	NA	0	0
into	in-	16	1	NA	NA	0	0
into	to	16	1	NA	NA	0	0
pieces	piec-	16	1	NA	NA	0	0
pieces	es	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
went	went	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
drink	drink	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
blood	blood	16	1	3	1	1	0
i	i	16	1	3	2	0	0
thought	thought	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
outta	out-	16	1	NA	NA	0	0
outta	ta	16	1	NA	NA	0	0
drink	drink	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
bath	bath	16	1	NA	NA	0	0
water	wa-	16	1	NA	NA	0	0
water	ter	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
outta	out-	16	1	4	1	0	0
outta	ta	16	1	4	2	0	0
be	be	16	1	4	3	0	0
fun	fun	16	2	4	4	1	1
thats	thats	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
days	days	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
serial	se-	16	1	NA	NA	0	0
serial	ri-	16	1	NA	NA	0	0
serial	al	16	1	NA	NA	0	0
murder	mur-	16	1	NA	NA	0	0
murder	der	16	1	NA	NA	0	0
manslaughter	man-	16	1	NA	NA	0	0
manslaughter	slaugh-	16	1	4	1	0	0
manslaughter	ter	16	1	4	2	0	0
begun	be-	16	1	4	3	0	0
