word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
im	im	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
illest	il-	16	1	NA	NA	0	0
illest	lest	16	1	NA	NA	0	0
rapper	rap-	24	1	NA	NA	0	0
rapper	per	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
hold	hold	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
cordless	cord-	16	1	1	1	0	0
cordless	less	16	2	1	2	0	1
patrolling	pa-	16	1	NA	NA	0	0
patrolling	trol-	16	1	NA	NA	0	0
patrolling	ling	16	1	NA	NA	0	0
corners	cor-	16	1	1	1	0	0
corners	ners	16	2	1	2	1	1
looking	look-	16	1	NA	NA	0	0
looking	ing	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
hookers	hook-	16	1	NA	NA	0	0
hookers	ers	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
punch	punch	16	1	NA	NA	0	0
in	in	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
mouth	mouth	8	1	NA	NA	0	1
with	with	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
roll	roll	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
quarters	quar-	16	1	1	1	0	0
quarters	ters	16	4	1	2	1	1
im	im	16	1	NA	NA	0	0
meaner	mean-	24	1	2	1	0	0
meaner	er	24	1	2	2	0	0
in	in	24	1	2	3	0	0
action	act-	16	1	2	4	0	0
action	ion	16	1	2	5	0	0
than	than	16	1	NA	NA	0	0
roscoe	ros-	48	7	NA	NA	0	0
roscoe	coe	12	1	NA	NA	0	0
beating	bea-	24	1	NA	NA	0	0
beating	ting	24	1	NA	NA	0	0
james	james	8	1	NA	NA	0	0
todd	todd	8	1	NA	NA	0	0
senior	sen-	24	1	2	1	0	0
senior	ior	24	1	2	2	1	0
across	a-	24	1	2	3	0	0
across	cross	16	1	NA	NA	0	0
the	the	16	1	2	4	0	0
back	back	8	1	2	5	0	0
with	with	16	1	NA	NA	0	0
vacuum	va-	16	1	NA	NA	0	0
vacuum	cuum	16	1	NA	NA	0	0
cleaner	clean-	16	1	2	1	0	0
cleaner	er	16	1	2	2	0	0
attachments	at-	16	1	2	3	0	0
attachments	tach-	8	1	2	4	0	0
attachments	ments	24	7	2	5	1	1
i	i	24	1	NA	NA	0	0
grew	grew	24	1	NA	NA	0	0
up	up	24	1	3	1	0	0
in	in	24	1	NA	NA	0	0
a	a	24	1	3	2	0	0
wild	wild	12	1	3	3	0	0
hood	hood	24	5	3	4	0	1
as	as	24	1	3	5	0	0
a	a	24	1	3	6	0	0
hazardous	ha-	12	1	3	8	0	0
hazardous	zar-	24	1	3	9	0	0
hazardous	dous	12	1	3	10	0	0
youth	youth	24	5	3	11	1	1
with	with	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
fucked	fucked	12	1	NA	NA	0	0
up	up	12	1	3	1	0	0
childhood	child-	12	1	3	3	0	0
childhood	hood	16	1	3	4	0	0
that	that	32	1	3	5	0	0
i	i	32	1	3	6	0	0
used	used	8	1	3	7	0	0
as	as	12	1	3	8	0	0
an	an	24	1	3	9	0	0
excuse	ex-	12	1	3	10	0	0
excuse	cuse	24	3	3	11	1	1
and	and	24	1	NA	NA	0	0
aint	aint	8	1	NA	NA	0	0
shit	shit	12	1	NA	NA	0	0
changed	changed	24	3	NA	NA	0	0
i	i	24	1	NA	NA	0	0
kept	kept	12	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
same	same	8	1	NA	NA	0	0
mind	mind	12	1	NA	NA	0	0
state	state	24	5	4	1	1	0
since	since	24	1	4	2	0	0
the	the	24	1	NA	NA	0	0
third	third	8	1	NA	NA	0	0
time	time	12	1	4	1	0	0
that	that	24	1	4	2	0	0
i	i	24	1	NA	NA	0	0
failed	failed	12	1	4	1	0	0
ninth	ninth	12	1	4	2	0	0
grade	grade	24	6	NA	NA	1	1
you	you	24	1	NA	NA	0	0
probably	pro-	12	1	NA	NA	0	0
probably	bly	24	1	NA	NA	0	0
think	think	12	1	NA	NA	0	0
that	that	24	1	NA	NA	0	0
im	im	12	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
negative	ne-	12	1	NA	NA	0	0
negative	ga-	24	1	NA	NA	0	0
negative	tive	12	1	NA	NA	0	0
person	per-	24	1	NA	NA	0	0
person	son	12	1	NA	NA	0	1
dont	dont	24	1	NA	NA	0	0
be	be	12	1	NA	NA	0	0
so	so	24	1	NA	NA	0	0
sure	sure	12	1	5	1	0	0
of	of	24	1	5	2	0	0
it	it	4	1	5	3	1	1
i	i	24	1	NA	NA	0	0
dont	dont	24	1	NA	NA	0	0
promote	pro-	24	1	NA	NA	0	0
promote	mote	12	1	NA	NA	0	0
violence	vi-	24	1	NA	NA	0	0
violence	o-	24	1	NA	NA	0	0
violence	lence	12	2	NA	NA	0	1
i	i	24	1	NA	NA	0	0
just	just	12	1	NA	NA	0	0
encourage	en-	24	1	NA	NA	0	0
encourage	cour-	12	1	5	1	0	0
encourage	age	24	1	5	2	0	0
it	it	24	5	5	3	1	1
i	i	24	1	NA	NA	0	0
laugh	laugh	24	1	NA	NA	0	0
at	at	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
sight	sight	24	1	6	1	0	0
of	of	24	1	6	2	0	0
death	death	12	2	6	3	0	0
as	as	24	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
fall	fall	6	1	NA	NA	0	0
down	down	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
cement	ce-	24	1	NA	NA	0	0
cement	ment	8	1	NA	NA	0	0
flight	flight	12	1	6	1	0	0
of	of	24	1	6	2	0	0
steps	steps	12	1	6	3	1	0
and	and	24	1	NA	NA	0	0
land	land	12	1	NA	NA	0	0
inside	in-	24	1	NA	NA	0	0
inside	side	12	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
bed	bed	12	1	NA	NA	0	0
of	of	24	1	NA	NA	0	0
spider	spi-	12	1	6	1	0	0
spider	der	24	1	6	2	0	0
webs	webs	3	1	6	3	1	1
so	so	24	1	NA	NA	0	0
throw	throw	8	1	NA	NA	0	0
caution	caut-	12	1	NA	NA	0	0
caution	ion	12	1	NA	NA	0	0
to	to	24	1	6	1	0	0
the	the	24	1	6	2	0	0
wind	wind	16	3	6	3	0	1
you	you	16	1	NA	NA	0	0
and	and	24	1	6	1	0	0
a	a	24	1	6	2	0	0
friend	friend	24	3	6	3	1	0
can	can	24	1	NA	NA	0	0
jump	jump	12	1	NA	NA	0	0
off	off	12	1	NA	NA	0	0
of	of	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
bridge	bridge	8	1	NA	NA	0	1
and	and	24	1	NA	NA	0	0
if	if	24	1	NA	NA	0	0
you	you	24	1	NA	NA	0	0
live	live	8	1	NA	NA	0	0
do	do	24	1	NA	NA	0	0
it	it	24	1	6	1	0	0
again	a-	24	1	6	2	0	0
again	gain	8	1	6	3	1	1
shit	shit	8	1	NA	NA	0	0
why	why	16	1	NA	NA	0	0
not	not	16	3	NA	NA	0	1
blow	blow	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
brain	brain	16	1	NA	NA	0	0
out	out	16	2	7	1	0	1
im	im	16	1	NA	NA	0	0
blowing	blow-	16	1	NA	NA	0	0
blowing	ing	16	1	NA	NA	0	0
mine	mine	16	1	NA	NA	0	0
out	out	16	3	7	1	1	1
fuck	fuck	24	1	NA	NA	0	0
it	it	24	1	NA	NA	0	1
you	you	24	1	NA	NA	0	0
only	on-	16	1	NA	NA	0	0
only	ly	16	1	NA	NA	0	0
live	live	16	1	NA	NA	0	0
once	once	8	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
might	might	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
well	well	8	1	NA	NA	0	0
die	die	16	1	NA	NA	0	0
now	now	16	1	7	1	1	1
