word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
its	its	16	1	NA	NA	0	0
just	just	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
old	old	16	2	NA	NA	0	0
times	times	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
dynamic	dy-	16	2	NA	NA	0	0
dynamic	na-	16	1	NA	NA	0	0
dynamic	mic	16	1	NA	NA	0	0
duo	du-	16	1	1	1	0	0
duo	o	16	1	1	2	1	0
two	two	16	1	1	1	0	0
old	old	16	2	1	2	0	0
friends	friends	16	3	NA	NA	0	1
why	why	16	2	NA	NA	0	0
panic	pa-	16	1	NA	NA	0	0
panic	nic	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
already	al-	16	1	NA	NA	0	0
already	read-	16	1	NA	NA	0	0
already	y	16	1	NA	NA	0	0
know	know	16	1	1	1	0	0
whos	whos	16	1	1	2	0	0
fully	ful-	16	1	NA	NA	0	0
fully	ly	16	1	NA	NA	0	0
capable	ca-	16	2	2	1	0	0
capable	pa-	16	1	2	2	0	0
capable	ble	16	2	2	3	1	1
the	the	16	1	NA	NA	0	0
two	two	16	2	NA	NA	0	0
capped	capped	16	2	2	1	0	0
heroes	her-	16	1	2	2	0	0
heroes	oes	16	3	2	3	1	1
dial	di-	16	1	NA	NA	0	0
dial	al	16	1	NA	NA	0	0
straight	straight	16	2	3	1	0	0
down	down	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
center	cen-	16	1	NA	NA	0	0
center	ter	16	1	NA	NA	0	0
eight	eight	16	2	3	1	0	0
zero	ze-	16	1	NA	NA	0	0
zero	ro	16	1	NA	NA	0	0
zero	ze-	16	1	NA	NA	0	0
zero	ro	16	1	NA	NA	1	0
you	you	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
even	e-	16	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
call	call	16	2	4	1	0	0
collect	col-	16	1	4	3	0	0
collect	lect	16	2	4	4	0	1
the	the	16	1	NA	NA	0	0
most	most	16	2	NA	NA	0	0
feared	feared	16	2	4	1	0	0
duet	du-	16	1	4	3	0	0
duet	et	16	2	4	4	1	0
since	since	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
