word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
now	now	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
would	would	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
diss	diss	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
own	own	16	1	NA	NA	0	0
momma	mom-	16	1	NA	NA	0	0
momma	ma	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
recognition	re-	16	1	NA	NA	0	0
recognition	cog-	16	1	NA	NA	0	0
recognition	ni-	16	1	NA	NA	0	0
recognition	tion	16	1	NA	NA	1	0
take	take	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
second	se-	16	1	NA	NA	0	0
second	cond	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
listen	list-	16	1	NA	NA	0	0
listen	en	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
record	re-	16	1	NA	NA	0	0
record	cord	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
dissing	dis-	16	1	NA	NA	0	0
dissing	sing	16	1	NA	NA	1	0
but	but	16	1	NA	NA	0	0
put	put	16	1	NA	NA	0	0
yourself	your-	16	1	NA	NA	0	0
yourself	self	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
position	pos-	16	1	NA	NA	0	0
position	i-	16	1	NA	NA	0	0
position	tion	16	1	NA	NA	0	1
just	just	16	1	NA	NA	0	0
try	try	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
envision	en-	16	1	NA	NA	0	0
envision	vi-	16	1	NA	NA	0	0
envision	sion	16	1	NA	NA	1	0
witnessing	wit-	16	1	NA	NA	0	0
witnessing	ness-	16	1	NA	NA	0	0
witnessing	ing	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
momma	mom-	16	1	NA	NA	0	0
momma	ma	16	1	NA	NA	0	0
popping	pop-	16	1	NA	NA	0	0
popping	ping	16	1	NA	NA	0	0
prescription	pre-	16	1	NA	NA	0	0
prescription	script-	16	1	NA	NA	0	0
prescription	ion	16	1	NA	NA	0	0
pills	pills	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
kitchen	kit-	16	1	NA	NA	0	0
kitchen	chen	16	1	NA	NA	1	1
bitching	bitch-	16	1	NA	NA	0	0
bitching	in	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
someone's	some-	16	1	NA	NA	0	0
someone's	one's	16	1	NA	NA	0	0
always	al-	16	1	NA	NA	0	0
always	ways	16	1	NA	NA	0	0
going	go-	16	1	NA	NA	0	0
going	ing	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
purse	purse	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
shit's	shit's	16	1	NA	NA	0	0
