word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
back	back	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
mark	mark	16	2	NA	NA	0	0
wahlberg	wahl-	16	2	NA	NA	0	0
wahlberg	berg	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
marky	mar-	16	2	1	1	0	0
marky	ky	16	1	1	2	0	0
mark	mark	16	5	1	3	1	1
this	this	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
used	used	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
party	par-	16	2	1	1	0	0
party	ty	16	1	1	2	0	0
start	start	16	2	1	3	1	1
we	we	16	1	NA	NA	0	0
used	used	16	1	NA	NA	0	0
to	to	16	3	NA	NA	0	1
mix	mix	16	2	2	1	0	0
hen	hen	16	2	2	2	0	0
with	with	16	1	NA	NA	0	0
bacardi	ba-	16	1	NA	NA	0	0
bacardi	car-	16	2	1	1	0	0
bacardi	di	16	1	1	2	0	0
dark	dark	16	2	1	3	1	0
and	and	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
it	it	16	3	NA	NA	0	1
kicks	kicks	16	2	2	1	0	0
in	in	16	2	2	2	0	0
you	you	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
hardly	hard-	16	2	1	1	0	0
hardly	ly	16	1	1	2	0	0
talk	talk	16	2	1	3	1	0
and	and	16	1	NA	NA	0	0
by	by	16	1	NA	NA	0	0
the	the	16	3	NA	NA	0	1
sixth	sixth	16	2	2	1	0	0
gin	gin	16	2	2	2	0	0
youre	youre	16	1	NA	NA	0	0
gon	gon	16	1	NA	NA	0	0
probably	pro-	16	1	1	1	0	0
probably	ba-	16	1	NA	NA	0	0
probably	bly	16	1	1	2	0	0
crawl	crawl	16	2	1	3	1	0
and	and	16	1	NA	NA	0	0
youll	youll	16	1	NA	NA	0	0
be	be	16	3	NA	NA	0	1
sick	sick	16	2	2	1	0	0
then	then	16	2	2	2	0	0
and	and	16	1	NA	NA	0	0
youll	youll	16	1	NA	NA	0	0
probably	pro-	16	1	1	1	0	0
probably	ba-	16	1	NA	NA	0	0
probably	bly	16	1	1	2	0	0
barf	barf	16	2	1	3	1	0
and	and	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
pre	pre	16	3	NA	NA	0	1
diction	dic-	16	2	2	1	0	0
diction	tion	16	1	2	2	0	0
is	is	16	1	NA	NA	0	0
youre	youre	16	1	NA	NA	0	0
gon	gon	16	1	NA	NA	0	0
