word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
ayo	a-	16	1	NA	NA	0	0
ayo	yo	16	3	NA	NA	0	1
ima	im-	32	1	NA	NA	0	0
ima	a	32	1	NA	NA	0	0
pit	pit	16	1	NA	NA	0	0
bull	bull	16	1	NA	NA	0	0
terrier	ter-	16	1	1	1	0	0
terrier	ri-	16	1	1	2	0	0
terrier	er	8	1	1	3	0	1
triple	trip-	16	1	NA	NA	0	0
triple	le	16	1	NA	NA	0	0
daring	da-	16	1	1	1	0	0
daring	ring	16	1	1	2	0	0
ya	ya	8	1	1	3	0	1
scaring	scar-	16	1	1	1	0	0
scaring	ing	16	1	1	2	0	0
ya	ya	16	1	1	3	1	1
with	with	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
derringer	der-	16	1	1	1	0	0
derringer	ring-	16	1	1	2	0	0
derringer	er	8	1	1	3	0	1
ready	read-	24	1	NA	NA	0	0
ready	y	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
wet	wet	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
submariner	sub-	16	1	NA	NA	0	0
submariner	ma-	16	1	1	1	0	0
submariner	ri-	16	1	1	2	0	0
submariner	ner	4	1	1	3	1	1
tearing	tear-	24	1	NA	NA	0	0
tearing	ing	24	1	NA	NA	0	0
ya	ya	24	1	NA	NA	0	0
frame	frame	12	1	NA	NA	0	0
out	out	12	1	NA	NA	0	0
with	with	12	1	NA	NA	0	0
homicidal	hom-	16	1	2	1	0	0
homicidal	i-	16	1	2	2	0	0
homicidal	ci-	16	1	2	3	0	0
homicidal	dal	16	1	2	4	0	0
lines	lines	8	1	2	5	1	1
bringing	bring-	24	1	NA	NA	0	0
bringing	ing	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
drama	dra-	16	1	2	1	0	0
drama	ma	16	1	2	2	0	0
an	an	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
trauma	trau-	16	1	2	1	0	0
trauma	ma	16	1	2	2	0	0
to	to	16	1	NA	NA	0	0
ya	ya	16	1	NA	NA	0	0
mamas	ma-	16	1	2	1	0	0
mamas	mas	16	1	2	2	0	0
vital	vi-	16	1	2	3	0	0
vital	tal	16	1	2	4	0	0
signs	signs	16	3	2	5	0	1
blaw	blaw	8	1	NA	NA	1	1
a	a	16	1	NA	NA	0	0
verbal	ver-	16	1	NA	NA	0	0
verbal	bal	16	1	NA	NA	0	0
shot	shot	8	1	3	1	0	0
fired	fi-	16	1	3	2	0	0
fired	red	8	1	3	3	0	1
this	this	16	1	NA	4	0	0
mics	mics	16	1	NA	NA	0	0
been	been	16	1	NA	NA	0	0
hot	hot	8	1	3	1	0	0
wired	wir-	16	1	3	2	0	0
wired	ed	4	1	3	3	1	1
upper	up-	32	1	NA	NA	0	0
upper	per	32	1	NA	NA	0	0
cuts	cuts	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
chin	chin	8	1	NA	NA	0	0
knocking	knock-	16	1	NA	NA	0	0
knocking	ing	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
snot	snot	8	1	3	1	0	0
skyward	sky-	16	1	3	2	0	0
skyward	ward	16	5	3	3	1	1
rappers	rap-	12	1	4	1	0	0
rappers	pers	12	1	4	2	0	0
wanna	wan-	24	1	NA	NA	0	0
wanna	na	24	1	NA	NA	0	0
be	be	12	1	NA	NA	0	0
screenplay	screen-	12	1	NA	NA	0	0
screenplay	play	12	1	NA	NA	0	0
actors	ac-	12	1	4	1	0	0
actors	tors	12	1	4	2	0	0
so	so	24	1	NA	NA	0	0
im	im	24	1	NA	NA	1	0
giving	gi-	24	1	NA	NA	0	0
giving	ving	24	1	NA	NA	0	0
them	them	24	1	NA	NA	0	0
spine	spine	8	1	NA	NA	0	0
fractures	frac-	12	1	4	1	0	0
fractures	tures	12	1	4	2	0	0
like	like	12	1	NA	NA	0	0
linebackers	line-	12	1	NA	NA	0	0
linebackers	back-	12	1	4	1	0	0
linebackers	ers	12	1	4	2	0	0
on	on	24	1	NA	NA	0	0
the	the	24	1	NA	NA	0	0
green	green	12	1	NA	NA	0	0
bay	bay	12	1	NA	NA	0	0
packers	pack-	16	1	4	1	0	0
packers	ers	16	1	4	2	1	0
an	an	16	1	NA	NA	0	0
roll	roll	16	1	NA	NA	0	0
over	o-	16	1	NA	NA	0	0
over	ver	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
backwards	back-	16	1	4	1	0	0
backwards	wards	4	1	4	2	0	1
dirty	dir-	16	1	5	1	0	0
dirty	ty	16	1	5	2	0	0
dozen	do-	16	1	5	3	0	0
dozen	zen	4	1	5	4	1	1
im	im	16	1	NA	NA	0	0
someone	some-	16	1	NA	NA	0	0
someone	one	16	1	NA	NA	0	0
you	you	24	1	NA	NA	0	0
just	just	24	1	NA	NA	0	0
dont	dont	24	1	NA	NA	0	0
wanna	wan-	24	1	NA	NA	0	0
wanna	na	24	1	NA	NA	0	0
see	see	12	1	NA	NA	0	0
like	like	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
nerdy	ner-	16	1	5	1	0	0
nerdy	dy	16	1	5	2	0	0
cousin	cou-	16	1	5	3	0	0
cousin	sin	4	1	5	4	1	1
so	so	16	1	NA	NA	0	0
