word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
done	done	16	1	NA	NA	0	0
figured	fi-	16	1	NA	NA	0	0
figured	gured	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
rap	rap	8	1	1	1	0	0
shit	shit	16	1	1	2	0	0
out	out	8	1	1	3	0	0
i	i	16	1	NA	NA	0	0
map	map	8	1	1	1	0	0
shit	shit	16	1	1	2	0	0
out	out	8	1	1	3	0	0
strategically	stra-	16	1	NA	NA	0	0
strategically	te-	16	1	2	1	0	0
strategically	gic-	16	1	2	2	0	0
strategically	ally	8	1	2	3	1	1
timing	tim-	16	1	NA	NA	0	0
timing	ing	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
everything	eve-	16	1	NA	NA	0	0
everything	ry-	16	1	NA	NA	0	0
everything	thing	8	1	NA	NA	0	1
and	and	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
seems	seems	8	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
be	be	16	1	2	1	0	0
the	the	16	1	2	2	0	0
key	key	8	1	2	3	1	1
to	to	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
success	suc-	16	1	NA	NA	0	0
success	cess	8	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
worked	worked	8	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
me	me	8	1	NA	NA	0	0
repeatably	re-	16	1	NA	NA	0	0
repeatably	peat-	16	1	2	1	0	0
repeatably	a-	16	1	2	2	0	0
repeatably	bly	16	3	2	3	1	1
let	let	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
diss	diss	8	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
first	first	8	1	NA	NA	0	0
then	then	32	1	NA	NA	0	0
respond	res-	32	1	NA	NA	0	0
respond	pond	8	1	NA	NA	0	0
immediately	im-	16	1	NA	NA	0	0
immediately	med-	16	1	2	1	0	0
immediately	i-	32	1	NA	NA	0	0
immediately	ate-	32	1	2	2	0	0
immediately	ly	16	1	2	3	1	0
in	in	16	1	NA	NA	0	0
order	or-	16	1	NA	NA	0	0
order	der	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
master	mas-	8	1	NA	NA	0	0
master	ter	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
art	art	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
war	war	8	1	3	1	0	0
dont	dont	16	1	NA	NA	0	0
start	start	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
war	war	8	1	3	1	1	1
shit	shit	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
more	more	8	1	3	1	0	0
we	we	16	1	NA	NA	0	0
done	done	16	1	NA	NA	0	0
scared	scared	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
off	off	8	1	NA	NA	0	0
there	there	16	1	NA	NA	0	0
are	are	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
more	more	8	1	3	1	1	0
victims	vic-	16	1	4	1	0	0
victims	tims	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
sick	sick	8	1	4	1	0	0
im	im	16	1	NA	NA	0	0
fixing	fix-	16	1	4	1	0	0
fixing	ing	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
pick	pick	16	1	4	1	0	0
some	some	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
start	start	8	1	NA	NA	0	0
shit	shit	8	1	4	1	1	1
im	im	16	1	NA	NA	0	0
out	out	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
pictures	pic-	16	1	4	1	0	0
pictures	tures	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
rip	rip	8	1	4	1	0	0
and	and	16	1	NA	NA	0	0
shit	shit	16	1	4	1	0	0
to	to	16	1	NA	NA	0	0
throw	throw	16	1	NA	NA	0	0
darts	darts	8	1	5	1	0	0
at	at	8	1	5	2	1	1
aint	aint	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
more	more	16	1	NA	NA	0	0
targets	tar-	8	1	5	1	0	0
targets	gets	8	1	5	2	0	1
shit	shit	16	1	NA	NA	0	0
irv	irv	8	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
jeff	jeff	8	1	6	1	0	0
we	we	8	1	NA	NA	0	0
beat	beat	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
death	death	8	1	6	1	1	0
benzino	ben-	16	1	NA	NA	0	0
benzino	zi-	16	1	NA	NA	0	0
benzino	no	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
debt	debt	16	3	6	1	0	1
it	it	16	1	NA	NA	0	0
seems	seems	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
left	left	8	1	6	1	1	0
to	to	16	1	NA	NA	0	0
bully	bul-	16	1	NA	NA	0	0
bully	ly	8	1	NA	NA	0	1
bush	bush	8	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
pussy	pus-	16	1	7	1	0	0
pussy	sy	8	1	7	2	1	1
why	why	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
fuck	fuck	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
name	name	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
bush	bush	8	1	NA	NA	0	1
puss	puss	8	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
bushy	bu-	16	1	7	1	0	0
bushy	shy	8	1	7	2	1	1
aint	aint	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
going	go-	16	1	NA	NA	0	0
going	ing	16	1	NA	NA	0	0
on	on	8	1	8	1	0	0
shit	shit	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
been	been	16	1	NA	NA	0	0
getting	get-	16	1	NA	NA	0	0
getting	ting	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
bored	bored	8	1	8	1	0	0
lately	late-	16	1	9	1	0	0
lately	ly	16	1	9	2	1	0
im	im	16	1	NA	NA	0	0
thinking	think-	16	1	NA	NA	0	0
thinking	ing	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
doing	do-	16	1	NA	NA	0	0
doing	ing	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
you	you	8	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
hate	hate	16	1	9	1	0	0
me	me	16	1	9	2	0	0
again	a-	16	1	10	1	0	0
again	gain	16	3	10	2	1	1
tell	tell	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
truth	truth	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
better	bet-	16	1	NA	NA	0	0
better	ter	16	1	10	1	0	0
then	then	16	2	10	2	1	0
shit	shit	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
spit	spit	16	1	NA	NA	0	0
better	bet-	16	1	NA	NA	0	0
better	ter	16	1	10	1	0	1
about	a-	16	1	NA	NA	0	0
about	bout	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
kick	kick	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
sick	sick	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
again	a-	16	1	10	1	0	0
again	gain	16	3	10	2	1	0
look	look	16	3	NA	NA	0	1
the	the	16	1	NA	NA	0	0
game	game	8	1	11	1	0	0
just	just	16	1	NA	NA	0	0
aint	aint	8	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
same	same	8	1	11	1	0	0
its	its	16	1	NA	NA	0	0
changing	chang-	8	1	11	1	0	0
changing	ing	16	1	NA	NA	1	1
shit	shit	16	1	NA	NA	0	0
dres	dres	8	1	NA	NA	0	0
quitting	quit-	16	1	12	1	0	0
quitting	ting	16	1	12	2	0	0
jays	jays	8	1	NA	NA	0	0
quitting	quit-	16	1	12	1	0	0
quitting	ting	16	1	12	2	0	0
now	now	8	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
gangstas	gang-	8	1	NA	NA	0	0
gangstas	stas	16	1	NA	NA	1	0
just	just	16	1	NA	NA	0	0
saying	say-	8	1	11	1	0	0
saying	ing	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
same	same	8	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
ancient	an-	8	1	11	1	0	0
ancient	cient	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
fake	fake	8	1	11	1	0	0
and	and	16	1	NA	NA	1	0
its	its	16	1	NA	NA	0	0
making	mak-	8	1	11	1	0	0
making	ing	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
bored	bored	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
gonna	gon-	32	1	NA	NA	0	0
gonna	na	32	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
make	make	16	1	11	1	0	0
a	a	16	1	NA	NA	0	0
new	new	16	1	NA	NA	0	0
language	lan-	8	1	NA	NA	0	0
language	guage	16	3	NA	NA	1	1
fubba	fub-	16	1	NA	NA	0	0
fubba	ba	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
cova	co-	16	1	12	1	0	0
cova	va	16	1	12	2	0	1
cubba	cub-	16	1	12	3	0	0
