word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
gonna	gon-	16	1	NA	NA	0	0
gonna	na	16	1	NA	NA	0	0
eat	eat	16	2	1	1	0	0
i	i	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
gonna	gon-	16	1	NA	NA	0	0
gonna	na	16	1	NA	NA	0	0
sleep	sleep	16	3	1	1	0	1
ain't	ain't	16	1	NA	NA	0	0
gonna	gon-	16	1	NA	NA	0	0
gonna	na	16	1	NA	NA	0	0
breathe	breathe	16	2	1	1	1	0
'til	'til	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
see	see	16	2	1	1	0	0
what	what	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
see	see	16	3	1	1	0	1
and	and	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
see	see	16	2	1	1	1	0
is	is	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
sleep	sleep	16	2	1	1	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
dirt	dirt	16	3	2	1	0	1
permanently	per-	16	2	NA	NA	0	0
permanently	ma-	32	1	NA	NA	0	0
permanently	nent-	32	1	NA	NA	0	0
permanently	ly	16	2	1	1	1	0
you	you	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
being	be-	16	1	NA	NA	0	0
being	ing	16	1	NA	NA	0	0
hurt	hurt	16	3	2	1	0	1
this	this	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
gonna	gon-	16	1	NA	NA	0	0
gonna	na	16	1	NA	NA	0	0
work	work	16	2	2	1	1	0
for	for	16	1	NA	NA	0	0
me	me	16	2	1	1	0	0
it	it	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
wouldn't	would-	16	1	NA	NA	0	0
wouldn't	n't	16	1	NA	NA	0	0
be	be	16	3	1	1	0	1
sufficient	suf-	16	1	NA	NA	0	0
sufficient	fi-	16	1	NA	NA	0	0
sufficient	cient	16	1	NA	NA	0	0
enough	e-	16	1	NA	NA	0	0
enough	nough	16	2	NA	NA	1	0
cause	cause	16	1	NA	NA	0	0
we	we	16	2	1	1	0	0
are	are	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
gonna	gon-	16	1	NA	NA	0	0
gonna	na	16	1	NA	NA	0	0
be	be	16	2	1	1	0	0
enemies	e-	16	1	NA	NA	0	0
enemies	ne-	16	1	NA	NA	0	0
enemies	mies	16	2	1	1	1	0
as	as	16	1	NA	NA	0	0
long	long	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
breathe	breathe	16	2	1	1	0	0
i	i	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
ever	e-	16	1	NA	NA	0	0
ever	ver	16	1	NA	NA	0	0
see	see	16	2	1	1	0	0
either	ei-	16	1	NA	NA	0	0
either	ther	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
us	us	16	2	NA	NA	1	0
coming	com-	16	1	NA	NA	0	0
