word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
went	went	12	1	NA	NA	0	0
in	in	24	1	NA	NA	0	0
headfirst	head-	12	1	1	1	0	0
headfirst	first	48	10	1	2	0	1
never	ne-	24	1	NA	NA	0	0
never	ver	24	1	NA	NA	0	0
thinking	think-	24	1	NA	NA	0	0
thinking	ing	24	1	NA	NA	0	0
about	a-	24	1	NA	NA	0	0
about	bout	12	1	NA	NA	0	0
who	who	12	1	NA	NA	0	0
what	what	24	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
said	said	12	1	1	1	0	0
hurt	hurt	24	3	1	2	1	1
in	in	24	1	NA	NA	0	0
what	what	12	1	1	1	0	0
verse	verse	24	3	1	2	0	1
my	my	24	1	NA	NA	0	0
mom	mom	12	1	NA	NA	0	0
probably	pro-	24	1	NA	NA	0	0
probably	bly	12	1	NA	NA	0	0
got	got	24	1	NA	NA	0	0
it	it	12	1	NA	NA	0	0
the	the	24	1	1	1	0	0
worst	worst	12	1	1	2	0	1
the	the	24	1	NA	NA	0	0
brunt	brunt	24	1	NA	NA	0	0
of	of	24	1	NA	NA	0	0
it	it	12	1	NA	NA	1	1
but	but	24	1	NA	NA	0	0
as	as	24	1	NA	NA	0	0
stubborn	stub-	12	1	NA	NA	0	0
stubborn	born	24	3	NA	NA	0	0
as	as	24	1	NA	NA	0	0
we	we	12	1	2	1	0	0
are	are	12	1	2	2	0	1
did	did	24	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
take	take	12	1	NA	NA	0	0
it	it	24	1	NA	NA	0	0
too	too	12	1	2	1	0	0
far	far	12	1	2	2	1	1
cleaning	clean-	24	1	NA	NA	0	0
cleaning	ing	24	1	NA	NA	0	0
out	out	12	1	NA	NA	0	0
my	my	24	1	NA	NA	0	0
closet	clo-	24	1	NA	NA	0	0
closet	set	24	1	NA	NA	0	0
and	and	24	1	NA	NA	0	0
all	all	12	1	NA	NA	0	0
them	them	24	1	NA	NA	0	0
other	o-	24	1	2	1	0	0
other	ther	24	1	NA	NA	0	0
songs	songs	12	1	2	2	1	0
but	but	24	1	NA	NA	0	0
regardless	re-	24	1	NA	NA	0	0
regardless	gard-	12	1	2	1	0	0
regardless	less	24	1	2	2	0	0
i	i	12	1	NA	NA	0	0
don't	don't	24	1	NA	NA	0	0
hate	hate	12	1	NA	NA	0	0
you	you	24	1	NA	NA	0	0
cause	cause	12	1	2	1	0	0
ma	ma	24	3	2	2	0	1
you're	you're	24	1	NA	NA	0	0
still	still	8	1	NA	NA	0	0
beautiful	beau-	12	1	NA	NA	0	0
beautiful	ti-	24	1	NA	NA	0	0
beautiful	ful	12	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
me	me	8	1	NA	NA	0	1
cause	cause	24	1	NA	NA	0	0
you're	you're	24	1	NA	NA	0	0
my	my	24	1	NA	NA	0	0
mom	mom	24	5	3	1	1	1
though	though	24	1	NA	NA	0	0
far	far	12	1	NA	NA	0	0
be	be	24	1	NA	NA	0	0
it	it	12	1	NA	NA	0	0
from	from	24	1	NA	NA	0	0
you	you	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
be	be	24	1	NA	NA	0	0
calm	calm	12	1	3	1	0	0
our	our	24	1	NA	NA	0	0
house	house	12	1	NA	NA	0	0
was	was	24	1	NA	NA	0	0
vietnam	vi-	24	1	NA	NA	0	0
vietnam	et-	24	1	NA	NA	0	0
vietnam	nam	24	4	3	1	1	1
desert	de-	24	1	NA	NA	0	0
desert	sert	24	1	NA	NA	0	0
storm	storm	24	3	3	1	0	1
and	and	24	1	NA	NA	0	0
both	both	24	1	NA	NA	0	0
of	of	24	1	NA	NA	0	0
us	us	24	1	NA	NA	0	0
put	put	24	2	NA	NA	0	0
together	to-	24	1	NA	NA	0	0
together	geth-	24	1	NA	NA	0	0
together	er	24	1	NA	NA	0	0
can	can	24	1	NA	NA	0	0
form	form	24	1	NA	NA	0	0
an	an	24	1	NA	NA	0	0
atomic	a-	24	1	NA	NA	0	0
atomic	to-	24	1	NA	NA	0	0
atomic	mic	24	1	NA	NA	0	0
bomb	bomb	12	1	3	1	1	0
equivalent	e-	24	1	NA	NA	0	0
equivalent	qui-	24	1	NA	NA	0	0
equivalent	va-	24	1	NA	NA	0	0
equivalent	lent	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
chemical	chem-	24	1	NA	NA	0	0
chemical	i-	24	1	NA	NA	0	0
chemical	cal	24	1	NA	NA	0	0
warfare	war-	24	2	NA	NA	0	0
warfare	fare	24	3	NA	NA	0	1
and	and	24	1	NA	NA	0	0
forever	for-	24	1	NA	NA	0	0
forever	e-	24	1	NA	NA	0	0
forever	ver	24	1	NA	NA	0	0
we	we	24	2	NA	NA	0	0
can	can	24	1	NA	NA	0	0
drag	drag	24	2	NA	NA	0	0
this	this	24	1	NA	NA	0	0
on	on	12	1	NA	NA	0	0
and	and	24	1	NA	NA	0	0
