word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
shit	shit	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
mic	mic	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
doo	doo	16	1	NA	NA	0	0
doo	doo	16	1	NA	NA	1	0
you	you	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
fighting	fight-	16	1	NA	NA	0	0
fighting	ing	16	1	NA	NA	0	0
chance	chance	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
move	move	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
were	were	16	1	NA	NA	0	0
covered	co-	16	1	NA	NA	0	0
covered	vered	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
poo	poo	16	1	NA	NA	0	0
poo	poo	16	3	NA	NA	1	1
smothered	smo-	16	1	NA	NA	0	0
smothered	thered	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
manure	man-	16	1	NA	NA	0	0
manure	ure	16	2	NA	NA	0	0
while	while	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
spit	spit	16	1	NA	NA	0	0
saliva	sa-	16	1	NA	NA	0	0
saliva	li-	16	1	NA	NA	0	0
saliva	va	16	1	NA	NA	0	0
fluid	flu-	16	1	NA	NA	0	0
fluid	id	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
do	do	16	1	NA	NA	1	0
g	g	16	1	NA	NA	0	0
g	g	16	1	NA	NA	0	0
g	g	16	1	NA	NA	0	0
goobers	goob-	16	1	NA	NA	0	0
goobers	ers	16	1	NA	NA	0	0
secluded	se-	16	1	NA	NA	0	0
secluded	clu-	16	1	NA	NA	0	0
