word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
murder	mur-	16	1	1	1	0	0
murder	der	16	1	1	2	0	0
a	a	16	1	1	3	0	0
rhyme	rhyme	16	2	1	4	0	0
one	one	16	1	NA	NA	0	0
word	word	16	1	1	1	0	0
at	at	16	1	1	2	0	0
a	a	16	1	1	3	0	0
time	time	16	2	1	4	1	0
you	you	16	1	NA	NA	0	0
never	ne-	16	1	2	1	0	0
never	ver	16	3	2	2	0	1
heard	heard	16	1	1	1	0	0
of	of	16	1	1	2	0	0
a	a	16	1	1	3	0	0
mind	mind	16	2	1	4	0	0
as	as	32	1	NA	NA	0	0
perverted	per-	32	1	NA	NA	0	0
perverted	ver-	16	1	1	1	0	0
perverted	ted	16	1	1	2	0	0
as	as	16	1	1	3	0	0
mine	mine	16	2	1	4	1	0
you	you	16	1	NA	NA	0	0
better	bet-	16	1	2	1	0	0
better	ter	16	2	2	2	0	1
get	get	16	1	NA	NA	0	0
rid	rid	16	1	1	1	0	0
of	of	16	1	1	2	0	0
that	that	16	1	1	3	0	0
nine	nine	16	2	1	4	0	0
it	it	16	1	NA	NA	0	0
aint	aint	16	1	3	1	0	0
gonna	gon-	16	1	3	2	0	0
gonna	na	16	1	3	3	0	0
help	help	16	2	3	4	1	1
what	what	16	1	NA	NA	0	0
goods	goods	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
gonna	gon-	16	1	NA	NA	0	0
gonna	na	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
against	a-	16	1	NA	NA	0	0
against	gainst	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
man	man	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
strangles	stran-	16	1	3	1	0	0
strangles	gles	16	1	3	2	0	0
himself	him-	16	1	3	3	0	0
himself	self	16	2	3	4	1	1
im	im	16	1	NA	NA	0	0
waiting	wait-	16	1	3	1	0	0
waiting	ing	16	1	3	2	0	0
for	for	16	1	3	3	0	0
hell	hell	16	2	3	4	0	0
like	like	16	1	NA	NA	0	0
hell	hell	16	3	NA	NA	0	1
shit	shit	32	1	NA	NA	0	0
im	im	32	1	NA	NA	0	0
anxious	an-	16	1	3	1	0	0
anxious	xious	16	1	3	2	0	0
as	as	16	1	3	3	0	0
hell	hell	16	3	3	4	1	0
manson	man-	16	1	NA	NA	0	0
manson	son	16	2	NA	NA	0	1
youre	youre	16	1	NA	NA	0	0
safe	safe	16	1	3	1	0	0
in	in	16	1	3	2	0	0
that	that	16	1	3	3	0	0
cell	cell	16	2	3	4	0	0
be	be	16	1	NA	NA	0	0
thankful	thank-	16	1	3	1	0	0
thankful	ful	16	1	3	2	0	0
its	its	16	1	3	3	0	0
jail	jail	16	4	3	4	1	1
i	i	16	1	NA	NA	0	0
used	used	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
mommys	mom-	16	1	NA	NA	0	0
mommys	mys	16	1	NA	NA	0	0
little	lit-	16	1	NA	NA	0	0
little	tle	16	1	NA	NA	0	0
angel	an-	16	1	3	1	0	0
angel	gel	16	1	3	2	0	0
at	at	16	1	3	3	0	0
twelve	twelve	16	3	3	4	1	1
thirteen	thir-	16	1	NA	NA	0	0
thirteen	teen	16	2	NA	NA	0	0
i	i	32	1	NA	NA	0	0
was	was	32	1	NA	NA	0	0
putting	put-	16	1	NA	NA	0	0
putting	ting	16	1	NA	NA	0	0
shells	shells	16	2	NA	NA	0	0
in	in	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
gauge	gauge	16	1	3	1	0	0
on	on	16	1	3	2	0	0
a	a	16	1	3	3	0	0
shelf	shelf	16	2	3	4	1	0
i	i	16	1	NA	NA	0	0
used	used	16	1	NA	NA	0	0
to	to	16	2	NA	NA	0	1
get	get	16	1	NA	NA	0	0
punked	punked	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
bullied	bul-	16	1	NA	NA	0	0
bullied	lied	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
