word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
who	who	16	1	NA	NA	0	0
came	came	8	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
two	two	16	1	NA	NA	0	0
glocks	glocks	8	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
terrorize	ter-	16	1	NA	NA	0	0
terrorize	ror-	16	1	NA	NA	0	0
terrorize	ize	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
borough	bo-	16	1	1	1	0	0
borough	rough	16	1	NA	NA	0	0
huh	huh	8	1	NA	NA	1	1
told	told	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
slap	slap	8	1	NA	NA	0	0
dicks	dicks	8	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
murder	mur-	16	1	NA	NA	0	0
murder	der	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
girl	girl	16	1	1	1	0	0
i	i	16	1	NA	NA	0	0
did	did	8	1	NA	NA	1	1
gave	gave	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
finger	fin-	16	1	NA	NA	0	0
finger	ger	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
told	told	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
sit	sit	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
twirl	twirl	4	1	1	1	1	1
sold	sold	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
billion	bil-	16	1	NA	NA	0	0
billion	lion	16	1	NA	NA	0	0
tapes	tapes	8	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
still	still	16	1	NA	NA	0	0
screamed	screamed	8	1	NA	NA	0	0
fuck	fuck	8	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
world	world	8	1	1	1	1	1
i'm	i'm	16	1	NA	NA	0	0
slim	slim	16	3	NA	NA	0	0
shady	sha-	16	1	NA	NA	0	0
shady	dy	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
come	come	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
kill	kill	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
while	while	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
name's	name's	16	3	2	1	0	0
hot	hot	4	1	2	2	1	1
and	and	16	1	NA	NA	0	0
shoot	shoot	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
twenty	twen-	24	1	NA	NA	0	0
twenty	ty	24	1	NA	NA	0	0
five	five	24	1	NA	NA	0	0
times	times	8	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
same	same	16	3	2	1	0	0
spot	spot	16	2	2	2	0	0
ow	ow	16	2	NA	NA	1	1
i	i	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
generation	ge-	16	1	NA	NA	0	0
generation	ne-	16	1	NA	NA	0	0
generation	ra-	16	1	NA	NA	0	0
generation	tion	16	1	NA	NA	0	0
brainwashed	brain-	16	3	2	1	0	0
brainwashed	washed	8	1	2	2	1	0
to	to	16	1	NA	NA	0	0
pop	pop	8	1	NA	NA	0	0
pills	pills	8	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
smoke	smoke	8	1	NA	NA	0	0
pot	pot	8	1	NA	NA	0	0
til	til	32	1	NA	NA	0	0
they	they	32	1	NA	NA	0	0
brains	brains	16	3	2	1	0	0
rot	rot	8	1	2	2	0	0
uh	uh	8	1	NA	NA	0	0
oh	oh	16	1	NA	NA	1	1
stop	stop	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
blood	blood	8	1	NA	NA	0	0
flow	flow	16	1	NA	NA	0	0
until	un-	16	1	NA	NA	0	0
until	til	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
veins	veins	16	3	2	1	0	0
clot	clot	8	1	2	2	1	1
i	i	16	1	NA	NA	0	0
need	need	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
pain	pain	16	3	2	1	0	0
shot	shot	8	1	2	2	0	1
and	and	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
shot	shot	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
plain	plain	16	3	2	1	0	0
scotch	scotch	16	5	2	2	1	1
purple	pur-	8	1	NA	NA	0	0
purple	ple	16	1	NA	NA	0	0
haze	haze	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
