word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
it	it	16	1	NA	NA	0	0
used	used	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
be	be	16	2	NA	NA	0	0
time	time	16	1	1	1	0	0
when	when	16	2	NA	NA	0	1
you	you	16	1	NA	NA	0	0
could	could	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
say	say	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
rhyme	rhyme	16	1	1	1	1	0
and	and	16	1	NA	NA	0	0
wouldn't	would-	16	1	NA	NA	0	0
wouldn't	n't	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
worry	wor-	16	1	NA	NA	0	0
worry	ry	16	1	NA	NA	0	0
about	a-	16	1	NA	NA	0	0
about	bout	16	2	NA	NA	0	0
one	one	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
dying	dy-	16	1	1	1	0	0
dying	ing	16	2	NA	NA	1	1
but	but	16	1	NA	NA	0	0
now	now	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
elevated	e-	16	1	NA	NA	0	0
elevated	le-	16	1	NA	NA	0	0
elevated	va-	16	1	2	1	0	0
elevated	ted	16	1	2	2	0	0
cause	cause	16	1	NA	NA	0	0
once	once	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
put	put	16	1	NA	NA	0	0
someone's	some-	16	1	NA	NA	0	0
someone's	one's	16	1	NA	NA	0	0
kids	kids	16	1	3	1	0	0
in	in	16	1	3	2	0	0
it	it	16	2	NA	NA	1	0
shit	shit	16	1	NA	NA	0	0
gets	gets	16	1	NA	NA	0	0
escalated	es-	16	1	NA	NA	0	0
escalated	cal-	16	1	NA	NA	0	0
escalated	a-	16	1	2	1	0	0
escalated	ted	16	1	2	2	0	0
it	it	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
words	words	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
more	more	16	1	NA	NA	0	0
is	is	16	1	3	1	0	0
it	it	16	1	3	2	1	1
it's	it's	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
different	dif-	16	1	NA	NA	0	0
different	ent	16	1	NA	NA	0	0
ball	ball	16	1	NA	NA	0	0
game	game	16	2	NA	NA	0	0
call	call	16	2	NA	NA	0	0
names	names	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
