word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
his	his	16	1	NA	NA	0	0
palms	palms	16	2	1	1	0	0
are	are	16	1	1	2	0	0
sweaty	sweat-	16	1	1	3	0	0
sweaty	y	16	2	1	4	0	1
knees	knees	16	2	NA	NA	0	0
weak	weak	16	2	NA	NA	0	0
arms	arms	16	2	1	1	0	0
are	are	16	1	1	2	0	0
heavy	hea-	16	1	1	3	0	0
heavy	vy	16	1	1	4	1	0
there's	there's	16	1	NA	NA	0	0
vomit	vo-	16	1	NA	NA	0	0
vomit	mit	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
sweater	swea-	16	1	1	1	0	0
sweater	ter	16	1	NA	NA	0	0
already	al-	16	1	1	2	0	0
already	read-	16	1	1	3	0	0
already	y	16	2	1	4	0	1
mom's	mom's	16	2	1	1	0	0
spaghetti	spa-	16	1	1	2	0	0
spaghetti	ghet-	16	1	1	3	0	0
spaghetti	ti	16	1	1	4	0	0
he's	he's	16	1	NA	NA	0	0
nervous	ner-	16	1	2	1	0	0
nervous	vous	16	2	2	2	1	0
but	but	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
surface	sur-	16	1	2	1	0	0
surface	face	16	1	2	2	0	0
he	he	16	1	NA	NA	0	0
looks	looks	16	1	NA	NA	0	0
calm	calm	16	2	1	1	0	0
and	and	16	1	1	2	0	0
ready	read-	16	1	1	3	0	0
ready	y	16	1	1	4	0	0
to	to	16	1	NA	NA	0	0
drop	drop	16	2	NA	NA	0	0
bombs	bombs	16	4	NA	NA	1	0
but	but	16	1	NA	NA	0	0
he	he	16	1	NA	NA	0	0
keeps	keeps	16	2	NA	NA	0	0
on	on	16	2	1	1	0	0
forgetting	for-	16	1	1	2	0	0
forgetting	get-	16	1	1	3	0	0
forgetting	ting	16	1	1	4	0	0
what	what	16	1	NA	NA	0	0
he	he	16	1	NA	NA	0	0
wrote	wrote	16	2	3	1	0	0
down	down	16	2	3	2	1	0
the	the	16	1	NA	NA	0	0
whole	whole	16	2	3	1	0	0
crowd	crowd	16	2	3	2	0	0
goes	goes	16	2	NA	NA	0	0
so	so	16	1	3	1	0	0
loud	loud	16	2	3	2	0	0
he	he	16	1	NA	NA	0	0
opens	o-	16	2	3	1	0	0
opens	pens	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
mouth	mouth	16	2	3	2	1	0
but	but	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
words	words	16	2	NA	NA	0	0
won't	won't	16	2	3	1	0	0
come	come	16	1	NA	NA	0	0
out	out	16	2	3	2	0	0
he's	he's	16	1	NA	NA	0	0
choking	chok-	16	2	3	1	0	0
choking	ing	16	1	NA	NA	0	0
how	how	16	3	3	2	1	0
everybody's	eve-	16	1	NA	NA	0	0
everybody's	ry-	16	1	NA	NA	0	0
everybody's	bo-	16	1	NA	NA	0	0
everybody's	dy's	16	1	NA	NA	0	0
joking	jok-	16	2	3	1	0	0
joking	ing	16	1	NA	NA	0	0
now	now	16	2	3	2	0	0
the	the	16	1	NA	NA	0	0
clock's	clock's	16	2	3	1	0	0
run	run	16	1	NA	NA	0	0
out	out	16	3	3	2	1	0
time's	time's	16	2	NA	NA	0	0
up	up	16	2	NA	NA	0	0
over	o-	16	2	3	1	0	0
over	ver	16	1	NA	NA	0	0
bloah	bloah	16	3	3	2	1	0
snap	snap	16	2	4	1	0	0
back	back	16	2	4	1	0	0
to	to	16	1	NA	NA	0	0
reality	re-	16	1	NA	NA	0	0
reality	a-	16	1	5	1	0	0
reality	li-	16	1	5	2	0	0
reality	ty	16	1	5	3	0	0
oh	oh	16	2	5	4	0	0
there	there	16	1	5	5	0	0
goes	goes	16	2	5	6	0	0
gravity	gra-	16	1	5	1	0	0
gravity	vi-	16	1	5	2	0	0
gravity	ty	16	1	5	3	1	0
oh	oh	16	2	5	4	0	0
there	there	16	1	5	5	0	0
goes	goes	16	2	5	6	0	0
rabbit	rab-	16	1	5	1	0	0
rabbit	bit	16	1	5	2	0	0
he	he	16	1	5	3	0	0
choked	choked	16	2	5	4	0	0
he's	he's	16	1	5	5	0	0
so	so	16	2	5	6	0	0
mad	mad	16	1	5	1	1	0
but	but	16	1	5	2	0	0
he	he	16	1	5	3	0	0
won't	won't	16	2	5	4	0	0
give	give	16	1	5	5	0	0
up	up	16	2	5	6	0	0
that	that	16	1	5	1	0	0
easy	ea-	16	1	5	2	0	0
easy	sy	16	1	5	3	0	0
no	no	16	2	5	4	0	0
he	he	16	1	5	5	0	0
won't	won't	16	2	5	6	0	0
have	have	16	1	5	1	0	0
it	it	16	1	5	2	1	0
he	he	16	1	5	3	0	0
knows	knows	16	2	5	4	0	0
his	his	16	1	5	5	0	0
whole	whole	16	2	5	6	0	0
back's	back's	16	1	5	1	0	0
to	to	16	1	5	2	0	0
these	these	16	1	5	3	0	0
ropes	ropes	16	2	5	4	0	0
it	it	16	1	5	5	0	0
don't	don't	16	2	5	6	0	0
matter	mat-	16	1	5	1	0	0
matter	ter	16	1	5	2	0	0
he's	he's	16	1	5	3	0	0
dope	dope	16	2	5	4	1	0
he	he	16	1	5	5	0	0
knows	knows	16	2	5	6	0	0
that	that	16	1	5	1	0	0
but	but	16	1	5	2	0	0
he's	he's	16	1	5	3	0	0
broke	broke	16	2	5	4	0	0
he's	he's	16	1	5	5	0	0
so	so	16	2	5	6	0	0
stagnant	stag-	16	1	5	1	0	0
stagnant	nant	16	1	5	2	0	0
he	he	16	1	5	3	0	0
