word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
imagine	i-	16	1	NA	NA	0	0
imagine	mag-	16	2	NA	NA	0	0
imagine	ine	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
pouring	pour-	16	2	NA	NA	0	0
pouring	ing	16	1	NA	NA	0	1
its	its	16	1	NA	NA	0	0
raining	rain-	16	1	NA	NA	0	0
raining	ing	16	1	NA	NA	0	0
down	down	16	2	NA	NA	0	0
on	on	16	2	1	1	0	0
us	us	16	2	1	2	1	1
mosh	mosh	16	2	1	1	0	0
pits	pits	16	1	1	2	0	0
outside	out-	16	1	NA	NA	0	0
outside	side	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
oval	o-	16	1	NA	NA	0	0
oval	val	16	1	NA	NA	0	0
office	of-	16	2	1	1	0	0
office	fice	16	2	1	2	1	1
someones	some-	16	1	NA	NA	0	0
someones	ones	16	1	NA	NA	0	0
trying	try-	24	1	NA	NA	0	0
trying	ing	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
tell	tell	16	1	1	1	0	0
us	us	16	1	1	2	0	0
something	some-	16	1	NA	NA	0	0
something	thing	16	1	NA	NA	0	0
maybe	may-	16	1	NA	NA	0	0
maybe	be	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
god	god	16	2	1	1	0	0
just	just	16	2	1	2	0	1
saying	say-	16	1	NA	NA	0	0
saying	ing	16	1	NA	NA	1	0
were	were	16	1	NA	NA	0	0
responsible	res-	16	1	NA	NA	0	0
responsible	pon-	16	2	1	1	0	0
responsible	si-	16	1	1	2	0	0
responsible	ble	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
this	this	16	2	NA	NA	0	0
monster	mon-	16	2	1	1	0	0
monster	ster	16	1	1	2	0	0
this	this	16	1	NA	NA	0	0
coward	cow-	16	2	3	1	0	0
coward	ard	16	1	3	2	1	0
that	that	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
empowered	em-	16	2	NA	NA	0	0
empowered	po-	16	2	3	1	0	0
empowered	wered	16	2	3	2	0	1
this	this	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
bin	bin	16	2	NA	NA	0	0
laden	la-	16	2	4	1	0	0
laden	den	16	1	4	2	1	0
look	look	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
head	head	16	2	NA	NA	0	0
nodding	nod-	16	2	4	1	0	0
nodding	ding	16	2	4	2	0	1
how	how	16	2	NA	NA	0	0
could	could	16	2	NA	NA	0	1
we	we	16	1	NA	NA	0	0
allow	al-	16	1	3	1	0	0
allow	low	16	2	3	2	1	0
something	some-	16	1	NA	NA	0	0
something	thing	16	1	NA	NA	0	0
like	like	16	2	NA	NA	0	0
this	this	16	2	4	1	0	0
without	with-	16	1	NA	NA	0	0
without	out	16	1	NA	NA	0	1
pumping	pump-	16	1	NA	NA	0	0
pumping	ing	16	1	NA	NA	0	0
our	o-	16	1	NA	NA	0	0
our	ur	16	1	NA	NA	0	0
fist	fist	16	2	4	1	0	0
now	now	16	2	NA	NA	0	0
this	this	16	1	NA	NA	0	0
is	is	16	1	NA	NA	1	0
our	o-	16	2	3	1	0	0
our	ur	16	2	3	2	0	1
final	fi-	16	1	NA	NA	0	0
final	nal	16	1	NA	NA	0	0
hour	ho-	16	2	3	1	0	0
hour	ur	16	5	3	2	1	1
let	let	16	1	NA	NA	0	0
me	me	16	2	NA	NA	0	0
be	be	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
voice	voice	16	2	5	1	0	1
and	and	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
strength	strength	16	2	NA	NA	0	1
and	and	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
choice	choice	16	2	5	1	1	1
let	let	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
simplify	sim-	16	1	NA	NA	0	0
simplify	pli-	16	1	NA	NA	0	0
simplify	fy	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
rhyme	rhyme	16	2	6	1	0	0
just	just	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
amplify	am-	16	1	NA	NA	0	0
amplify	pli-	16	1	NA	NA	0	0
amplify	fy	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
noise	noise	16	2	5	1	1	1
try	try	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
amplify	am-	16	1	NA	NA	0	0
amplify	pli-	16	1	NA	NA	0	0
amplify	fy	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
times	times	16	2	6	1	0	0
it	it	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
multiply	mul-	16	1	NA	NA	0	0
multiply	ti-	16	1	NA	NA	0	0
multiply	ply	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
by	by	16	2	6	1	0	0
six	six	16	2	NA	NA	1	1
teen	teen	16	2	NA	NA	0	0
million	mil-	16	1	NA	NA	0	0
million	lion	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
are	are	16	2	NA	NA	0	0
equal	e-	16	1	NA	NA	0	0
equal	qual	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
high	high	16	2	7	1	0	0
pitch	pitch	16	2	7	2	1	1
maybe	may-	16	1	NA	NA	0	0
maybe	be	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
reach	reach	16	2	NA	NA	0	1
al	al	16	2	NA	NA	0	0
quida	quid-	16	2	NA	NA	0	0
quida	a	16	1	NA	NA	0	0
through	through	16	1	NA	NA	0	0
my	my	16	2	7	1	0	0
speech	speech	16	2	7	2	1	1
let	let	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
president	pre-	16	1	NA	NA	0	0
president	si-	16	1	NA	NA	0	0
president	dent	16	1	NA	NA	0	0
answer	an-	16	1	NA	NA	0	0
answer	swer	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
high	high	16	2	7	1	0	0
anarchy	a-	16	2	7	2	0	0
anarchy	nar-	16	2	NA	NA	0	0
anarchy	chy	16	2	NA	NA	1	1
strap	strap	16	1	NA	NA	0	0
him	him	16	1	NA	NA	0	0
with	with	16	2	NA	NA	0	0
a	a	16	2	NA	NA	0	0
k	k	16	2	NA	NA	0	1
forty	for-	16	1	NA	NA	0	0
forty	ty	16	1	NA	NA	0	0
seven	se-	16	1	NA	NA	0	0
seven	ven	16	1	NA	NA	0	0
let	let	16	1	NA	NA	0	0
him	him	16	1	NA	NA	0	0
go	go	16	2	NA	NA	1	1
fight	fight	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
