word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
my	my	16	1	NA	NA	0	0
songs	songs	16	2	NA	NA	0	0
can	can	16	1	NA	NA	0	0
make	make	16	2	1	1	0	0
you	you	16	1	1	2	0	0
cry	cry	16	3	1	3	0	1
take	take	16	2	1	4	0	0
you	you	16	1	1	5	0	0
by	by	16	2	1	3	0	0
surprise	sur-	16	1	1	7	0	0
surprise	prise	16	1	1	8	1	0
and	and	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
same	same	16	2	1	1	0	0
time	time	16	4	1	3	0	1
make	make	16	2	1	4	0	0
you	you	16	1	1	5	0	0
dry	dry	16	2	1	6	0	0
your	your	16	1	1	7	0	0
eyes	eyes	16	2	1	8	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
same	same	16	2	1	1	0	0
rhyme	rhyme	16	3	1	3	1	1
see	see	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
you're	you're	16	1	NA	NA	0	0
seeing	see-	16	1	2	1	0	0
seeing	ing	16	1	2	2	0	0
is	is	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
genius	gen-	16	1	2	1	0	0
genius	ius	16	1	2	2	0	0
at	at	16	1	NA	NA	0	0
work	work	16	3	3	1	1	1
which	which	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
isn't	is-	16	1	NA	NA	0	0
isn't	n't	16	1	NA	NA	0	0
work	work	16	2	3	1	0	0
so	so	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
easy	ea-	16	1	NA	NA	0	0
easy	sy	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
misinterpret	mis-	16	1	NA	NA	0	0
misinterpret	in-	16	1	NA	NA	0	0
misinterpret	ter-	16	1	3	1	0	0
misinterpret	pret	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
first	first	16	3	3	1	1	1
cuz	cuz	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
speak	speak	16	2	4	1	1	0
it's	it's	16	1	NA	NA	0	0
tongue	tongue	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
cheek	cheek	16	2	4	1	0	1
i'd	i'd	16	1	NA	NA	0	0
yank	yank	16	2	NA	NA	0	0
my	my	16	1	NA	NA	0	0
fucking	fuck-	16	1	NA	NA	0	0
fucking	ing	16	1	NA	NA	0	0
teeth	teeth	16	2	4	1	0	0
before	be-	16	1	NA	NA	0	0
before	fore	16	1	NA	NA	0	0
id	id	16	1	NA	NA	0	0
ever	e-	16	1	NA	NA	0	0
ever	ver	16	1	NA	NA	0	0
bite	bite	16	2	5	1	0	0
my	my	16	1	5	2	0	0
tongue	tongue	16	3	5	3	1	1
i'd	i'd	16	2	NA	NA	0	0
slice	slice	16	2	5	1	0	0
my	my	16	1	5	2	0	0
gums	gums	16	3	5	3	1	1
get	get	16	1	NA	NA	0	0
struck	struck	16	2	NA	NA	0	0
by	by	16	1	NA	NA	0	0
fucking	fuck-	16	2	NA	NA	0	0
fucking	ing	16	1	NA	NA	0	0
lightning	light-	16	2	NA	NA	0	0
lightning	ning	16	1	NA	NA	0	0
twice	twice	16	2	5	1	0	0
at	at	16	1	5	2	0	0
once	once	16	2	5	3	1	0
and	and	16	1	NA	NA	0	0
die	die	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
come	come	16	1	NA	NA	0	0
back	back	16	2	NA	NA	0	0
as	as	16	1	NA	NA	0	0
vanilla	van-	16	1	NA	NA	0	0
vanilla	il-	16	1	NA	NA	0	0
vanilla	la	16	1	NA	NA	0	0
ice's	ice-	16	2	5	1	0	0
ice's	's	16	1	5	2	0	0
son	son	16	4	5	3	1	1
and	and	16	1	NA	NA	0	0
walk	walk	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
rest	rest	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
life	life	16	2	5	1	0	0
spit	spit	16	1	5	2	0	0
on	on	16	2	5	3	1	0
and	and	16	1	NA	NA	0	0
kicked	kicked	16	2	6	1	0	0
and	and	16	1	NA	NA	0	0
hit	hit	16	2	6	1	0	0
with	with	16	1	NA	NA	0	0
shit	shit	16	2	6	1	0	0
every	ev-	24	1	NA	NA	0	0
every	e-	24	1	NA	NA	0	0
every	ry	24	1	NA	NA	0	0
time	time	16	2	5	1	0	0
i	i	16	1	5	2	0	0
sung	sung	16	3	5	3	1	1
like	like	16	1	NA	NA	0	0
r	r	16	2	NA	NA	0	0
kelly	kel-	16	1	NA	NA	0	0
kelly	ly	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
soon	soon	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
bump	bump	16	1	NA	NA	0	0
n	n	16	1	NA	NA	0	0
grind	grind	16	2	5	1	0	0
comes	comes	16	1	5	2	0	0
on	on	16	3	5	3	1	1
more	more	16	2	NA	NA	0	0
pain	pain	16	2	6	1	0	0
inside	in-	16	1	NA	NA	0	0
inside	side	16	1	7	1	0	0
of	of	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
brain	brain	16	2	6	1	0	0
than	than	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
eyes	eyes	16	2	7	1	0	0
of	of	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
little	lit-	16	1	NA	NA	0	0
little	tle	16	1	NA	NA	0	0
girl	girl	16	2	NA	NA	0	0
inside	in-	16	1	NA	NA	0	0
inside	side	16	1	7	1	0	0
of	of	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
plane	plane	16	3	6	1	1	1
aimed	aimed	16	1	6	1	0	0
at	at	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
world	world	16	2	7	1	0	0
trade	trade	16	3	6	1	1	1
standing	stand-	16	1	NA	NA	0	0
standing	ing	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
ronnie's	ron-	16	1	NA	NA	0	0
ronnie's	nie's	16	1	NA	NA	0	0
grave	grave	16	4	6	1	0	1
screaming	scream-	16	1	NA	NA	0	0
screaming	ing	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sky	sky	16	2	7	1	1	0
till	till	16	1	NA	NA	0	0
