word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
my	my	8	1	NA	NA	0	0
mom	mom	8	1	1	1	0	0
my	my	8	1	NA	NA	0	0
mom	mom	8	1	1	1	0	0
i	i	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
probably	pro-	16	1	1	1	0	0
probably	ba-	16	1	NA	NA	0	0
probably	bly	16	1	NA	NA	0	0
tired	tir-	24	1	NA	NA	0	0
tired	ed	24	1	NA	NA	0	0
of	of	24	1	NA	NA	0	0
hearing	hear-	16	1	NA	NA	0	0
hearing	ing	16	1	NA	NA	1	0
bout	bout	8	1	NA	NA	0	0
my	my	8	1	NA	NA	0	0
mom	mom	16	3	1	1	0	0
oh	oh	8	1	3	1	0	0
ho	ho	8	1	3	2	0	0
whoa	whoa	8	1	3	3	0	0
ho	ho	8	1	3	4	1	1
but	but	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
story	sto-	16	1	2	1	0	0
story	ry	16	1	2	2	0	0
of	of	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
shorty	shor-	16	1	2	1	0	0
shorty	ty	16	1	2	2	1	0
and	and	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
become	be-	16	1	NA	NA	0	0
become	come	8	1	NA	NA	0	0
hooked	hooked	8	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
va	v-	8	1	3	1	0	0
ha	ha	8	1	3	2	0	0
li	li	8	1	3	3	0	0
um	um	8	1	3	4	1	1
valium	va-	32	1	NA	NA	0	0
valium	li-	32	1	NA	NA	0	0
valium	um	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
in	in	8	1	NA	NA	0	0
everything	eve-	16	1	NA	NA	0	0
everything	ry-	16	1	NA	NA	0	0
everything	thing	8	1	NA	NA	0	1
food	food	8	1	4	1	0	0
that	that	16	1	4	2	0	0
i	i	16	1	4	3	0	0
ate	ate	16	3	4	4	1	1
the	the	16	1	NA	NA	0	0
water	wa-	16	1	NA	NA	0	0
water	ter	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
drank	drank	8	1	NA	NA	0	0
fucking	fuck-	16	1	NA	NA	0	0
fucking	ing	16	1	NA	NA	0	0
peas	peas	8	1	4	1	0	0
in	in	16	1	4	2	0	0
my	my	16	1	4	3	0	0
plate	plate	16	2	4	4	1	0
she	she	16	1	NA	NA	0	0
sprinkled	sprink-	16	1	NA	NA	0	0
sprinkled	led	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
enough	e-	16	1	NA	NA	0	0
enough	nough	8	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
season	seas-	8	1	4	1	0	0
season	on	16	1	4	2	0	0
my	my	16	1	4	3	0	0
steak	steak	16	3	4	4	1	1
so	so	16	1	NA	NA	0	0
everyday	eve-	16	1	NA	NA	0	0
everyday	ry-	16	1	NA	NA	0	0
everyday	day	16	1	NA	NA	0	0
id	id	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
least	least	8	1	NA	NA	0	0
three	three	8	1	4	1	0	0
stomach	sto-	16	1	4	2	0	0
stomach	mach	16	1	4	3	0	0
aches	aches	8	1	4	4	1	0
now	now	16	1	NA	NA	0	0
tell	tell	8	1	NA	NA	0	0
me	me	8	1	NA	NA	0	1
what	what	8	1	NA	NA	0	0
kind	kind	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
mother	mo-	16	1	5	1	0	0
mother	ther	16	1	5	2	0	0
would	would	16	1	NA	NA	0	0
want	want	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
see	see	16	1	5	1	0	0
her	her	16	3	5	2	1	1
son	son	8	1	NA	NA	0	0
grow	grow	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
an	an	16	1	NA	NA	0	0
under	un-	16	1	NA	NA	0	0
under	der	16	1	NA	NA	0	0
