word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
my	my	16	1	NA	NA	0	0
english	eng-	16	1	NA	NA	0	0
english	lish	16	1	NA	NA	0	0
teacher	teach-	16	1	NA	NA	0	0
teacher	er	32	3	NA	NA	0	0
wanted	wan-	32	1	NA	NA	0	0
wanted	ted	32	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
flunk	flunk	16	1	NA	NA	0	0
me	me	8	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
junior	ju-	16	1	1	1	0	0
junior	nior	16	1	1	2	0	0
high	high	4	1	1	3	1	1
thanks	thanks	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
lot	lot	8	1	NA	NA	0	0
next	next	16	1	NA	NA	0	0
semester	se-	16	1	NA	NA	0	0
semester	mes-	16	1	NA	NA	0	0
semester	ter	16	1	NA	NA	0	0
i'll	i'll	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
thirty	thir-	16	1	1	1	0	0
thirty	ty	16	1	1	2	0	0
five	five	16	3	1	3	1	1
i	i	16	1	NA	NA	0	0
smacked	smacked	16	1	NA	NA	0	0
him	him	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
face	face	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
an	an	16	1	NA	NA	0	0
eraser	e-	16	1	NA	NA	0	0
eraser	ra-	16	1	2	1	0	0
eraser	ser	16	3	2	2	1	1
chased	chased	16	1	NA	NA	0	0
him	him	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
stapler	sta-	16	1	2	1	0	0
stapler	pl-	16	1	2	2	0	0
stapler	er	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
stapled	stap-	16	1	2	1	0	0
stapled	led	16	1	2	2	0	0
his	his	16	1	NA	NA	0	0
nuts	nuts	8	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
stack	stack	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
paper	pa-	16	1	2	1	0	0
paper	per	16	4	2	2	1	1
walked	walked	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
strip	strip	16	1	NA	NA	0	0
club	club	16	3	NA	NA	0	0
had	had	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
jacket	jac-	16	1	NA	NA	0	0
jacket	ket	16	1	NA	NA	0	0
zipped	zipped	16	1	3	1	0	0
up	up	16	3	3	2	1	1
flashed	flashed	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bartender	bar-	16	2	NA	NA	0	0
bartender	ten-	16	1	NA	NA	0	0
bartender	der	16	2	NA	NA	0	0
then	then	16	1	NA	NA	0	0
stuck	stuck	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
dick	dick	16	1	NA	NA	0	0
in	in	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
tip	tip	16	1	3	1	0	0
cup	cup	16	4	3	2	1	1
extraterrestrial	ex-	16	1	NA	NA	0	0
extraterrestrial	tra-	16	1	NA	NA	0	0
extraterrestrial	ter-	16	1	NA	NA	0	0
extraterrestrial	res-	16	1	4	1	0	0
extraterrestrial	tri-	16	1	4	2	0	0
extraterrestrial	al	16	2	4	3	0	0
running	run-	24	1	NA	NA	0	0
running	ning	24	1	NA	NA	0	0
over	o-	12	1	NA	NA	0	0
over	ver	24	1	NA	NA	0	0
pedestrians	ped-	24	1	NA	NA	0	0
pedestrians	est-	16	1	4	1	0	0
pedestrians	ri-	16	1	4	2	0	0
pedestrians	ans	16	3	4	3	1	1
in	in	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
spaceship	space-	12	1	NA	NA	0	0
spaceship	ship	24	1	NA	NA	0	0
while	while	24	1	NA	NA	0	0
they	they	12	1	NA	NA	0	0
screaming	scream-	16	1	NA	NA	0	0
screaming	ing	16	3	NA	NA	0	0
lets	lets	8	1	NA	NA	0	0
just	just	8	1	4	1	0	0
be	be	16	1	4	2	0	0
friends	friends	16	3	4	3	1	1
ninety	nine-	16	1	NA	NA	0	0
ninety	ty	16	1	NA	NA	0	0
nine	nine	16	1	NA	NA	0	0
percent	per-	16	1	NA	NA	0	0
percent	cent	24	1	NA	NA	0	0
of	of	24	1	NA	NA	0	0
my	my	24	1	NA	NA	0	0
life	life	12	1	NA	NA	0	0
i	i	24	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
lied	lied	8	1	5	1	0	0
to	to	16	2	5	2	1	1
i	i	16	1	NA	NA	0	0
just	just	12	1	NA	NA	0	0
found	found	12	1	NA	NA	0	0
out	out	6	1	NA	NA	0	0
my	my	24	1	NA	NA	0	0
mom	mom	16	1	NA	NA	0	0
does	does	16	1	NA	NA	0	0
more	more	16	1	NA	NA	0	0
dope	dope	8	1	NA	NA	0	0
than	than	16	1	NA	NA	0	0
i	i	16	1	5	1	0	0
do	do	4	1	5	2	1	1
i	i	16	1	NA	NA	0	0
told	told	16	1	NA	NA	0	0
her	her	16	1	NA	NA	0	0
id	id	16	1	NA	NA	0	0
grow	grow	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
famous	fa-	16	1	6	1	0	0
famous	mous	16	1	6	2	0	0
rapper	rap-	16	1	6	3	0	0
rapper	per	48	11	6	4	1	1
make	make	24	1	NA	NA	0	0
a	a	24	1	NA	NA	0	0
record	re-	24	1	NA	NA	0	0
record	cord	24	1	NA	NA	0	0
about	a-	24	1	NA	NA	0	0
about	bout	8	1	NA	NA	0	0
doing	do-	32	1	NA	NA	0	0
doing	ing	32	1	NA	NA	0	0
drugs	drugs	8	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
name	name	16	1	6	1	0	0
it	it	16	1	6	2	0	0
after	af-	16	1	6	3	0	0
after	ter	16	1	6	4	0	0
her	her	16	3	NA	NA	1	1
you	you	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
blew	blew	16	1	NA	NA	0	0
up	up	16	2	NA	NA	0	0
when	when	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
women	wo-	16	1	NA	NA	0	0
women	men	16	1	NA	NA	0	0
rush	rush	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
stands	stands	16	3	7	1	1	1
and	and	16	1	NA	NA	0	0
try	try	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
touch	touch	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
hands	hands	16	2	7	1	0	0
like	like	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
screaming	scream-	16	1	NA	NA	0	0
screaming	ing	16	1	NA	NA	0	0
