word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i'm	i'm	16	1	NA	NA	0	0
alive	a-	16	1	NA	NA	0	0
alive	live	16	1	NA	NA	0	0
again	a-	16	1	NA	NA	0	0
again	gain	8	1	NA	NA	0	1
more	more	16	1	NA	NA	0	0
alive	a-	16	1	NA	NA	0	0
alive	live	16	1	NA	NA	0	0
than	than	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
have	have	16	1	NA	NA	0	0
been	been	32	1	NA	NA	0	0
in	in	32	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
whole	whole	16	1	NA	NA	0	0
entire	en-	16	1	NA	NA	0	0
entire	ti-	16	1	NA	NA	0	0
entire	re	16	1	NA	NA	0	0
life	life	16	1	NA	NA	1	0
i	i	16	1	NA	NA	0	0
can	can	8	1	NA	NA	0	1
see	see	16	1	NA	NA	0	0
these	these	16	1	NA	NA	0	0
people's	peop-	16	1	NA	NA	0	0
people's	le's	16	1	NA	NA	0	0
ears	ears	16	1	NA	NA	0	0
perk	perk	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
begin	be-	16	1	NA	NA	0	0
begin	gin	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
spaz	spaz	16	1	NA	NA	0	0
with	with	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
pen	pen	16	1	NA	NA	1	1
i'm	i'm	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
little	lit-	32	1	NA	NA	0	0
little	tle	32	1	NA	NA	0	0
bit	bit	16	1	NA	NA	0	0
sicker	sick-	32	1	NA	NA	0	0
sicker	er	32	1	NA	NA	0	0
than	than	8	1	NA	NA	0	1
most	most	8	1	NA	NA	0	1
shit's	shit's	16	1	NA	NA	0	0
finna	fin-	32	1	NA	NA	0	0
finna	na	32	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
thick	thick	32	1	NA	NA	0	0
again	a-	32	1	NA	NA	0	0
again	gain	16	1	NA	NA	1	1
they	they	16	1	NA	NA	0	0
say	say	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	1
competition	comp-	32	1	NA	NA	0	0
competition	e-	32	1	NA	NA	0	0
competition	ti-	32	1	NA	NA	0	0
competition	tion	32	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
stiff	stiff	16	1	NA	NA	0	0
but	but	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
get	get	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
hard	hard	16	1	NA	NA	0	0
dick	dick	16	1	NA	NA	0	0
from	from	32	1	NA	NA	0	0
this	this	32	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
now	now	16	1	NA	NA	0	0
stick	stick	32	1	NA	NA	0	0
it	it	32	1	NA	NA	0	0
in	in	8	1	NA	NA	1	1
i	i	32	1	NA	NA	0	0
