word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i'm	i'm	8	1	NA	NA	0	0
alive	a-	8	1	NA	NA	0	0
alive	live	8	1	1	1	0	0
again	a-	8	1	1	2	0	0
again	gain	4	1	1	3	0	1
more	more	8	1	NA	NA	0	0
alive	a-	8	1	NA	NA	0	0
alive	live	8	1	NA	NA	0	0
than	than	8	1	NA	NA	0	0
i	i	8	1	1	1	0	0
have	have	8	1	1	2	0	0
been	been	16	1	1	3	0	0
in	in	16	1	NA	NA	0	0
my	my	8	1	NA	NA	0	0
whole	whole	8	1	NA	NA	0	0
entire	en-	8	1	NA	NA	0	0
entire	ti-	8	1	NA	NA	0	0
entire	re	8	1	NA	NA	0	0
life	life	8	1	1	1	1	0
i	i	8	1	1	2	0	0
can	can	4	1	1	3	0	1
see	see	8	1	NA	NA	0	0
these	these	8	1	NA	NA	0	0
people's	peop-	8	1	NA	NA	0	0
people's	le's	8	1	NA	NA	0	0
ears	ears	8	1	NA	NA	0	0
perk	perk	8	1	NA	NA	0	0
up	up	8	1	NA	NA	0	0
as	as	8	1	NA	NA	0	0
i	i	8	1	1	1	0	0
begin	be-	8	1	1	2	0	0
begin	gin	8	1	1	3	0	0
to	to	8	1	NA	NA	0	0
spaz	spaz	8	1	1	1	0	0
with	with	16	1	NA	NA	0	0
the	the	16	1	1	2	0	0
pen	pen	8	1	1	3	1	1
i'm	i'm	8	1	NA	NA	0	0
a	a	8	1	NA	NA	0	0
little	lit-	16	1	NA	NA	0	0
little	tle	16	1	NA	NA	0	0
bit	bit	8	1	NA	NA	0	0
sicker	sick-	16	1	2	1	0	0
sicker	er	16	1	2	2	0	0
than	than	4	1	2	3	0	1
most	most	4	1	NA	NA	0	1
shit's	shit's	8	1	NA	NA	0	0
finna	fin-	16	1	2	1	0	0
finna	na	16	1	2	2	0	0
get	get	8	1	2	3	0	0
thick	thick	16	1	2	1	0	0
again	a-	16	1	2	2	0	0
again	gain	8	1	2	3	1	1
they	they	8	1	NA	NA	0	0
say	say	8	1	NA	NA	0	0
the	the	8	1	NA	NA	0	1
competition	comp-	16	1	NA	NA	0	0
competition	e-	16	1	NA	NA	0	0
competition	ti-	16	1	2	1	0	0
competition	tion	16	1	2	2	0	0
is	is	8	1	2	3	0	0
stiff	stiff	8	1	3	1	0	0
but	but	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
hard	hard	8	1	NA	NA	0	0
dick	dick	8	1	3	1	0	0
from	from	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
shit	shit	8	1	3	1	0	0
now	now	8	1	NA	NA	0	0
stick	stick	16	1	2	1	0	0
it	it	16	1	2	2	0	0
in	in	4	1	2	3	1	1
i	i	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
giving	gi-	16	1	NA	NA	0	0
giving	ving	16	1	NA	NA	0	0
in	in	8	1	2	1	0	0
again	a-	8	1	2	2	0	0
again	gain	4	1	2	3	0	1
caution	caut-	8	1	NA	NA	0	0
caution	ion	8	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
wind	wind	8	1	NA	NA	0	0
complete	com-	8	1	NA	NA	0	0
complete	plete	8	1	NA	NA	0	0
freedom	free-	8	1	4	1	0	0
freedom	dom	8	1	4	2	1	1
look	look	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
these	these	8	1	NA	NA	0	0
rappers	rap-	8	1	NA	NA	0	0
rappers	pers	8	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
treat	treat	8	1	4	1	0	0
them	them	8	1	4	2	0	0
so	so	8	1	NA	NA	0	0
why	why	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
fuck	fuck	8	1	NA	NA	0	0
would	would	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
join	join	8	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	8	1	NA	NA	0	0
beat	beat	8	1	4	1	0	0
em	em	4	1	4	2	1	1
they	they	8	1	NA	NA	0	0
call	call	8	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
freak	freak	8	1	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
like	like	8	1	NA	NA	0	0
to	to	8	1	NA	NA	0	0
spit	spit	8	1	NA	NA	0	0
on	on	8	1	NA	NA	0	0
these	these	8	1	NA	NA	0	0
pussies	puss-	8	1	NA	NA	0	0
pussies	ies	8	1	NA	NA	0	0
fore	fore	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
eat	eat	8	1	4	1	0	0
them	them	16	1	4	2	1	1
man	man	16	1	NA	NA	0	0
get	get	8	1	NA	NA	0	0
these	these	8	1	NA	NA	0	0
whack	whack	8	1	NA	NA	0	0
cocksuckers	cock-	8	1	NA	NA	0	0
cocksuckers	suck-	16	1	NA	NA	0	0
cocksuckers	ers	16	1	NA	NA	0	0
off	off	8	1	NA	NA	0	0
stage	stage	4	1	NA	NA	0	0
where	where	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
fuck	fuck	8	1	NA	NA	0	0
is	is	8	1	NA	NA	0	0
kanye	kan-	8	1	NA	NA	0	0
kanye	ye	8	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
need	need	8	1	4	1	0	0
him	him	8	1	4	2	1	1
snatch	snatch	8	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
mic	mic	8	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
him	him	8	1	NA	NA	0	1
bitch	bitch	8	1	NA	NA	0	0
i'mma	i'm-	16	1	NA	NA	0	0
i'mma	ma	16	1	NA	NA	0	0
let	let	8	1	NA	NA	0	0
you	you	8	1	NA	NA	0	0
finish	fin-	16	1	5	1	0	0
finish	ish	16	1	5	2	0	0
in	in	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
minute	min-	16	1	5	1	0	0
minute	ute	16	1	5	2	0	0
yeah	yeah	16	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
rap	rap	8	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
tight	tight	8	1	6	1	1	0
but	but	16	1	6	2	0	0
i'm	i'm	8	1	6	3	0	1
bout	bout	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
spit	spit	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
greatest	great-	16	1	NA	NA	0	0
greatest	est	16	1	NA	NA	0	0
verse	verse	8	1	NA	NA	0	0
of	of	8	1	NA	NA	0	0
all	all	8	1	NA	NA	0	0
time	time	8	1	7	1	0	0
so	so	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
might	might	8	1	7	1	0	0
wanna	wan-	16	1	NA	NA	0	0
wanna	na	16	1	NA	NA	0	0
go	go	16	1	NA	NA	0	0
back	back	8	1	NA	NA	0	0
to	to	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
lab	lab	8	1	NA	NA	0	0
tonight	to-	16	1	NA	NA	0	0
tonight	night	8	1	6	1	0	0
and	and	16	1	6	2	0	0
um	um	4	1	6	3	1	1
scribble	scrib-	16	1	NA	NA	0	0
scribble	ble	16	1	NA	NA	0	0
out	out	8	1	NA	NA	0	0
them	them	8	1	NA	NA	0	0
rhymes	rhymes	8	1	7	1	0	0
you	you	16	1	NA	NA	0	0
were	were	16	1	NA	NA	0	0
gonna	gon-	16	1	NA	NA	0	0
gonna	na	16	1	NA	NA	0	0
spit	spit	8	1	NA	NA	0	0
and	and	8	1	NA	NA	0	0
start	start	8	1	NA	NA	0	0
over	o-	16	1	NA	NA	0	0
over	ver	16	1	NA	NA	0	0
from	from	8	1	NA	NA	0	0
scratch	scratch	8	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
write	write	8	1	7	1	0	0
new	new	16	1	NA	NA	0	0
ones	ones	8	1	6	1	1	1
but	but	24	1	6	2	0	0
i'm	i'm	24	1	6	3	0	0
afraid	a-	24	1	NA	NA	0	0
afraid	fraid	8	1	NA	NA	0	0
that	that	24	1	NA	NA	0	0
it	it	24	1	NA	NA	0	0
ain't	ain't	12	1	NA	NA	0	0
gonna	gon-	24	1	NA	NA	0	0
gonna	na	24	1	NA	NA	0	0
make	make	8	1	NA	NA	0	0
no	no	8	1	NA	NA	0	0
difference	dif-	16	1	8	1	0	0
difference	ence	16	1	8	2	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
rip	rip	16	1	8	1	0	0
this	this	16	1	8	2	0	0
stage	stage	8	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
tear	tear	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
half	half	8	1	NA	NA	0	0
tonight	to-	16	1	NA	NA	0	0
tonight	night	8	1	6	1	1	1
it's	it's	16	1	6	2	0	0
an	an	16	1	6	3	0	0
adrenaline	ad-	16	1	NA	NA	0	0
adrenaline	ren-	16	1	NA	NA	0	0
adrenaline	a-	16	1	NA	NA	0	0
adrenaline	line	16	1	NA	NA	0	0
rush	rush	8	1	10	1	0	1
to	to	16	1	NA	NA	0	0
feel	feel	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
bass	bass	8	1	11	1	0	0
thump	thump	8	1	10	1	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
place	place	8	1	11	1	0	0
all	all	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
way	way	8	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
parking	park-	8	1	NA	NA	0	0
parking	ing	8	1	NA	NA	0	0
lot	lot	8	1	NA	NA	0	0
fellow	fel-	16	1	9	1	0	0
fellow	low	16	3	9	2	1	1
set	set	8	1	NA	NA	0	0
fire	fi-	16	1	NA	NA	0	0
fire	re	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
mic	mic	16	1	12	1	0	0
and	and	16	1	NA	NA	0	0
ignite	ig-	16	1	NA	NA	0	0
ignite	nite	8	1	12	1	0	0
the	the	16	1	NA	NA	0	0
crowd	crowd	4	1	NA	NA	0	1
you	you	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
see	see	8	1	NA	NA	0	0
the	the	8	1	NA	NA	0	1
sparks	sparks	8	1	NA	NA	0	0
from	from	8	1	NA	NA	0	0
hot	hot	8	1	NA	NA	0	0
metal	me-	16	1	9	1	0	0
metal	tal	16	3	9	2	1	1
coldhearted	cold-	8	1	NA	NA	0	0
coldhearted	heart-	8	1	13	1	0	0
coldhearted	ed	8	1	13	2	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
day	day	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
bogarted	bo-	8	1	NA	NA	0	0
bogarted	gar-	8	1	13	1	0	0
bogarted	ted	16	1	13	2	0	0
the	the	16	1	NA	NA	0	0
game	game	8	1	NA	NA	0	0
i	i	8	1	NA	NA	0	0
so	so	8	1	NA	NA	0	0
started	star-	8	1	13	1	0	0
started	ted	16	1	13	2	0	0
to	to	16	1	NA	NA	0	0
rock	rock	8	1	NA	NA	0	0
fellow	fel-	16	1	9	1	0	0
fellow	low	16	1	9	2	1	0
when	when	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
not	not	8	1	NA	NA	0	0
even	e-	16	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
harshest	har-	8	1	NA	NA	0	0
harshest	shest	8	1	13	1	0	1
you	you	16	1	13	2	0	0
can	can	16	1	NA	NA	0	0
still	still	8	1	NA	NA	0	0
get	get	8	1	NA	NA	0	0
roasted	roast-	8	1	NA	NA	0	0
roasted	ed	8	1	NA	NA	0	0
cause	cause	8	1	NA	NA	0	0
marsh	marsh	8	1	13	1	0	0
is	is	8	1	13	2	0	0
not	not	8	1	NA	NA	0	0
mellow	mel-	16	1	9	1	0	0
mellow	low	16	1	9	2	1	1
til	til	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
toppling	top-	8	1	15	1	0	0
toppling	pl-	16	1	NA	NA	0	0
toppling	ing	16	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
top	top	8	1	15	1	0	0
i'm	i'm	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
going	go-	24	1	NA	NA	0	0
going	ing	24	1	NA	NA	0	0
to	to	24	1	NA	NA	0	0
stop	stop	8	1	15	1	0	1
i'm	i'm	8	1	NA	NA	0	0
standing	stand-	16	1	NA	NA	0	0
standing	ing	16	1	NA	NA	0	0
on	on	8	1	NA	NA	0	0
my	my	8	1	NA	NA	0	0
monopoly	mo-	8	1	NA	NA	0	0
monopoly	no-	8	1	14	1	0	0
monopoly	po-	16	1	14	2	0	0
monopoly	ly	16	1	14	3	0	0
board	board	4	1	14	4	1	1
that	that	8	1	NA	NA	0	0
means	means	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
on	on	8	1	NA	NA	0	0
top	top	8	1	15	1	0	0
of	of	8	1	NA	NA	0	0
my	my	8	1	NA	NA	0	0
game	game	8	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
don't	don't	8	1	NA	NA	0	0
stop	stop	8	1	15	1	0	0
til	til	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
hip	hip	8	1	NA	NA	0	0
don't	don't	8	1	NA	NA	0	0
hop	hop	8	1	14	1	0	0
anymore	an-	16	1	14	2	0	0
anymore	y-	16	1	14	3	0	0
anymore	more	4	1	14	4	1	1
when	when	16	1	NA	NA	0	0
you're	you're	16	1	NA	NA	0	0
so	so	8	1	NA	NA	0	0
good	good	8	1	NA	NA	0	0
that	that	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
can't	can't	8	1	NA	NA	0	0
say	say	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
even	e-	16	1	NA	NA	0	0
even	ven	16	1	NA	NA	0	0
cool	cool	8	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
sound	sound	8	1	NA	NA	0	0
cocky	co-	16	1	14	1	0	0
cocky	cky	16	1	NA	NA	0	0
anymore	an-	16	1	14	2	0	0
anymore	y-	16	1	14	3	0	0
anymore	more	4	1	14	4	1	1
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
just	just	8	1	NA	NA	0	0
get	get	8	1	NA	NA	0	0
sick	sick	8	1	NA	NA	0	0
cause	cause	16	1	NA	NA	0	0
you	you	8	1	NA	NA	0	0
spit	spit	8	1	NA	NA	0	0
these	these	16	1	NA	NA	0	0
fools	fools	8	1	16	1	0	0
can't	can't	8	1	NA	NA	0	0
drool	drool	8	1	16	1	0	0
or	or	16	1	NA	NA	0	0
dribble	drib-	16	1	NA	NA	0	0
dribble	ble	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
drop	drop	8	1	14	1	0	0
anymore	an-	16	1	14	2	0	0
anymore	y-	16	1	14	3	0	0
anymore	more	16	3	14	4	1	1
and	and	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
break	break	8	1	17	1	0	0
my	my	8	1	17	2	0	0
stride	stride	16	3	17	3	0	1
you	you	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
slow	slow	8	1	18	1	0	0
the	the	16	1	NA	NA	0	0
momentum	mo-	8	1	NA	NA	0	0
momentum	men-	16	1	NA	NA	0	0
momentum	tum	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
any	a-	16	1	NA	NA	0	0
any	ny	16	1	NA	NA	0	0
moment	mo-	8	1	18	1	0	0
moment	ment	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
bout	bout	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
blow	blow	16	3	18	1	1	1
you'll	you'll	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
take	take	8	1	17	1	0	0
my	my	8	1	17	2	0	0
pride	pride	16	3	17	3	0	0
killing	kil-	16	1	NA	NA	0	0
killing	ling	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
flow	flow	16	3	18	1	0	0
slow	slow	8	1	18	1	0	0
venom	ve-	16	1	NA	NA	0	0
venom	nom	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
opponent	op-	16	1	NA	NA	0	0
opponent	po-	8	1	18	1	0	0
opponent	nent	16	1	NA	NA	1	0
is	is	16	1	NA	NA	0	0
getting	get-	16	1	NA	NA	0	0
getting	ting	16	1	NA	NA	0	0
no	no	16	3	18	1	0	1
mercy	mer-	8	1	NA	NA	0	0
mercy	cy	16	1	NA	NA	0	0
mark	mark	8	1	NA	NA	0	0
my	my	8	1	NA	NA	0	0
words	words	16	3	NA	NA	0	1
ain't	ain't	16	1	NA	NA	0	0
letting	let-	16	1	NA	NA	0	0
letting	ting	16	1	NA	NA	0	0
up	up	8	1	19	1	0	0
relentless	re-	16	1	NA	NA	0	0
relentless	lent-	8	1	NA	NA	0	0
relentless	less	16	1	NA	NA	0	0
i	i	8	1	NA	NA	0	0
smell	smell	8	1	NA	NA	0	0
blood	blood	16	3	19	1	1	1
don't	don't	16	1	NA	NA	0	0
give	give	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
fuck	fuck	16	3	19	1	0	0
keep	keep	8	1	NA	NA	0	0
giving	gi-	16	1	NA	NA	0	0
giving	ving	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
hell	hell	8	1	20	1	0	1
where	where	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
you	you	8	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
fell	fell	8	1	20	1	0	0
and	and	8	1	NA	NA	0	0
needed	need-	8	1	NA	NA	0	0
needed	ed	8	1	NA	NA	0	0
help	help	8	1	20	1	0	0
up	up	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
get	get	8	1	NA	NA	0	0
no	no	8	1	NA	NA	0	0
love	love	8	1	NA	NA	1	1
