word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
smoke	smoke	16	2	NA	NA	0	0
signal	sig-	16	1	NA	NA	0	0
signal	nal	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
sky	sky	16	2	1	1	0	0
like	like	16	1	NA	NA	0	0
verizon	ve-	16	1	1	1	0	0
verizon	ri-	16	2	1	2	0	0
verizon	zon	16	1	1	3	0	0
wireless	wire-	16	2	1	4	0	0
wireless	less	16	2	1	6	1	1
a	a	16	1	1	1	0	0
nice	nice	16	2	1	2	0	0
environment	en-	16	1	1	3	0	0
environment	vi-	16	1	1	4	0	0
environment	ron-	16	1	1	5	0	0
environment	ment	16	2	1	6	0	1
surprised	sur-	16	1	1	1	0	0
surprised	prised	16	2	1	2	0	0
entirely	en-	16	1	1	3	0	0
entirely	ti-	16	1	1	4	0	0
entirely	re-	16	1	1	5	0	0
entirely	ly	16	1	1	6	1	0
hypnotized	hyp-	16	1	NA	NA	0	0
hypnotized	no-	16	1	1	1	0	0
hypnotized	tized	16	2	1	2	0	0
by	by	16	1	2	1	0	0
the	the	16	1	2	2	0	0
sound	sound	16	2	2	3	0	0
i	i	16	1	2	1	0	0
surround	sur-	16	1	2	2	0	0
surround	round	16	2	2	3	0	0
the	the	16	1	NA	NA	0	0
hydrants	hy-	16	2	NA	NA	0	0
hydrants	drants	16	1	NA	NA	1	0
taking	tak-	16	1	NA	NA	0	0
taking	ing	16	1	1	1	0	0
lives	lives	16	2	1	2	0	0
of	of	16	1	1	3	0	0
firemen	fire-	16	2	1	4	0	0
firemen	men	16	1	1	6	0	0
say	say	16	1	NA	NA	0	0
goodbye	good-	16	1	1	1	0	0
goodbye	bye	16	2	1	2	0	0
here	here	16	1	NA	NA	0	0
i	i	16	1	1	3	0	0
am	am	16	1	1	4	0	0
again	a-	16	1	1	5	0	0
again	gain	16	4	1	6	1	1
naked	na-	16	1	NA	NA	0	0
naked	ked	16	1	1	1	0	0
wives	wives	16	2	1	2	0	0
and	and	16	1	1	3	0	0
vicodin	vi-	16	2	1	4	0	0
vicodin	co-	16	1	1	5	0	0
vicodin	din	16	2	1	6	1	0
before	be-	16	1	3	1	0	0
before	fore	16	1	3	2	0	0
i	i	16	1	3	3	0	0
begin	be-	16	1	3	4	0	0
begin	gin	16	1	3	5	0	0
to	to	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
