word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
since	since	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
in	in	16	1	1	1	0	0
a	a	16	1	1	2	0	0
position	pos-	16	1	1	3	0	0
position	i-	16	1	1	4	0	0
position	tion	16	1	1	5	0	0
to	to	16	1	NA	NA	0	0
talk	talk	16	1	2	1	0	0
to	to	16	1	2	2	0	0
these	these	16	1	NA	NA	0	0
kids	kids	16	1	1	1	0	0
and	and	16	1	1	2	0	0
they	they	16	1	1	3	0	0
listen	lis-	16	1	1	4	0	0
listen	ten	16	1	1	5	0	0
i	i	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
no	no	16	1	1	1	1	0
politician	po-	16	1	1	2	0	0
politician	li-	16	1	1	3	0	0
politician	ti-	16	1	1	4	0	0
politician	cian	16	1	1	5	0	0
but	but	16	1	NA	NA	0	0
i'll	i'll	16	1	NA	NA	0	0
kick	kick	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
with	with	16	1	1	1	0	0
em	em	16	1	1	2	0	0
a	a	16	1	1	3	0	0
minute	mi-	16	1	1	4	0	0
minute	nute	16	1	1	5	0	1
cause	cause	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
they	they	16	1	NA	NA	1	0
call	call	16	1	2	1	0	0
me	me	16	1	2	2	0	0
a	a	16	1	NA	NA	0	0
menace	me-	16	1	NA	NA	0	0
menace	nace	16	1	NA	NA	0	1
and	and	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
shoe	shoe	16	1	3	1	0	0
fits	fits	16	1	3	2	0	0
i'll	i'll	16	1	3	3	0	0
wear	wear	16	1	3	4	0	0
it	it	16	1	3	5	0	0
but	but	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
don't	don't	16	2	NA	NA	0	1
then	then	16	1	NA	NA	0	0
ya'll	ya'll	16	2	NA	NA	0	0
swallow	swal-	16	1	2	1	0	0
swallow	low	16	1	2	2	0	0
the	the	16	1	NA	NA	0	0
truth	truth	16	1	3	1	0	0
grin	grin	16	1	3	2	0	0
and	and	16	1	3	3	0	0
bear	bear	16	1	3	4	0	0
it	it	16	1	3	5	1	0
now	now	16	1	NA	NA	0	0
who's	who's	16	1	NA	NA	0	0
the	the	16	1	NA	NA	1	0
king	king	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
these	these	16	1	NA	NA	0	0
rude	rude	16	2	5	1	0	0
ludicrous	lud-	16	1	5	1	0	0
ludicrous	i-	16	1	5	2	0	0
ludicrous	crous	16	1	5	3	0	0
lucrative	lu-	16	1	5	1	0	0
lucrative	cra-	16	1	5	2	0	0
lucrative	tive	16	1	5	3	0	0
lyrics	ly-	16	1	5	4	0	0
lyrics	rics	16	1	5	5	0	1
who	who	16	1	NA	NA	0	0
could	could	16	1	NA	NA	1	0
inherit	in-	16	1	NA	NA	0	0
inherit	her-	16	1	NA	NA	0	0
inherit	it	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
title	ti-	16	1	NA	NA	0	0
title	tle	16	2	NA	NA	0	1
put	put	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
youth	youth	16	1	5	1	0	0
in	in	16	1	5	2	0	0
hysterics	hy-	16	1	5	3	0	0
hysterics	ster-	16	1	5	4	0	0
hysterics	ics	16	1	5	5	0	0
using	u-	16	1	NA	NA	0	0
using	sing	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
music	mu-	16	1	5	1	0	0
music	sic	16	1	5	2	0	0
to	to	16	1	5	3	0	0
steer	steer	16	1	5	4	0	0
it	it	16	1	5	5	0	0
sharing	shar-	16	1	6	1	0	0
sharing	ing	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
views	views	16	1	5	1	0	0
and	and	16	1	5	2	0	0
his	his	16	1	5	3	1	0
merits	mer-	16	1	5	4	0	0
merits	its	16	1	5	5	0	0
but	but	16	1	NA	NA	0	0
there's	there's	16	1	6	1	0	0
a	a	16	1	NA	NA	1	0
huge	huge	16	1	5	1	0	0
interference	in-	16	1	5	2	0	0
interference	ter-	16	1	5	3	0	0
interference	fer-	16	1	5	4	0	0
interference	ence	16	1	5	5	0	0
they're	they're	16	1	6	1	0	0
saying	say-	16	1	NA	NA	0	0
saying	ing	16	1	NA	NA	0	0
you	you	16	1	5	1	0	0
shouldn't	should-	16	1	5	2	0	0
shouldn't	n't	16	1	5	3	0	0
hear	hear	16	1	5	4	0	0
it	it	16	1	5	5	0	1
maybe	may-	16	1	NA	NA	0	0
maybe	be	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	0	0
hatred	hat-	16	1	NA	NA	0	0
hatred	red	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
spew	spew	16	2	5	1	0	1
maybe	may-	16	1	NA	NA	0	0
maybe	be	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	1	0
food	food	16	1	5	1	0	0
for	for	16	1	5	2	0	0
the	the	16	1	5	3	0	0
spirit	spi-	16	1	5	4	0	0
spirit	rit	16	1	5	5	0	1
maybe	may-	16	1	NA	NA	0	0
maybe	be	16	1	NA	NA	0	0
it's	it's	16	1	NA	NA	1	0
beautiful	beau-	16	1	5	1	0	0
beautiful	ti-	16	1	5	2	0	0
beautiful	ful	16	1	5	3	0	0
music	mu-	16	1	5	4	0	0
music	sic	16	1	5	5	0	0
i	i	16	1	NA	NA	0	0
made	made	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
you	you	16	1	5	1	0	0
to	to	16	1	5	2	0	0
just	just	16	1	5	3	0	0
cherish	che-	16	1	5	4	0	0
cherish	rish	16	1	5	5	0	0
but	but	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	1	0
debated	de-	16	1	NA	NA	0	0
debated	ba-	16	1	NA	NA	0	0
debated	ted	16	1	NA	NA	0	0
disputed	dis-	16	1	NA	NA	0	0
disputed	pu-	16	1	5	1	0	0
disputed	ted	16	1	5	2	0	0
hated	ha-	16	1	5	3	0	0
hated	ted	16	1	5	4	0	0
and	and	16	1	5	5	0	0
viewed	viewed	16	1	5	1	0	0
in	in	16	1	5	2	0	0
america	a-	16	1	5	3	0	0
america	mer-	16	1	5	4	0	0
america	i-	16	1	5	5	0	0
america	ca	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
a	a	16	1	NA	NA	1	0
motherfucking	mo-	16	1	NA	NA	0	0
motherfucking	ther-	16	1	NA	NA	0	0
motherfucking	fuck-	16	1	NA	NA	0	0
motherfucking	ing	16	1	NA	NA	0	0
drug	drug	16	1	NA	NA	0	0
addict	ad-	16	1	NA	NA	0	0
addict	dict	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
you	you	16	1	5	1	0	0
didn't	didn't	16	1	5	2	0	0
experiment	ex-	16	1	5	3	0	0
experiment	per-	16	1	5	4	0	0
experiment	i-	16	1	5	5	0	0
experiment	ment	16	1	NA	NA	0	0
now	now	16	1	NA	NA	0	0
now	now	16	2	NA	NA	1	1
that's	that's	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
you	you	16	1	5	1	0	0
start	start	16	1	5	2	0	0
to	to	16	1	5	3	0	0
stare	stare	16	1	5	4	0	0
at	at	16	1	5	5	0	0
who's	who's	16	1	5	1	0	0
in	in	16	1	5	2	0	0
the	the	16	1	5	3	0	0
mirror	mir-	16	1	5	4	0	0
mirror	ror	16	1	5	5	0	0
and	and	16	1	NA	NA	0	0
see	see	16	1	NA	NA	1	0
yourself	your-	16	1	NA	NA	0	0
yourself	self	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
kid	kid	16	1	NA	NA	0	0
again	a-	16	1	NA	NA	0	0
again	gain	16	2	NA	NA	0	1
and	and	16	1	NA	NA	0	0
you	you	16	1	5	1	0	0
get	get	16	1	5	2	0	0
embarrassed	em-	16	1	5	3	0	0
embarrassed	bar-	16	1	5	4	0	0
embarrassed	rassed	16	1	5	5	0	0
and	and	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
got	got	16	1	NA	NA	1	0
nothing	no-	16	1	NA	NA	0	0
nothing	thing	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
do	do	16	1	5	1	0	0
but	but	16	1	5	2	0	0
make	make	16	1	5	3	0	0
you	you	16	1	5	4	0	0
look	look	16	1	5	5	0	0
stupid	stu-	16	1	5	1	0	0
stupid	pid	16	1	5	2	0	0
as	as	16	1	5	3	0	0
parents	par-	16	1	5	4	0	0
parents	ents	16	1	5	5	0	0
you	you	16	1	NA	NA	0	0
fucking	fuck-	16	1	NA	NA	0	0
fucking	ing	16	1	NA	NA	1	0
do	do	16	1	5	1	0	0
gooders	good-	16	1	5	2	0	0
gooders	ers	16	1	5	3	0	0
too	too	16	1	5	4	0	0
bad	bad	16	1	5	5	0	0
you	you	16	1	NA	NA	0	0
couldn't	could-	16	1	NA	NA	0	0
couldn't	n't	16	1	NA	NA	0	0
do	do	16	1	NA	NA	0	0
good	good	16	1	5	1	0	0
at	at	16	1	5	2	0	0
marriage	mar-	16	1	5	3	0	0
marriage	riage	16	1	5	4	0	1
and	and	16	1	5	5	0	0
do	do	16	1	NA	NA	0	0
you	you	16	1	NA	NA	1	0
have	have	16	1	NA	NA	0	0
any	an-	16	1	NA	NA	0	0
any	y	16	1	NA	NA	0	0
clue	clue	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
had	had	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
do	do	16	1	5	1	0	0
to	to	16	1	5	2	0	0
get	get	16	1	5	3	0	0
here	here	16	1	5	4	0	0
i	i	16	1	5	5	0	0
don't	don't	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
you	you	16	1	NA	NA	1	0
do	do	16	1	5	1	0	0
so	so	16	1	5	2	0	0
stay	stay	16	1	5	3	0	0
tuned	tuned	16	1	5	4	0	0
and	and	16	1	5	5	0	0
keep	keep	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
ears	ears	16	1	NA	NA	0	0
glued	glued	16	1	5	1	0	0
to	to	16	1	5	2	0	0
the	the	16	1	5	3	0	0
stereo	ster-	16	1	5	4	0	0
stereo	e-	16	1	5	5	0	0
stereo	o	16	1	NA	NA	0	0
cause	cause	16	1	5	3	1	0
here	here	16	1	5	4	0	0
we	we	16	1	5	5	0	0
go	go	16	2	NA	NA	0	1
he's	he's	16	1	NA	NA	0	0
jigga	jig-	16	1	NA	NA	0	0
jigga	ga	16	1	NA	NA	0	0
durra	dur-	16	1	NA	NA	0	0
durra	ra	16	1	NA	NA	0	0
jigga	jig-	16	1	NA	NA	0	0
jigga	ga	16	1	NA	NA	0	0
da	da	16	1	NA	NA	0	0
jiggan	jig-	16	1	NA	NA	0	0
jiggan	gan	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
the	the	16	1	NA	NA	1	0
sinister	si-	16	1	NA	NA	0	0
sinister	nist-	16	2	6	1	0	0
sinister	er	16	2	6	2	0	1
mister	mist-	16	2	6	1	0	0
