word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
see	see	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
poet	po-	16	1	NA	NA	0	0
poet	et	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
some	some	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
regular	re-	16	1	NA	NA	0	0
regular	gu-	16	1	NA	NA	0	0
regular	lar	16	1	NA	NA	0	0
modern	mo-	16	1	NA	NA	0	0
modern	dern	16	1	NA	NA	0	0
day	day	16	1	NA	NA	0	0
shakespeare	shake-	16	2	1	1	0	0
shakespeare	speare	16	3	1	2	1	1
jesus	je-	16	1	NA	NA	0	0
jesus	sus	16	1	NA	NA	0	0
christ	christ	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
king	king	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
these	these	16	1	NA	NA	0	0
latter	lat-	16	1	NA	NA	0	0
latter	ter	16	1	NA	NA	0	0
day	day	16	1	NA	NA	0	0
saints	saints	16	2	1	1	0	0
here	here	16	2	1	2	1	1
to	to	16	1	NA	NA	0	0
shatter	shat-	16	1	NA	NA	0	0
shatter	ter	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
picture	pic-	16	1	2	1	0	0
picture	ture	16	1	2	2	0	0
in	in	16	1	2	1	0	0
which	which	16	1	2	2	0	0
of	of	16	1	NA	NA	0	0
that	that	16	1	3	1	0	0
as	as	16	1	3	2	0	0
they	they	16	1	3	3	0	0
paint	paint	16	2	3	4	0	0
me	me	16	1	3	5	1	0
as	as	16	1	3	6	0	0
a	a	16	1	NA	NA	0	0
monger	mon-	16	1	3	1	0	0
monger	ger	16	1	3	2	0	0
of	of	16	1	3	3	0	0
hate	hate	16	1	3	4	0	0
and	and	16	1	3	5	0	0
satan	sa-	16	1	3	6	0	0
satan	tan	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
scatter	scat-	16	1	3	1	0	0
scatter	ter	16	1	3	2	0	0
brained	brained	16	1	3	3	0	0
atheist	a-	16	2	3	4	0	0
atheist	the-	16	1	3	5	0	0
atheist	ist	16	1	3	6	1	1
but	but	16	1	NA	NA	0	0
that	that	16	1	3	1	0	0
ain't	ain't	16	1	3	2	0	0
the	the	16	1	3	3	0	0
case	case	16	2	3	4	0	0
see	see	16	1	3	5	0	0
it's	it's	16	1	3	6	0	0
a	a	16	1	NA	NA	0	0
matter	mat-	16	1	3	1	0	0
matter	ter	16	1	3	2	0	0
of	of	16	1	3	3	0	0
taste	taste	16	2	3	4	1	1
we	we	16	1	3	5	0	0
as	as	16	1	3	6	0	0
a	a	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
decide	de-	16	1	NA	NA	0	0
decide	cide	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
shady's	sha-	16	1	NA	NA	0	0
shady's	dy's	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
bad	bad	16	1	3	1	0	0
as	as	16	1	3	2	0	0
they	they	16	1	3	3	0	0
say	say	16	2	3	4	0	0
he	he	16	1	3	5	0	0
is	is	16	1	3	6	1	1
or	or	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
he	he	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
latter	lat-	16	1	NA	NA	0	0
latter	ter	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
gateway	gate-	16	2	NA	NA	0	0
gateway	way	16	1	3	1	0	0
to	to	16	1	3	2	0	0
escape	es-	16	1	3	3	0	0
escape	cape	16	2	3	4	1	1
media	me-	16	1	3	5	0	0
media	di-	16	1	3	6	0	0
media	a	16	1	NA	NA	0	0
scapegoat	scape-	16	2	NA	NA	0	0
scapegoat	goat	16	2	NA	NA	0	1
who	who	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
mad	mad	16	1	3	1	0	0
at	at	16	1	3	2	0	0
today	to-	16	1	3	3	0	0
today	day	16	2	3	4	1	0
see	see	16	1	3	5	0	0
it's	it's	16	2	3	6	0	0
easy	ea-	16	1	3	1	0	0
easy	sy	16	1	3	2	0	0
as	as	16	1	3	3	0	0
cake	cake	16	2	3	4	0	1
simple	sim-	16	1	3	5	0	0
simple	ple	16	1	3	6	0	0
as	as	16	1	NA	NA	0	0
whistling	whist-	16	2	5	1	0	0
whistling	ling	16	1	5	3	0	0
dixie	dix-	16	2	5	4	0	0
dixie	ie	16	1	5	5	1	0
while	while	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
waving	wav-	16	1	5	1	0	0
waving	ing	16	1	5	2	0	0
the	the	16	1	5	3	0	0
