word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i've	i've	16	1	NA	NA	0	0
been	been	16	1	NA	NA	0	0
praised	praised	16	2	1	1	0	0
and	and	16	1	NA	NA	0	0
labeled	la-	16	1	1	1	0	0
labeled	beled	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
crazed	crazed	16	3	1	1	1	1
my	my	16	1	NA	NA	0	0
mother	mo-	16	1	NA	NA	0	0
mother	ther	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
unable	un-	16	1	NA	NA	0	0
unable	ab-	16	1	1	1	0	0
unable	le	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
raise	raise	16	2	1	1	0	0
me	me	16	3	NA	NA	0	1
full	full	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
crazy	cra-	16	2	1	1	0	0
crazy	zy	16	1	NA	NA	0	0
rage	rage	16	2	1	1	1	0
an	an	16	1	NA	NA	0	0
angry	an-	16	2	NA	NA	0	0
angry	gry	16	1	NA	NA	0	0
teenager	teen-	16	1	NA	NA	0	0
teenager	a-	16	2	1	1	0	0
teenager	ger	16	1	NA	NA	0	0
nothing	no-	16	1	NA	NA	0	0
nothing	thing	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
change	change	16	2	2	1	0	0
me	me	16	1	2	2	0	0
back	back	16	2	2	3	1	1
gangsta	gang-	16	2	2	1	0	0
gangsta	sta	16	1	2	2	0	0
rap	rap	16	2	2	3	0	0
made	made	16	2	2	1	0	0
me	me	16	1	2	2	0	0
act	act	16	2	2	3	0	0
like	like	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
maniac	ma-	8	1	2	1	0	0
maniac	ni-	16	1	2	2	0	0
maniac	ac	16	3	2	3	1	1
i	i	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
boosting	boost-	16	2	3	1	0	0
boosting	ing	16	1	3	2	0	0
so	so	16	1	NA	NA	0	0
influenced	in-	16	1	NA	NA	0	0
influenced	flu-	16	1	3	1	0	0
influenced	enced	16	1	3	2	0	0
by	by	16	1	NA	NA	0	0
music	mu-	16	2	3	1	0	0
music	sic	16	1	3	2	0	0
i	i	16	1	NA	NA	0	0
used	used	16	2	3	1	0	0
it	it	16	1	3	2	1	0
as	as	16	1	NA	NA	0	0
an	an	16	1	NA	NA	0	0
excuse	ex-	16	1	NA	NA	0	0
excuse	cuse	16	2	3	1	0	0
to	to	16	1	3	2	0	0
do	do	16	2	3	1	0	0
shit	shit	16	1	3	2	0	1
ooh	ooh	16	2	3	1	0	0
i	i	16	1	3	2	0	0
was	was	16	1	NA	NA	0	0
stupid	stu-	16	2	3	1	0	0
stupid	pid	16	1	3	2	1	1
no	no	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
tell	tell	16	2	4	1	0	0
me	me	16	1	4	2	0	0
nothing	no-	16	1	NA	NA	0	0
nothing	thing	16	1	NA	NA	0	0
hip	hip	16	1	NA	NA	0	0
hop	hop	16	2	NA	NA	0	0
overwhelmed	o-	16	1	NA	NA	0	0
overwhelmed	ver-	16	1	NA	NA	0	0
overwhelmed	whelmed	16	2	4	1	0	0
me	me	8	1	4	2	1	0
to	to	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
point	point	8	1	NA	NA	0	0
where	where	32	1	NA	NA	0	0
it	it	32	1	NA	NA	0	0
had	had	8	1	4	1	0	0
me	me	8	1	4	2	0	0
in	in	32	1	NA	NA	0	0
a	a	32	1	NA	NA	0	0
whole	whole	8	1	NA	NA	0	0
nother	no-	32	1	NA	NA	0	0
nother	ther	32	1	NA	NA	0	0
realm	realm	8	1	4	1	1	1
it	it	16	1	4	2	0	0
was	was	16	1	NA	NA	0	0
like	like	8	1	NA	NA	0	1
isolating	i-	8	1	NA	NA	0	0
isolating	so-	16	1	NA	NA	0	0
isolating	lat-	16	1	NA	NA	0	0
isolating	ing	16	1	NA	NA	0	0
myself	my-	16	1	NA	NA	0	0
myself	self	8	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
healthy	heal-	8	1	4	1	0	0
healthy	thy	16	2	4	2	1	1
it	it	16	1	NA	NA	0	0
felt	felt	8	1	NA	NA	0	0
like	like	16	1	4	1	0	0
we	we	16	1	4	2	0	0
was	was	16	1	NA	NA	0	0
on	on	16	1	NA	NA	0	0
welfare	wel-	8	1	NA	NA	0	0
welfare	fare	8	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
wealthy	weal-	8	1	4	1	0	0
wealthy	thy	8	1	4	2	1	1
compelled	com-	16	1	NA	NA	0	0
compelled	pelled	8	1	4	1	0	0
me	me	16	1	4	2	0	0
to	to	16	1	NA	NA	0	0
excel	ex-	16	1	NA	NA	0	0
excel	cel	8	1	4	1	0	0
when	when	16	1	4	2	0	0
school	school	8	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
failed	failed	8	1	4	1	0	0
me	me	8	1	4	2	1	1
expelled	ex-	16	1	4	1	0	0
expelled	pelled	8	1	4	2	0	0
me	me	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
principal	prin-	16	1	NA	NA	0	0
principal	ci-	16	1	NA	NA	0	0
principal	pal	8	1	NA	NA	0	0
would	would	16	1	NA	NA	0	0
tell	tell	8	1	4	1	0	0
me	me	16	1	4	2	1	0
i	i	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
nothing	no-	16	1	NA	NA	0	0
nothing	thing	8	1	NA	NA	0	1
and	and	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
wouldn't	would-	16	1	NA	NA	0	0
wouldn't	n't	16	1	NA	NA	0	0
amount	a-	16	1	NA	NA	0	0
amount	mount	8	1	5	1	0	0
to	to	16	1	5	2	0	0
shit	shit	4	1	5	3	1	1
i	i	16	1	NA	NA	0	0
made	made	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
first	first	8	1	NA	NA	0	0
million	mil-	8	1	NA	NA	0	0
million	lion	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
counted	count-	8	1	5	1	0	0
counted	ed	16	1	5	2	0	0
it	it	8	1	5	3	1	0
now	now	16	1	NA	NA	0	0
look	look	8	1	NA	NA	0	0
at	at	16	3	NA	NA	0	1
a	a	16	1	NA	NA	0	0
fucking	fuck-	16	1	NA	NA	0	0
fucking	ing	16	1	NA	NA	0	0
dropout	drop-	8	1	NA	NA	0	0
dropout	out	8	1	5	1	0	0
that	that	16	1	5	2	0	0
quits	quits	8	1	5	3	1	0
stupid	stu-	16	1	NA	NA	0	0
stupid	pid	16	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
shit	shit	8	1	NA	NA	0	1
rich	rich	8	1	NA	NA	0	0
as	as	16	1	NA	NA	0	0
fuck	fuck	8	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
proud	proud	8	1	5	1	0	0
of	of	16	1	5	2	0	0
it	it	8	1	5	3	1	0
that's	that's	16	1	NA	NA	0	0
why	why	16	1	NA	NA	1	1
