word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
wanna	wan-	16	1	1	1	0	0
wanna	na	16	1	1	2	0	0
quit	quit	16	2	1	3	0	0
but	but	16	1	1	4	0	0
shit	shit	16	2	1	5	0	0
i	i	16	1	NA	NA	0	0
feel	feel	16	1	1	1	0	0
like	like	16	1	1	2	0	0
this	this	16	1	1	3	0	0
is	is	16	1	1	4	0	0
it	it	16	3	1	5	1	1
for	for	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
have	have	16	2	NA	NA	0	0
this	this	16	1	NA	NA	0	0
much	much	16	2	NA	NA	0	0
appeal	ap-	16	1	NA	NA	0	0
appeal	peal	16	1	1	1	0	0
like	like	16	1	1	2	0	0
this	this	16	1	1	3	0	0
is	is	16	1	1	4	0	0
sick	sick	16	2	1	5	1	1
this	this	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
game	game	16	2	2	1	0	0
this	this	16	1	NA	NA	0	0
fame	fame	16	2	2	1	0	0
in	in	16	1	NA	NA	0	0
real	real	16	1	1	1	0	0
life	life	16	1	1	2	0	0
this	this	16	1	1	3	0	0
is	is	16	1	1	4	0	0
sick	sick	16	2	1	5	1	0
publicity	pub-	16	1	NA	NA	0	0
publicity	li-	16	1	NA	NA	0	0
publicity	ci-	16	1	NA	NA	0	0
publicity	ty	16	1	NA	NA	0	0
stunt	stunt	16	2	3	1	0	0
my	my	16	1	NA	NA	0	0
ass	ass	16	2	NA	NA	0	0
conceal	con-	16	1	NA	NA	0	0
conceal	ceal	16	1	1	1	0	0
my	my	16	1	1	2	0	0
fucking	fuck-	16	1	1	3	0	0
fucking	ing	16	1	1	4	0	0
dick	dick	16	4	1	5	1	1
fuck	fuck	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
guns	guns	16	2	3	1	0	0
i'm	i'm	16	1	NA	NA	0	0
done	done	16	2	3	1	0	0
i'll	i'll	16	1	NA	NA	0	0
never	ne-	16	1	4	1	0	0
never	ver	16	1	4	2	0	0
look	look	16	1	4	3	0	0
at	at	16	1	4	4	0	0
gats	gats	16	2	4	5	1	0
if	if	16	1	4	6	0	0
i	i	16	1	4	7	0	0
scrap	scrap	16	2	4	8	0	0
i'll	i'll	16	1	NA	NA	0	0
scrap	scrap	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
ain't	ain't	16	1	NA	NA	0	0
never	ne-	16	1	4	1	0	0
never	ver	16	1	4	2	0	0
whupped	whupped	16	1	4	3	0	0
some	some	16	1	4	4	0	0
ass	ass	16	3	4	5	1	1
i	i	16	1	NA	NA	0	0
love	love	16	1	4	6	0	0
my	my	16	1	4	7	0	0
fans	fans	16	2	4	8	0	0
but	but	16	1	NA	NA	0	0
no	no	16	2	NA	NA	0	0
one	one	16	1	NA	NA	0	0
ever	e-	16	1	4	1	0	0
ever	ver	16	1	4	2	0	0
puts	puts	16	1	4	3	0	0
a	a	16	1	4	4	0	0
grasp	grasp	16	2	4	5	1	0
on	on	16	1	4	6	0	0
the	the	16	1	4	7	0	0
fact	fact	16	2	4	8	0	0
i've	i've	16	1	NA	NA	0	0
sacrificed	sa-	16	2	NA	NA	0	0
sacrificed	cri-	16	1	NA	NA	0	0
sacrificed	ficed	16	2	NA	NA	0	0
everything	eve-	16	1	4	1	0	0
everything	ry-	16	1	4	2	0	0
everything	thing	16	1	4	3	0	0
i	i	16	1	4	4	0	0
have	have	16	3	4	5	1	1
i	i	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
dreamt	dreamt	16	2	NA	NA	0	0
i'd	i'd	16	1	NA	NA	0	0
get	get	16	2	NA	NA	0	0
to	to	32	1	NA	NA	0	0
the	the	32	1	NA	NA	0	0
level	le-	16	1	4	1	0	0
level	vel	16	1	4	2	0	0
that	that	16	1	4	3	0	0
i'm	i'm	16	1	4	4	0	0
at	at	16	2	4	5	1	0
this	this	16	1	4	6	0	0
is	is	16	1	4	7	0	0
wack	wack	16	3	4	8	0	1
this	this	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
more	more	16	1	NA	NA	0	0
than	than	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
ever	e-	16	1	4	1	0	0
ever	ver	16	1	4	2	0	0
could've	could-	16	1	4	3	0	0
could've	've	16	1	4	4	0	0
asked	asked	16	2	4	5	1	1
everywhere	eve-	16	1	NA	NA	0	0
everywhere	ry-	16	1	NA	NA	0	0
everywhere	where	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
go	go	16	2	NA	NA	0	0
a	a	16	1	NA	NA	0	0
hat	hat	16	2	NA	NA	0	0
a	a	16	1	NA	NA	0	0
sweater	swea-	16	1	4	1	0	0
sweater	ter	16	1	4	2	0	0
hood	hood	16	1	4	3	0	0
or	or	16	1	4	4	0	0
mask	mask	16	2	4	5	1	0
what	what	16	1	NA	NA	0	0
about	a-	16	1	4	6	0	0
about	bout	16	1	4	7	0	0
