word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
they	they	16	1	NA	NA	0	0
say	say	16	1	NA	NA	0	0
music	mu-	16	1	NA	NA	0	0
music	sic	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
alter	al-	16	2	1	1	0	0
alter	ter	16	1	1	2	0	0
moods	moods	16	2	1	3	0	0
and	and	16	1	NA	NA	0	0
talk	talk	16	2	1	1	0	0
to	to	16	1	1	2	0	0
you	you	16	2	1	3	1	1
well	well	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
load	load	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
gun	gun	16	1	NA	NA	0	0
up	up	16	1	1	1	0	0
for	for	16	1	1	2	0	0
you	you	16	2	1	3	0	0
and	and	16	1	NA	NA	0	0
cock	cock	16	2	1	1	0	0
it	it	16	1	1	2	0	0
too	too	16	2	1	3	1	1
well	well	16	1	NA	NA	0	0
if	if	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
can	can	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
next	next	16	2	NA	NA	0	0
time	time	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
assault	as-	16	1	NA	NA	0	0
assault	sault	16	2	1	1	0	0
a	a	16	1	1	2	0	0
dude	dude	16	2	1	3	1	1
just	just	16	1	NA	NA	0	0
tell	tell	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
judge	judge	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
my	my	16	2	NA	NA	0	0
fault	fault	16	2	NA	NA	0	1
and	and	16	1	NA	NA	0	0
i'll	i'll	16	2	1	1	0	0
get	get	16	1	1	2	0	0
sued	sued	16	2	1	3	1	1
see	see	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
these	these	16	1	1	1	0	0
kids	kids	16	2	1	2	0	0
do	do	16	2	1	3	0	0
is	is	16	1	NA	NA	0	0
hear	hear	16	1	NA	NA	0	0
about	a-	16	1	NA	NA	0	0
about	bout	16	1	NA	NA	0	0
us	us	16	2	NA	NA	0	0
toting	to-	16	1	NA	NA	0	0
toting	tin'	16	1	NA	NA	0	0
pistols	pis-	16	2	NA	NA	0	0
pistols	tols	16	1	NA	NA	1	0
and	and	16	2	NA	NA	0	0
they	they	16	1	NA	NA	0	0
want	want	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
get	get	16	2	NA	NA	0	0
one	one	16	2	NA	NA	0	1
'cus	'cus	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
shit's	shit's	16	2	NA	NA	0	0
cool	cool	16	2	NA	NA	1	1
not	not	16	1	NA	NA	0	0
knowing	know-	16	1	NA	NA	0	0
knowing	in'	16	1	NA	NA	0	0
we're	we're	16	1	NA	NA	0	0
really	real-	16	1	NA	NA	0	0
really	ly	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
protecting	pro-	16	1	NA	NA	0	0
protecting	tect-	16	1	2	1	0	0
protecting	ing	16	1	2	2	0	0
ourselves	our-	16	1	2	3	0	0
ourselves	selves	16	2	2	4	1	1
we	we	16	1	NA	NA	0	0
entertainers	en-	16	1	3	1	0	0
entertainers	ter-	16	1	3	2	0	0
entertainers	tain-	16	1	3	3	0	0
entertainers	ers	16	2	3	4	0	1
of	of	16	1	NA	NA	0	0
course	course	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
shit's	shit's	16	1	NA	NA	0	0
affecting	aff-	16	1	NA	NA	0	0
affecting	ect-	16	1	2	1	0	0
affecting	ing	16	1	2	2	0	0
ourselves	our-	16	1	2	3	0	0
ourselves	selves	16	2	2	4	1	0
you	you	16	1	NA	NA	0	0
ignoramus	ig-	16	1	3	1	0	0
ignoramus	no-	16	1	3	2	0	0
ignoramus	ra-	16	1	3	3	0	0
ignoramus	mus	16	2	3	4	0	1
but	but	16	1	NA	NA	0	0
music	mu-	16	1	NA	NA	0	0
music	sic	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
reflection	ref-	16	1	NA	NA	0	0
reflection	lect-	16	1	2	1	0	0
reflection	ion	16	1	2	2	0	0
of	of	16	1	2	3	0	0
self	self	16	2	2	4	1	0
we	we	16	1	NA	NA	0	0
just	just	16	1	3	1	0	0
explain	ex-	16	1	3	2	0	0
explain	plain	16	1	3	3	0	0
it	it	16	2	3	4	0	1
and	and	16	1	NA	NA	0	0
then	then	16	1	NA	NA	0	0
