word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
let	let	16	1	NA	NA	0	0
your	your	16	1	NA	NA	0	0
hair	hair	16	2	NA	NA	0	0
down	down	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
track	track	16	2	1	1	0	0
yeah	yeah	16	2	NA	NA	0	0
kick	kick	16	1	NA	NA	0	0
on	on	16	2	NA	NA	0	0
back	back	16	2	1	1	0	1
boo	boo	16	1	NA	NA	1	1
the	the	16	1	NA	NA	0	0
boogies	boog-	16	1	NA	NA	0	0
boogies	ies	16	1	NA	NA	0	0
monster	mon-	16	1	NA	NA	0	0
monster	ster	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
rap	rap	16	2	1	1	0	0
yeah	yeah	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
man's	man's	16	2	NA	NA	0	0
back	back	16	1	1	1	1	0
with	with	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
plan	plan	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
ambush	am-	16	2	NA	NA	0	0
ambush	bush	16	2	NA	NA	0	0
this	this	16	1	NA	NA	0	0
bush	bush	16	2	2	1	0	0
administration	ad-	16	1	2	2	0	0
administration	mi-	16	1	2	3	0	0
administration	ni-	16	1	2	4	0	0
administration	stra-	16	1	2	5	0	0
administration	tion	16	3	2	6	1	1
mush	mush	16	1	2	1	0	0
the	the	16	1	2	2	0	0
senate's	se-	16	1	2	3	0	0
senate's	nate's	16	1	2	4	0	0
face	face	16	1	2	5	0	0
in	in	16	2	2	6	0	1
and	and	16	1	NA	NA	0	0
push	push	16	1	2	1	0	0
this	this	16	1	2	2	0	0
generation	ge-	16	1	2	3	0	0
generation	ne-	16	1	2	4	0	0
generation	ra-	16	1	2	5	0	0
generation	tion	16	1	2	6	1	0
of	of	16	1	NA	NA	0	0
kids	kids	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
stand	stand	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
fight	fight	16	2	3	1	0	0
for	for	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
right	right	16	2	3	1	0	0
to	to	16	1	NA	NA	0	0
say	say	16	1	NA	NA	1	0
something	some-	16	1	NA	NA	0	0
something	thing	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
might	might	16	2	3	1	0	0
not	not	16	2	NA	NA	0	0
like	like	16	3	3	1	0	1
this	this	16	1	NA	NA	0	0
white	white	16	2	3	1	0	0
hot	hot	16	2	NA	NA	0	0
light	light	16	2	3	1	1	1
that	that	16	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
under	un-	16	2	4	1	0	0
under	der	16	1	4	2	0	0
no	no	16	2	NA	NA	0	0
wonder	won-	16	1	4	1	0	0
wonder	der	16	1	4	2	0	0
i	i	16	1	NA	NA	0	0
look	look	16	2	NA	NA	0	0
so	so	16	2	NA	NA	0	0
sunburnt	sun-	16	2	4	1	0	0
sunburnt	burnt	16	2	4	2	1	1
oh	oh	16	2	NA	NA	0	0
