word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
my	my	16	4	NA	NA	0	0
lyrical	lyr-	16	1	NA	NA	0	0
lyrical	i-	16	1	NA	NA	0	0
lyrical	cal	16	1	NA	NA	0	0
content	con-	16	2	1	1	0	0
content	tent	16	2	1	2	0	0
is	is	16	1	NA	NA	0	0
constantly	con-	16	2	1	1	0	0
constantly	stant-	16	2	1	2	0	0
constantly	ly	16	1	NA	NA	0	0
under	un-	16	2	NA	NA	0	0
under	der	16	1	NA	NA	0	0
fire	fi-	16	1	NA	NA	0	0
fire	re	16	1	NA	NA	1	0
no	no	16	1	NA	NA	0	0
wonder	won-	16	2	NA	NA	0	0
wonder	der	16	1	NA	NA	0	0
why	why	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
constantly	con-	16	2	1	1	0	0
constantly	stant-	16	1	1	2	0	0
constantly	ly	16	1	NA	NA	0	0
bomb	bomb	16	2	2	1	0	0
back	back	16	2	2	2	1	0
to	to	16	1	NA	NA	0	0
combat	com-	16	2	1	1	0	0
combat	bat	16	2	1	2	0	0
attacks	at-	16	1	2	1	0	0
attacks	tacks	16	2	2	2	0	0
with	with	16	1	NA	NA	0	0
constant	con-	16	2	1	1	0	0
constant	stant	16	1	1	2	0	0
concepts	con-	16	2	2	1	0	0
concepts	cepts	16	2	2	2	1	0
when	when	16	1	NA	NA	0	0
lyrics	ly-	16	1	NA	NA	0	0
lyrics	rics	16	1	NA	NA	0	0
are	are	16	1	NA	NA	0	0
constantly	con-	16	2	1	1	0	0
constantly	stant-	16	1	1	2	0	0
constantly	ly	16	1	NA	NA	0	0
took	took	16	2	NA	NA	0	0
outta	out-	16	1	NA	NA	0	0
outta	ta	16	1	NA	NA	0	0
context	con-	16	2	2	1	0	0
context	text	16	4	2	2	1	1
failure	fail-	16	1	NA	NA	0	0
failure	ure	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
communicate	com-	16	1	NA	NA	0	0
communicate	mu-	16	1	NA	NA	0	0
communicate	ni-	16	1	NA	NA	0	0
communicate	cate	16	2	NA	NA	0	0
with	with	16	1	NA	NA	0	0
congress	con-	16	2	2	1	0	0
congress	gress	16	2	2	2	0	0
has	has	16	3	NA	NA	1	0
been	been	16	1	NA	NA	0	1
a	a	16	1	NA	NA	0	0
problem	pro-	16	1	2	1	0	0
problem	blem	16	1	2	2	0	0
for	for	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
longest	long-	16	2	2	1	0	0
longest	est	16	1	2	2	0	0
i	i	16	2	2	1	0	0
guess	guess	16	2	2	2	1	0
but	but	16	2	NA	NA	0	1
maybe	may-	16	1	NA	NA	0	0
maybe	be	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
day	day	16	2	NA	NA	0	0
we	we	16	1	NA	NA	0	0
can	can	16	1	NA	NA	0	0
make	make	16	2	NA	NA	0	0
some	some	16	1	NA	NA	0	0
progress	pro-	16	2	2	1	0	0
progress	gress	16	2	2	2	1	0
food	food	16	2	NA	NA	0	0
for	for	16	1	NA	NA	0	0
thought	thought	16	2	NA	NA	0	0
see	see	16	1	NA	NA	0	0
how	how	16	1	NA	NA	0	0
long	long	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
takes	takes	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
digest	di-	16	2	2	1	0	0
digest	gest	16	4	2	2	1	1
feeling	feel-	16	1	NA	NA	0	0
feeling	ing	16	1	NA	NA	0	0
good	good	16	2	4	1	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
should	should	16	2	4	1	0	0
be	be	16	1	NA	NA	0	0
ashamed	a-	16	1	NA	NA	0	0
ashamed	shamed	16	2	3	1	1	0
shit	shit	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
really	real-	16	1	NA	NA	0	0
really	ly	16	1	NA	NA	0	0
shouldve	should-	16	1	4	1	0	0
shouldve	ve	16	1	NA	NA	0	0
fell	fell	16	2	NA	NA	0	0
but	but	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
stood	stood	16	2	4	1	0	0
see	see	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
came	came	16	2	3	1	1	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
flame	flame	16	2	3	1	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
night	night	16	2	5	1	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
ghost	ghost	16	2	7	1	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
dark	dark	16	2	6	1	1	0
theres	theres	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
ray	ray	16	2	3	1	0	0
theres	theres	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
light	light	16	2	5	1	0	0
theres	theres	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
hope	hope	16	2	7	1	0	0
theres	theres	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
spark	spark	16	2	6	1	1	0
but	but	16	1	NA	NA	0	0
when	when	16	1	NA	NA	0	0
planets	pla-	16	1	NA	NA	0	0
planets	nets	16	1	NA	NA	0	0
collide	col-	16	1	NA	NA	0	0
collide	lide	16	2	5	1	0	0
theyll	theyll	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
see	see	16	1	NA	NA	0	0
eye	eye	16	2	5	1	0	0
to	to	16	1	NA	NA	0	0
eye	eye	16	2	5	1	1	0
until	un-	16	1	NA	NA	0	0
until	til	16	1	NA	NA	0	0
they	they	16	1	NA	NA	0	0
decide	de-	16	1	NA	NA	0	0
decide	cide	16	2	5	1	0	0
to	to	16	1	NA	NA	0	0
set	set	16	1	NA	NA	0	0
their	their	16	1	NA	NA	0	0
differences	dif-	24	1	NA	NA	0	0
differences	fer-	24	1	NA	NA	0	0
differences	en-	24	1	NA	NA	0	0
differences	ces	16	2	NA	NA	0	0
aside	a-	16	1	NA	NA	0	0
aside	side	16	2	5	1	1	0
and	and	16	1	NA	NA	0	0
this	this	16	2	NA	NA	0	0
is	is	16	1	NA	NA	0	0
why	why	16	2	5	1	0	1
only	on-	16	1	NA	NA	0	0
only	ly	16	1	NA	NA	0	0
one	one	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
us	us	16	1	NA	NA	0	0
will	will	16	2	NA	NA	0	0
survive	sur-	16	1	NA	NA	0	0
survive	vive	16	2	5	1	1	0
so	so	16	1	NA	NA	0	0
children	child-	16	2	NA	NA	0	0
children	ren	16	1	NA	NA	0	0
follow	fol-	16	1	NA	NA	0	0
follow	low	16	1	NA	NA	0	0
my	my	16	2	NA	NA	0	0
lead	lead	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
feel	feel	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
vibe	vibe	16	3	5	1	0	0
cause	cause	16	1	NA	NA	1	1
