word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	8	1	NA	NA	0	0
live	live	4	1	NA	NA	0	0
in	in	8	1	NA	NA	0	0
a	a	8	1	NA	NA	0	0
bubble	bub-	8	1	1	1	0	0
bubble	ble	8	1	1	2	0	0
i	i	8	1	NA	NA	0	0
struggle	strug-	8	1	1	1	0	0
struggle	gle	16	1	1	2	0	0
with	with	16	1	1	3	0	0
the	the	8	1	1	4	0	0
fame	fame	4	1	1	5	1	1
trouble	troub-	8	1	1	1	0	0
trouble	le	8	1	1	2	0	0
as	as	8	1	1	3	0	0
the	the	8	1	1	4	0	0
pain	pain	4	1	1	5	0	1
grows	grows	4	1	NA	NA	0	1
double	doub-	8	1	1	1	0	0
double	le	8	1	1	2	0	0
give	give	16	1	NA	NA	0	0
a	a	16	1	1	1	0	0
fuck	fuck	8	1	1	2	0	0
what	what	8	1	1	3	0	0
you	you	8	1	1	4	0	0
say	say	16	3	1	5	1	1
when	when	16	1	NA	NA	0	0
my	my	8	1	NA	NA	0	0
music	mu-	8	1	NA	NA	0	0
music	sic	8	1	NA	NA	0	0
you	you	8	1	NA	NA	0	0
take	take	4	1	NA	NA	0	1
so	so	4	1	NA	NA	0	1
subtle	sub-	8	1	1	1	0	0
subtle	tle	8	1	1	2	0	0
just	just	16	1	NA	NA	0	0
to	to	16	1	1	1	0	0
give	give	8	1	1	2	0	0
it	it	8	1	1	3	0	0
away	a-	8	1	1	4	0	0
away	way	8	1	1	5	1	0
to	to	16	1	NA	NA	0	0
people	peo-	16	1	NA	NA	0	0
people	ple	16	1	NA	NA	0	0
who	who	16	1	NA	NA	0	0
dont	dont	8	1	NA	NA	0	0
even	e-	24	1	NA	NA	0	0
even	ven	24	1	NA	NA	0	0
appreciate	ap-	24	1	NA	NA	0	0
appreciate	pre-	16	1	NA	NA	0	0
appreciate	ci-	16	1	NA	NA	0	0
appreciate	ate	4	1	NA	NA	0	0
flows	flows	8	1	NA	NA	0	0
mothafucka	mo-	16	1	NA	NA	0	0
mothafucka	tha-	16	1	NA	NA	0	0
mothafucka	fuck-	8	1	1	1	0	0
mothafucka	a	8	1	1	2	0	0
im	im	8	1	1	1	0	0
livid	li-	8	1	1	2	0	0
livid	vid	8	1	1	3	0	0
today	to-	8	1	1	4	0	0
today	day	8	1	1	5	0	1
cause	cause	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
break	break	8	1	NA	NA	0	0
my	my	8	1	NA	NA	0	0
back	back	8	1	NA	NA	1	0
to	to	16	1	NA	NA	0	0
give	give	16	1	NA	NA	0	0
you	you	8	1	NA	NA	0	0
my	my	8	1	2	1	0	0
all	all	8	1	2	2	0	0
you	you	8	1	NA	NA	0	0
steal	steal	8	1	NA	NA	0	0
my	my	8	1	2	1	0	0
thoughts	thoughts	8	1	2	2	0	0
its	its	16	1	NA	NA	0	0
like	like	16	3	NA	NA	0	0
driving	dri-	16	1	NA	NA	0	0
driving	ving	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
spike	spike	16	3	NA	NA	0	0
through	through	8	1	NA	NA	0	0
my	my	8	1	2	1	0	0
heart	heart	4	1	2	2	1	1
you	you	8	1	NA	NA	0	0
might	might	8	1	NA	NA	0	0
not	not	8	1	NA	NA	0	0
think	think	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
that	that	8	1	NA	NA	0	0
big	big	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
deal	deal	8	1	3	1	0	0
to	to	16	1	NA	NA	0	0
steal	steal	8	1	3	1	0	0
from	from	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
music	mu-	16	1	NA	NA	0	0
music	sic	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
all	all	8	1	NA	NA	0	0
i	i	8	1	2	1	0	0
got	got	16	3	2	2	1	1
aside	a-	16	1	NA	NA	0	0
aside	side	8	1	NA	NA	0	0
from	from	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
daughters	daugh-	8	1	4	1	0	0
daughters	ters	16	1	4	2	0	0
not	not	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
sound	sound	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
martyr	mar-	16	1	4	1	0	0
martyr	tyr	16	1	4	2	0	0
but	but	8	1	NA	NA	0	0
its	its	8	1	NA	NA	0	0
getting	get-	16	1	NA	NA	0	0
getting	ting	16	1	NA	NA	0	0
harder	hard-	8	1	4	1	0	0
harder	er	8	1	4	2	0	0
than	than	8	1	NA	NA	0	0
i	i	8	1	2	1	0	0
thought	thought	16	3	2	2	1	1
to	to	16	1	NA	NA	0	0
not	not	8	1	NA	NA	0	0
just	just	8	1	NA	NA	0	0
go	go	8	1	NA	NA	0	0
crazy	cra-	8	1	NA	NA	0	0
crazy	zy	8	1	NA	NA	0	0
trapped	trapped	8	1	5	1	0	0
in	in	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
house	house	8	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
about	a-	16	1	NA	NA	0	0
about	bout	8	1	NA	NA	0	0
to	to	8	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
snap	snap	16	1	5	1	1	0
am	am	8	1	NA	NA	0	0
i	i	8	1	NA	NA	0	0
not	not	16	3	NA	NA	0	0
deserving	de-	16	1	NA	NA	0	0
deserving	serv-	8	1	NA	NA	0	0
deserving	ing	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
what	what	16	1	NA	NA	0	0
i	i	16	1	2	1	0	0
got	got	8	1	2	2	0	0
did	did	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
not	not	8	1	NA	NA	0	0
work	work	8	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
it	it	8	1	NA	NA	0	1
put	put	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
all	all	8	1	6	1	0	0
in	in	16	1	NA	NA	0	0
every	ev-	16	1	NA	NA	0	0
every	e-	16	1	NA	NA	0	0
every	ry	16	1	NA	NA	0	0
record	re-	16	1	NA	NA	0	0
record	cord	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
record	re-	8	1	NA	NA	0	0
record	cord	8	2	6	1	1	0
well	well	16	1	NA	NA	0	0
then	then	16	1	NA	NA	0	0
please	please	8	1	NA	NA	0	0
