word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i'm	i'm	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
houdini	hou-	16	1	NA	NA	0	0
houdini	di-	16	1	1	1	0	0
houdini	ni	16	2	1	2	0	1
tuck	tuck	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
teenie	teen-	16	1	1	1	0	0
teenie	ie	16	1	1	2	0	0
eenie	een-	16	1	1	1	0	0
eenie	ie	16	1	1	2	0	0
weenie	ween-	16	1	1	1	0	0
weenie	ie	16	1	1	2	0	0
between	bet-	16	1	NA	NA	0	0
between	ween	16	1	1	1	0	0
each	each	16	2	1	2	1	1
one	one	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
thighs	thighs	16	2	NA	NA	0	0
and	and	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
disappear	dis-	16	1	NA	NA	0	0
disappear	ap-	16	1	NA	NA	0	0
disappear	pear	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
genie	ge-	16	1	1	1	0	0
genie	nie	16	2	1	2	1	1
make	make	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
shit	shit	16	1	NA	NA	0	0
disappear	dis-	16	1	NA	NA	0	0
disappear	ap-	16	1	NA	NA	0	0
disappear	pear	16	1	NA	NA	0	0
like	like	16	1	NA	NA	0	0
tara	ta-	16	1	NA	NA	0	0
tara	ra	16	1	NA	NA	0	0
reid	reid	16	1	1	1	0	0
in	in	16	1	1	2	0	0
a	a	16	1	NA	NA	0	0
bikini	bi-	16	1	NA	NA	0	0
bikini	ki-	16	1	1	1	0	0
bikini	ni	16	2	1	2	1	1
believe	be-	16	1	NA	NA	0	0
believe	lieve	16	1	1	1	0	0
me	me	16	1	1	2	0	0
homie	ho-	16	1	NA	NA	0	0
homie	mie	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
meaning	mean-	16	1	1	1	0	0
meaning	ing	16	1	1	2	0	0
