word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
marshall	mar-	16	1	NA	NA	0	0
marshall	shall	16	1	NA	NA	0	0
youre	youre	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
longer	lon-	16	1	NA	NA	0	0
longer	ger	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
man	man	16	2	NA	NA	0	1
thats	thats	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
bitter	bit-	16	1	NA	NA	0	0
bitter	ter	16	1	NA	NA	0	0
pill	pill	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
swallow	swal-	16	1	1	1	0	0
swallow	low	16	2	1	2	1	1
all	all	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
know	know	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
im	im	16	1	NA	NA	0	0
wallowing	wal-	16	1	1	1	0	0
wallowing	low-	16	1	1	2	0	0
wallowing	ing	16	2	NA	NA	0	1
self	self	16	1	NA	NA	0	0
loathing	loath-	16	1	NA	NA	0	0
loathing	ing	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
hollow	hol-	16	1	1	1	0	0
hollow	low	16	2	1	2	1	1
bottoms	bot-	16	1	NA	NA	0	0
bottoms	toms	16	1	NA	NA	0	0
up	up	16	2	NA	NA	0	0
of	of	16	1	NA	NA	0	0
pill	pill	16	1	NA	NA	0	0
bottle	bot-	16	1	1	1	0	0
bottle	tle	16	1	1	2	0	0
maybe	may-	16	1	NA	NA	0	0
maybe	be	16	1	NA	NA	0	0
ill	ill	16	1	NA	NA	0	0
hit	hit	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
bottom	bot-	16	1	1	1	0	0
bottom	tom	16	1	1	2	0	0
tomorrow	to-	16	1	NA	NA	0	0
tomorrow	mor-	16	1	1	1	0	0
tomorrow	row	16	1	1	2	1	0
my	my	16	1	NA	NA	0	0
saw	saw	16	1	NA	NA	0	0
alright	al-	16	1	NA	NA	0	0
alright	right	16	1	NA	NA	0	0
goes	goes	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
cargo	car-	16	1	1	1	0	0
cargo	go	2	1	1	2	1	1
but	but	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
must	must	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
talking	talk-	16	1	NA	NA	0	0
talking	ing	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
wall	wall	16	1	NA	NA	0	0
though	though	16	1	NA	NA	0	0
