word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
so	so	32	1	NA	NA	0	0
i	i	32	1	NA	NA	0	0
pick	pick	16	1	NA	NA	0	0
myself	my-	16	1	NA	NA	0	0
myself	self	16	1	NA	NA	0	0
off	off	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ground	ground	16	2	1	1	0	0
and	and	16	1	NA	NA	0	0
fucking	fuck-	16	1	NA	NA	0	0
fucking	ing	16	1	NA	NA	0	0
swam	swam	16	2	NA	NA	0	0
'fore	'fore	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
drowned	drowned	16	3	1	1	1	1
hit	hit	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
bottom	bot-	16	1	NA	NA	0	0
bottom	tom	16	1	NA	NA	0	0
so	so	16	1	NA	NA	0	0
hard	hard	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
bounced	bounced	16	2	NA	NA	0	0
twice	twice	16	2	2	1	0	0
suffice	suf-	16	1	NA	NA	0	0
suffice	fice	16	2	2	1	0	0
this	this	16	1	NA	NA	0	0
time	time	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	2	1	1	1	0
it's	it's	16	1	NA	NA	0	0
different	dif-	16	1	NA	NA	0	0
different	ent	16	1	NA	NA	0	1
them	them	16	1	NA	NA	0	0
last	last	16	1	NA	NA	0	0
two	two	16	1	NA	NA	0	0
albums	al-	16	1	NA	NA	0	0
albums	bums	16	1	NA	NA	0	0
didn't	did-	16	1	NA	NA	0	0
didn't	n't	16	1	NA	NA	0	0
count	count	16	3	1	1	1	1
encore	en-	16	2	NA	NA	0	0
encore	core	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
on	on	16	2	NA	NA	0	0
drugs	drugs	16	2	NA	NA	0	0
relapse	re-	16	1	NA	NA	0	0
relapse	lapse	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
was	was	16	1	NA	NA	0	0
flushing	flu-	16	1	NA	NA	0	0
flushing	shing	16	1	NA	NA	0	0
em	em	16	1	NA	NA	0	0
out	out	16	3	1	1	1	1
i've	i've	16	1	NA	NA	0	0
come	come	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
make	make	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
no	no	16	1	NA	NA	0	0
more	more	16	1	NA	NA	0	0
fucking	fuck-	16	1	NA	NA	0	0
fucking	ing	16	1	NA	NA	0	0
around	a-	16	1	NA	NA	0	0
around	round	16	1	1	1	1	0
i've	i've	16	1	NA	NA	0	0
got	got	16	1	NA	NA	0	0
something	some-	16	1	NA	NA	0	0
something	thing	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
