word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
i	i	16	1	NA	NA	0	0
wanted	wan-	16	1	NA	NA	0	0
wanted	ted	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
fame	fame	8	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
not	not	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
cover	co-	16	1	NA	NA	0	0
cover	ver	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
newsweek	new-	8	1	1	1	0	0
newsweek	sweek	8	1	1	2	1	1
oh	oh	8	1	NA	NA	0	0
well	well	16	3	NA	NA	0	1
guess	guess	8	1	NA	NA	0	0
beggars	beg-	16	1	NA	NA	0	0
beggars	gars	16	1	NA	NA	0	0
can't	can't	8	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
choosey	choose-	8	1	1	1	0	0
choosey	y	8	1	1	2	1	1
wanted	wan-	16	1	NA	NA	0	0
wanted	ted	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
receive	re-	16	1	NA	NA	0	0
receive	ceive	8	1	NA	NA	0	1
attention	at-	16	1	NA	NA	0	0
attention	ten-	8	1	NA	NA	0	0
attention	tion	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
music	mu-	8	1	1	1	0	0
music	sic	16	1	1	2	1	1
wanted	wan-	8	1	NA	NA	0	0
wanted	ted	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
left	left	8	1	NA	NA	0	0
alone	a-	16	1	NA	NA	0	0
alone	lone	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
public	pub-	16	1	NA	NA	0	0
public	lic	16	1	NA	NA	0	0
excuse	ex-	16	1	1	1	0	0
excuse	cuse	8	1	1	2	0	0
me	me	8	1	NA	NA	1	1
for	for	16	1	NA	NA	0	0
wanting	want-	16	1	NA	NA	0	0
wanting	ing	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
cake	cake	16	1	4	1	0	0
and	and	16	1	4	2	0	0
eat	eat	16	1	4	3	0	0
it	it	16	1	4	4	0	0
too	too	8	1	4	5	0	1
and	and	16	1	NA	NA	0	0
wanting	want-	16	1	NA	NA	0	0
wanting	ing	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
both	both	8	1	NA	NA	0	0
ways	ways	8	1	NA	NA	1	0
fame	fame	8	1	NA	NA	0	0
made	made	16	1	4	1	0	0
