word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
theres	theres	16	1	NA	NA	0	0
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
been	been	16	1	1	1	0	0
this	this	8	1	1	2	0	1
much	much	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
menace	me-	16	1	1	1	0	0
menace	nace	16	1	1	2	0	0
in	in	16	1	1	1	0	0
this	this	16	1	1	2	0	0
game	game	8	1	NA	NA	0	0
as	as	16	1	1	1	0	0
this	this	8	1	1	2	1	1
and	and	16	1	1	1	0	0
its	its	16	1	1	2	0	0
the	the	8	1	NA	NA	0	1
most	most	8	1	NA	NA	0	0
sinister	si-	16	1	1	1	0	0
sinister	nist-	16	1	1	2	0	0
sinister	er	16	1	NA	NA	0	0
duo	du-	16	1	NA	NA	0	0
duo	o	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
business	busi-	16	1	1	1	0	0
business	ness	8	1	1	2	1	1
once	once	16	1	NA	NA	0	0
again	a-	16	1	NA	NA	0	0
again	gain	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
the	the	8	1	NA	NA	0	1
illest	il-	16	1	1	1	0	0
illest	lest	16	1	1	2	0	0
and	and	16	1	NA	NA	0	0
realest	real-	16	1	1	1	0	0
realest	est	16	3	1	2	0	0
the	the	16	1	NA	NA	0	0
most	most	8	1	NA	NA	0	0
villainous	vil-	16	1	NA	NA	0	0
villainous	lain-	16	1	1	1	0	0
villainous	ous	16	2	1	2	0	1
dre	dre	8	1	2	1	0	0
protege	pro-	16	1	NA	NA	0	0
protege	te-	16	1	NA	NA	0	0
protege	ge	8	1	2	1	0	0
shady	sha-	16	1	NA	NA	0	0
shady	dy	16	1	NA	NA	0	0
apprentice	app-	16	1	NA	NA	0	0
apprentice	ren-	16	1	1	1	0	0
apprentice	tice	16	2	1	2	1	1
drop	drop	16	2	NA	NA	0	0
them	them	16	1	NA	NA	0	0
zeros	ze-	16	1	3	1	0	0
zeros	ros	16	1	3	2	0	0
and	and	16	1	NA	NA	0	0
get	get	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
these	these	16	1	NA	NA	0	0
heroes	her-	16	1	3	1	0	0
heroes	oes	16	2	3	2	1	1
do	do	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
want	want	16	2	NA	NA	0	0
losers	lo-	16	1	NA	NA	0	0
losers	sers	16	1	NA	NA	0	0
or	or	16	1	NA	NA	0	0
winners	win-	16	1	4	1	0	0
winners	ners	16	2	4	2	0	1
this	this	16	2	NA	NA	0	0
music	mu-	16	1	NA	NA	0	0
music	sic	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
in	in	16	1	4	1	0	0
us	us	16	2	4	2	0	1
and	and	16	1	NA	NA	0	0
its	its	16	2	NA	NA	1	1
not	not	16	2	NA	NA	0	0
over	o-	16	1	NA	NA	0	0
over	ver	16	1	NA	NA	0	0
till	till	16	1	NA	NA	0	0
we	we	16	1	NA	NA	0	0
say	say	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
finished	fin-	16	1	4	1	0	0
finished	ished	16	2	4	2	0	0
and	and	16	1	NA	NA	0	0
gun	gun	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
spinners	spin-	16	1	4	1	0	0
spinners	ners	16	1	4	2	1	0
will	will	16	1	NA	NA	0	0
keep	keep	16	2	NA	NA	0	0
spinning	spin-	16	1	4	1	0	0
spinning	ning	16	1	4	2	0	0
this	this	16	1	NA	NA	0	0
is	is	16	1	NA	NA	0	0
hip	hip	16	1	NA	NA	0	0
hop	hop	16	2	NA	NA	0	0
when	when	16	1	NA	NA	0	0
its	its	16	1	NA	NA	0	0
in	in	16	1	4	1	0	0
its	its	16	2	4	2	1	1
