word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
sometimes	some-	16	1	NA	NA	0	0
sometimes	times	16	2	NA	NA	0	0
i	i	16	1	NA	NA	0	0
just	just	16	1	NA	NA	0	0
feel	feel	16	2	NA	NA	0	0
like	like	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
father	fa-	16	2	1	1	0	0
father	ther	16	1	1	2	0	0
i	i	16	1	NA	NA	0	0
hate	hate	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
be	be	16	1	NA	NA	0	0
bothered	bo-	16	2	1	1	0	0
bothered	thered	16	2	1	2	1	1
with	with	16	1	NA	NA	0	0
all	all	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
this	this	16	1	NA	NA	0	0
nonsense	non-	16	2	1	1	0	0
nonsense	sense	16	1	1	2	0	0
it's	it's	16	1	NA	NA	0	0
constant	con-	16	2	1	1	0	0
constant	stant	16	1	1	2	1	0
and	and	16	1	NA	NA	0	0
oh	oh	16	2	NA	NA	0	1
it's	it's	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
lyrical	lyr-	16	2	NA	NA	0	0
lyrical	i-	16	1	NA	NA	0	0
lyrical	cal	16	1	NA	NA	0	0
content	con-	16	2	1	1	0	0
content	tent	16	1	1	2	0	0
the	the	16	1	NA	NA	0	0
song	song	16	2	NA	NA	0	0
guilty	guil-	16	1	NA	NA	0	0
guilty	ty	16	1	NA	NA	0	0
conscience	con-	16	2	1	1	0	0
conscience	science	16	1	1	2	1	0
has	has	16	1	NA	NA	0	0
gotten	got-	16	2	1	1	0	0
gotten	ten	16	1	1	2	0	0
such	such	16	1	NA	NA	0	0
rotten	rot-	16	2	1	1	0	0
rotten	ten	16	1	1	2	0	0
responses	res-	16	1	NA	NA	0	0
responses	pon-	16	2	1	1	0	0
responses	ses	16	1	1	2	1	0
and	and	16	1	NA	NA	0	0
all	all	16	2	1	1	0	0
of	of	16	1	1	2	0	0
this	this	16	1	NA	NA	0	0
controversy	con-	16	2	NA	NA	0	0
controversy	tro-	16	1	NA	NA	0	0
controversy	ver-	16	1	NA	NA	0	0
controversy	sy	16	2	2	1	0	0
circles	cir-	16	1	NA	NA	0	0
circles	cles	16	1	NA	NA	0	0
me	me	16	2	2	1	1	0
and	and	16	1	NA	NA	0	0
it	it	16	1	NA	NA	0	0
seems	seems	16	2	2	1	0	0
like	like	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
media	me-	16	1	2	1	0	0
media	di-	16	1	NA	NA	0	0
media	a	16	1	NA	NA	0	0
immediately	im-	16	1	NA	NA	0	0
immediately	med-	16	2	2	1	0	0
immediately	i-	16	1	NA	NA	0	0
immediately	ate-	16	1	NA	NA	0	0
immediately	ly	16	2	NA	NA	1	0
points	points	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
finger	fin-	16	2	NA	NA	0	0
finger	ger	16	1	NA	NA	0	0
at	at	16	1	NA	NA	0	0
me	me	16	6	2	1	1	1
so	so	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
point	point	16	2	NA	NA	0	0
one	one	16	1	NA	NA	0	0
back	back	16	1	NA	NA	0	0
at	at	16	2	NA	NA	0	0
em	em	16	1	NA	NA	0	0
but	but	16	1	NA	NA	0	0
not	not	16	2	NA	NA	0	0
the	the	16	1	NA	NA	0	0
index	in-	16	1	NA	NA	0	0
index	dex	16	2	NA	NA	0	0
or	or	16	1	NA	NA	0	0
pinkie	pin-	16	1	NA	NA	0	0
pinkie	kie	16	2	2	1	1	1
or	or	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
ring	ring	16	2	2	1	0	0
or	or	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
thumb	thumb	16	2	3	1	0	1
it's	it's	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
one	one	16	2	3	1	0	0
you	you	16	1	NA	NA	0	0
put	put	16	1	NA	NA	0	0
up	up	16	2	3	1	1	0
when	when	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
don't	don't	16	2	NA	NA	0	0
give	give	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
fuck	fuck	16	2	3	1	0	1
