word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
im	im	16	1	NA	NA	0	0
getting	get-	16	1	NA	NA	0	0
getting	ting	16	1	NA	NA	0	0
mad	mad	16	2	NA	NA	0	0
love	love	16	2	NA	NA	0	0
im	im	16	1	NA	NA	0	0
snuggling	snugg-	16	2	1	1	0	0
snuggling	ling	16	1	1	3	0	0
hugs	hugs	16	4	1	4	0	1
druggling	drugg-	16	2	1	1	0	0
druggling	ling	16	1	1	3	0	0
thugs	thugs	16	3	1	4	1	0
smuggling	smugg-	16	2	1	1	0	0
smuggling	ling	16	1	1	3	0	0
drugs	drugs	16	3	1	4	0	0
juggling	jug-	16	1	1	1	0	0
juggling	l-	16	1	1	2	0	0
juggling	ing	16	1	1	3	0	0
jobs	jobs	16	2	1	4	0	0
guzzling	guz-	16	1	1	1	0	0
guzzling	zl-	16	1	1	2	0	0
guzzling	ing	16	1	1	3	0	0
jugs	jugs	16	3	1	4	1	1
so	so	16	1	NA	NA	0	0
heres	heres	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
toast	toast	16	2	NA	NA	0	0
to	to	16	1	NA	NA	0	0
federal	fed-	16	1	2	1	0	0
federal	e-	16	1	2	2	0	0
federal	ral	16	1	2	3	0	0
checks	checks	16	4	2	4	1	1
hetero	he-	16	1	2	1	0	0
hetero	te-	16	1	2	2	0	0
hetero	ro	16	1	2	3	0	0
sex	sex	16	3	2	4	0	1
unaffordable	un-	16	1	NA	NA	0	0
unaffordable	af-	16	1	NA	NA	0	0
unaffordable	ford-	16	1	NA	NA	0	0
unaffordable	a-	16	1	NA	NA	0	0
unaffordable	ble	16	1	NA	NA	0	0
medical	me-	16	1	2	1	0	0
medical	di-	16	1	2	2	0	0
medical	cal	16	1	2	3	0	0
debts	debts	16	2	2	4	0	1
huh	huh	16	3	NA	NA	1	1
we	we	16	1	NA	NA	0	0
travel	trav-	16	1	3	1	0	0
travel	el	16	1	3	2	0	0
in	in	16	1	3	3	0	0
packs	packs	16	2	3	4	0	0
and	and	16	1	NA	NA	0	0
ravel	ra-	16	1	3	1	0	0
ravel	vel	16	1	3	2	0	0
in	in	16	1	3	3	0	0
facts	facts	16	2	3	4	0	0
and	and	16	1	NA	NA	0	0
gravel	gra-	16	1	3	1	0	0
gravel	vel	16	1	3	2	0	0
in	in	16	1	3	3	0	0
cracks	cracks	16	2	3	4	1	0
to	to	16	1	NA	NA	0	0
find	find	16	2	NA	NA	0	0
babbling	bab-	16	1	3	1	0	0
babbling	bl-	16	1	3	2	0	0
babbling	ing	16	1	3	3	0	0
max	max	16	2	3	4	0	0
gaffling	gaf-	16	2	3	1	0	0
gaffling	fling	16	1	3	3	0	0
tracks	tracks	16	5	3	4	1	1
i	i	16	1	NA	NA	0	0
grapple	grap-	16	1	3	1	0	0
grapple	ple	16	1	3	2	0	0
an	an	16	1	3	3	0	0
axe	axe	16	2	3	4	0	0
for	for	16	1	NA	NA	0	0
them	them	16	1	NA	NA	0	0
baffling	baf-	16	1	3	1	0	0
baffling	fl-	16	1	3	2	0	0
baffling	ing	16	1	3	3	0	0
acts	acts	16	2	3	4	1	0
the	the	16	1	NA	NA	0	0
mysterious	my-	16	1	NA	NA	0	0
mysterious	ster-	16	1	NA	NA	0	0
mysterious	i-	16	1	NA	NA	0	0
mysterious	ous	16	1	NA	NA	0	0
stab	stab	16	1	3	1	0	0
in	in	16	1	3	2	0	0
the	the	16	1	3	3	0	0
backs	backs	16	2	3	4	0	0
who	who	16	1	NA	NA	0	0
dabble	dab-	16	1	3	1	0	0
dabble	ble	16	1	3	2	0	0
in	in	16	1	3	3	0	0
wax	wax	16	7	3	4	1	1
still	still	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
yard	yard	16	2	NA	NA	0	0
when	when	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
sculpted	sculp-	16	2	4	1	0	0
sculpted	ted	16	1	4	2	0	0
the	the	16	1	NA	NA	0	0
culprit	cul-	16	2	4	1	0	0
culprit	prit	16	1	4	2	1	0
the	the	16	1	NA	NA	0	0
tall	tall	16	2	4	1	0	0
shit	shit	16	1	4	2	0	0
will	will	16	1	NA	NA	0	0
end	end	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
his	his	16	1	NA	NA	0	0
skull	skull	16	2	4	1	0	0
split	split	16	1	4	2	1	0
then	then	16	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
