word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
yo	yo	16	1	NA	NA	0	0
only	on-	16	1	NA	NA	0	0
only	ly	16	1	NA	NA	0	0
dre	dre	16	2	NA	NA	0	0
can	can	16	1	NA	NA	0	1
judge	judge	16	1	NA	NA	0	0
me	me	16	1	NA	NA	0	0
for	for	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
mistakes	mis-	16	1	NA	NA	0	0
mistakes	takes	16	2	1	1	0	0
im	im	16	1	1	2	0	0
making	mak-	16	2	1	3	0	0
making	ing	16	1	1	4	1	0
if	if	16	1	1	1	0	0
im	im	16	1	1	2	0	0
faking	fak-	16	2	1	3	0	0
faking	ing	16	1	1	4	0	0
im	im	16	1	1	1	0	0
clay	clay	16	2	1	2	0	0
aiken	ai-	16	2	1	3	0	0
aiken	ken	16	3	1	4	1	1
you	you	16	1	NA	NA	0	0
aint	aint	16	2	NA	NA	0	0
fifty	fif-	16	2	NA	NA	0	0
fifty	ty	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
aint	aint	16	2	NA	NA	0	0
game	game	16	2	NA	NA	0	0
you	you	16	1	NA	NA	0	0
lame	lame	16	2	1	1	0	0
youre	youre	16	1	1	2	0	0
tame	tame	16	2	1	3	1	0
bitch	bitch	16	1	1	4	0	0
your	your	16	1	NA	NA	0	0
mild	mild	16	2	NA	NA	0	0
sauce	sauce	16	2	NA	NA	0	1
you	you	16	1	NA	NA	0	0
aint	aint	16	1	NA	NA	0	0
ready	read-	16	1	NA	NA	0	0
ready	y	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
make	make	16	2	1	1	0	0
that	that	16	1	1	2	0	0
flame	flame	16	2	1	3	0	0
switch	switch	16	2	1	4	1	1
youll	youll	16	1	NA	NA	0	0
end	end	16	1	NA	NA	0	0
up	up	16	1	NA	NA	0	0
in	in	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
same	same	16	2	NA	NA	0	0
situation	si-	16	1	NA	NA	0	0
situation	tu-	16	1	NA	NA	0	0
situation	a-	16	2	1	1	0	0
situation	tion	16	1	1	2	0	0
same	same	16	2	1	3	0	0
shit	shit	16	1	1	4	0	0
different	dif-	24	1	NA	NA	0	0
different	fer-	24	1	NA	NA	0	0
different	ent	24	1	NA	NA	0	0
day	day	16	2	NA	NA	1	0
just	just	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
different	dif-	24	1	NA	NA	0	0
different	fer-	24	1	NA	NA	0	0
different	ent	24	1	NA	NA	0	0
gangstas	gang-	16	2	NA	NA	0	0
gangstas	stas	16	1	1	1	0	0
in	in	16	1	NA	NA	0	0
your	your	16	1	1	2	0	0
face	face	16	2	1	3	1	0
which	which	16	2	1	4	0	1
way	way	16	1	NA	NA	0	0
