word	syllable	quant	duration	rhymeClass	rhymeIndex	lineEnding	breathEnding
damn	damn	8	1	NA	NA	0	0
girl	girl	8	1	NA	NA	0	0
i'm	i'm	16	1	NA	NA	0	0
beginning	be-	16	1	NA	NA	0	0
beginning	gin-	16	1	NA	NA	0	0
beginning	ning	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
sprout	sprout	8	1	NA	NA	0	0
then	then	16	1	NA	NA	0	0
alfalfa	al-	8	1	1	1	0	0
alfalfa	fal-	8	1	1	2	0	0
alfalfa	fa	8	1	1	3	1	1
why	why	16	1	NA	NA	0	0
should	should	16	1	NA	NA	0	0
i	i	8	1	NA	NA	0	0
wash	wash	8	1	NA	NA	0	0
my	my	16	1	NA	NA	0	0
filthy	fil-	8	1	NA	NA	0	0
filthy	thy	16	1	NA	NA	0	0
mouth	mouth	8	1	1	1	0	0
out	out	8	1	1	2	1	1
you	you	16	1	1	3	0	0
think	think	16	1	NA	NA	0	0
that's	that's	8	1	NA	NA	0	0
bad	bad	8	1	NA	NA	0	0
you	you	16	1	NA	NA	0	0
should	should	16	1	NA	NA	0	0
hear	hear	16	1	NA	NA	0	0
the	the	16	1	NA	NA	0	0
rest	rest	16	1	NA	NA	0	0
of	of	16	1	NA	NA	0	0
my	my	16	1	1	1	0	0
album	al-	8	1	1	2	0	0
album	bum	16	3	1	3	1	1
never	ne-	16	1	NA	NA	0	0
never	ver	16	1	NA	NA	0	0
has	has	16	1	NA	NA	0	0
their	their	16	1	NA	NA	0	0
been	been	8	1	NA	NA	0	0
such	such	16	1	NA	NA	0	0
finesse	fi-	16	1	NA	NA	0	0
finesse	nesse	16	1	NA	NA	0	0
and	and	16	1	NA	NA	0	0
nostalgia	nos-	16	1	1	1	0	0
nostalgia	tal-	8	1	1	2	0	0
nostalgia	gia	16	3	1	3	1	1
man	man	8	1	NA	NA	0	0
cash	cash	8	1	NA	NA	0	0
i	i	16	1	NA	NA	0	0
don't	don't	16	1	NA	NA	0	0
mean	mean	16	1	NA	NA	0	0
to	to	16	1	NA	NA	0	0
mess	mess	16	1	NA	NA	0	0
with	with	16	1	NA	NA	0	0
ya	ya	16	1	1	1	0	0
gal	gal	8	1	1	2	0	0
but	but	16	3	1	3	1	1
jessica	jes-	16	1	NA	NA	0	0
jessica	si-	16	1	NA	NA	0	0
jessica	ca	8	1	1	1	0	0
alba	al-	16	1	1	2	0	0
alba	ba	16	1	1	3	0	1
put	put	16	1	NA	NA	0	0
a	a	16	1	NA	NA	0	0
breast	breast	16	1	NA	NA	0	0
